Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2022-09-23,11:17:55,0.0809,0.0,0.0,3255,5041231.0,4.8714502460831034e-05
2022-09-23,11:17:55,0.097,0.0,0.0,3244,5041346.0,4.9579155141177954e-05
2022-09-23,11:17:55,0.1352,0.0,0.0,3070,5041412.0,6.548826507398711e-05
2022-09-23,11:17:55,0.1796,0.0,0.0,3061,5041471.0,6.643777663248798e-05
2022-09-23,11:17:55,0.2242,0.0,0.0,3061,5041533.0,6.643777663248798e-05
2022-09-23,11:17:55,0.2683,0.0,0.0,2954,5041516.0,7.883874955299805e-05
2022-09-23,11:17:55,0.3119,0.0,0.0,2940,5041538.0,8.062401954329628e-05
2022-09-23,11:17:55,0.3552,0.0,0.0,2887,5041530.0,8.775653224919688e-05
2022-09-23,11:17:55,0.3986,0.0,0.0,2892,5041537.0,8.705752968762527e-05
2022-09-23,11:17:55,0.442,0.0,0.0,2895,5041532.0,8.66408035067931e-05
2022-09-23,11:17:55,0.4854,0.0,0.0,2901,5041534.0,8.581332593965539e-05
2022-09-23,11:17:55,0.5287,0.0,0.0,2901,5041533.0,8.581332593965539e-05
2022-09-23,11:17:55,0.572,0.0,0.0,2891,5041533.0,8.719688335623137e-05
2022-09-23,11:17:55,0.6152,0.0,0.0,2889,5041532.0,8.747626024402608e-05
2022-09-23,11:17:55,0.6585,0.0,0.0,2895,5041531.0,8.66408035067931e-05
2022-09-23,11:17:55,0.7019,0.0,0.0,2891,5041531.0,8.719688335623137e-05
2022-09-23,11:17:55,0.7452,0.0,0.0,2897,5041531.0,8.63640948549573e-05
2022-09-23,11:17:55,0.7885,0.0,0.0,2902,5041531.0,8.567618340285017e-05
2022-09-23,11:17:55,0.8318,0.0,0.0,2902,5041531.0,8.567618340285017e-05
2022-09-23,11:17:55,0.8751,0.0,0.0,2899,5041531.0,8.608826994005493e-05
2022-09-23,11:17:56,0.9184,0.0,0.0,2896,5041531.0,8.650233853700365e-05
2022-09-23,11:17:56,0.9617,0.0,0.0,2892,5041531.0,8.705752968762527e-05
2022-09-23,11:17:56,1.0051,0.0,0.0,2886,5041531.0,8.78970048166698e-05
2022-09-23,11:17:56,1.0485,0.0,0.0,2895,5041530.0,8.66408035067931e-05
2022-09-23,11:17:56,1.0919,0.0,0.0,2904,5041529.0,8.540255550185801e-05
2022-09-23,11:17:56,1.1352,0.0,0.0,2905,5041529.0,8.526606943768419e-05
2022-09-23,11:17:56,1.1785,0.0,0.0,2905,5041529.0,8.526606943768419e-05
2022-09-23,11:17:56,1.2218,0.0,0.0,2904,5041528.0,8.540255550185801e-05
2022-09-23,11:17:56,1.2652,0.0,0.0,2902,5041527.0,8.567618340285017e-05
2022-09-23,11:17:56,1.3086,0.0,0.0,2902,5041527.0,8.567618340285017e-05
2022-09-23,11:17:56,1.352,0.0,0.0,2904,5041527.0,8.540255550185801e-05
2022-09-23,11:17:56,1.3953,0.0,0.0,2905,5041526.0,8.526606943768419e-05
2022-09-23,11:17:56,1.4386,0.0,0.0,2901,5041525.0,8.581332593965539e-05
2022-09-23,11:17:56,1.482,0.0,0.0,2904,5041525.0,8.540255550185801e-05
2022-09-23,11:17:56,1.5254,0.0,0.0,2902,5041524.0,8.567618340285017e-05
2022-09-23,11:17:56,1.5687,0.0,0.0,2902,5041524.0,8.567618340285017e-05
2022-09-23,11:17:56,1.6121,0.0,0.0,2909,5041525.0,8.472230294936382e-05
2022-09-23,11:17:56,1.6555,0.0,0.0,2907,5041524.0,8.49937513362069e-05
2022-09-23,11:17:56,1.6988,0.0,0.0,2902,5041523.0,8.567618340285017e-05
2022-09-23,11:17:56,1.7422,0.0,0.0,2902,5041523.0,8.567618340285017e-05
2022-09-23,11:17:56,1.7856,0.0,0.0,2899,5041522.0,8.608826994005493e-05
2022-09-23,11:17:56,1.8289,0.0,0.0,2891,5041522.0,8.719688335623137e-05
2022-09-23,11:17:56,1.8722,0.0,0.0,2896,5041523.0,8.650233853700365e-05
2022-09-23,11:17:56,1.9155,0.0,0.0,2900,5041523.0,8.595068800159173e-05
2022-09-23,11:17:57,1.9588,0.0,0.0,2895,5041523.0,8.66408035067931e-05
2022-09-23,11:17:57,2.0021,0.0,0.0,2901,5041522.0,8.581332593965539e-05
2022-09-23,11:17:57,2.0456,0.0,0.0,2907,5041522.0,8.49937513362069e-05
2022-09-23,11:17:57,2.089,0.0,0.0,2905,5041521.0,8.526606943768419e-05
2022-09-23,11:17:57,2.1324,0.0,0.0,2905,5041520.0,8.526606943768419e-05
