Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-11-10 17:29:48,GET,STABLE/HEAT,7,9/276,29.0/30.75,29.25
2021-11-10 17:29:51,GET,STABLE/HEAT,4,9/279,29.0/30.25,30.0
2021-11-10 17:29:54,GET,STABLE/HEAT,3,9/282,30.0/30.5,30.0
2021-11-10 17:29:57,GET,STABLE/HEAT,7,9/285,29.0/30.5,29.25
2021-11-10 17:30:00,GET,STABLE/HEAT,3,9/288,29.5/30.5,30.0
2021-11-10 17:30:03,GET,STABLE/HEAT,5,9/291,29.75/30.5,30.0
2021-11-10 17:30:06,GET,STABLE/HEAT,5,9/294,29.25/29.75,29.75
2021-11-10 17:30:09,GET,STABLE/HEAT,6,9/297,29.5/30.25,29.75
2021-11-10 17:30:12,GET,STABLE/HEAT,6,9/300,29.5/30.25,29.75
2021-11-10 17:30:15,GET,STABLE/HEAT,7,9/303,29.25/30.0,30.0
2021-11-10 17:30:18,GET,STABLE/HEAT,8,9/306,29.0/30.25,30.0
2021-11-10 17:30:21,GET,STABLE/HEAT,7,9/309,29.25/30.25,30.0
2021-11-10 17:30:24,GET,STABLE/HEAT,4,9/312,29.75/30.5,30.5
2021-11-10 17:30:27,GET,STABLE/HEAT,7,9/315,29.5/30.0,30.0
2021-11-10 17:30:30,GET,STABLE/HEAT,5,9/318,30.0/30.75,30.0
2021-11-10 17:30:33,GET,STABLE/HEAT,5,9/321,30.25/30.75,30.25
2021-11-10 17:30:36,GET,STABLE/HEAT,4,9/325,29.75/30.75,30.25
2021-11-10 17:30:39,GET,STABLE/HEAT,3,9/328,30.0/30.75,30.5
2021-11-10 17:30:42,GET,STABLE/HEAT,4,9/331,29.75/30.25,30.25
