Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-12-08 13:26:44,GET,STABLE/HEAT,22,80/273,32.0/32.5,32.5
2021-12-08 13:26:47,GET,STABLE/HEAT,22,80/276,31.75/32.5,32.5
2021-12-08 13:26:50,GET,STABLE/HEAT,23,80/279,31.75/32.5,32.25
2021-12-08 13:26:53,GET,STABLE/HEAT,23,80/282,32.0/32.5,32.25
2021-12-08 13:26:56,GET,STABLE/HEAT,26,80/285,31.5/32.5,32.0
2021-12-08 13:26:59,GET,STABLE/HEAT,22,80/288,32.0/32.25,32.25
2021-12-08 13:27:02,GET,STABLE/HEAT,22,80/291,31.75/32.25,32.25
2021-12-08 13:27:05,GET,STABLE/HEAT,22,80/294,31.75/32.5,31.75
2021-12-08 13:27:08,GET,STABLE/HEAT,25,80/297,31.75/32.25,32.0
2021-12-08 13:27:11,GET,STABLE/HEAT,25,80/300,31.5/32.0,32.25
2021-12-08 13:27:14,GET,STABLE/HEAT,25,80/303,31.75/32.25,31.75
2021-12-08 13:27:17,GET,STABLE/HEAT,25,80/306,31.75/32.0,32.0
2021-12-08 13:27:20,GET,STABLE/HEAT,26,80/310,31.25/32.0,32.0
2021-12-08 13:27:23,GET,STABLE/HEAT,27,80/313,31.25/32.0,32.0
2021-12-08 13:28:24,GET,STABLE/HEAT,38,80/373,31.0/32.25,31.5
2021-12-08 13:28:27,GET,STABLE/HEAT,37,80/376,31.5/32.0,31.75
