Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C),Ambient(C)
2022-03-14 14:34:52,GET,CYCLE/COOL,-255,0/575,60.0/-1,27.5,27.94
2022-03-14 14:34:55,GET,CYCLE/COOL,-255,0/578,60.0/-1,27.5,28.0
2022-03-14 14:34:58,GET,CYCLE/COOL,-255,0/581,60.0/-1,27.36,27.94
2022-03-14 14:35:01,GET,CYCLE/COOL,-255,0/584,60.0/-1,27.4,28.0
2022-03-14 14:35:07,SET 'OFF',IDLE/OFF,0,0/0,60.0/-1,27.34,28.0
2022-03-14 14:37:29,SET '=OFFSET 0.00',IDLE/OFF,0,0/0,0.0/-1,27.5,28.06
2022-03-14 14:37:29,SET '+OFFSET -0.00',IDLE/OFF,0,0/0,60.0/-1,27.5,28.06
2022-03-14 14:37:29,SET '-OFFSET 0.00',IDLE/OFF,0,0/0,60.0/-1,27.5,28.06
2022-03-14 14:37:29,SET '25',CYCLE/IDLE,1,0/0,60.0/-1,27.5,28.06
2022-03-14 14:37:32,GET,CYCLE/COOL,-48,0/3,60.0/-1,27.28,28.12
2022-03-14 14:37:35,GET,CYCLE/COOL,-56,0/6,60.0/-1,27.06,28.06
2022-03-14 14:38:10,GET,CYCLE/COOL,-98,0/41,60.0/-1,28.97,28.06
