Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2022-08-26,10:41:21,4276.6701,24.56,25.19,3107,15078115.0,3.563638642707614e-05
2022-08-26,10:41:21,4276.5531,24.56,25.19,3107,15078115.0,3.563638642707614e-05
2022-08-26,10:41:21,4294.9601,24.56,25.19,3117,15078072.0,3.507094205746813e-05
2022-08-26,10:41:21,0.0069,24.56,25.19,3117,15078070.0,3.507094205746813e-05
2022-08-26,10:41:21,0.0116,24.56,25.19,3115,15078068.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.0163,24.56,25.19,3113,15078070.0,3.5296035124356015e-05
2022-08-26,10:41:21,0.0209,24.56,25.19,3116,15078073.0,3.512708038869248e-05
2022-08-26,10:41:21,0.0256,24.56,25.19,3117,15078071.0,3.507094205746813e-05
2022-08-26,10:41:21,0.0302,24.56,25.19,3116,15078070.0,3.512708038869248e-05
2022-08-26,10:41:21,0.0349,24.56,25.19,3115,15078072.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.0396,24.56,25.19,3114,15078073.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.0442,24.56,25.19,3116,15078071.0,3.512708038869248e-05
2022-08-26,10:41:21,0.0488,24.56,25.19,3116,15078071.0,3.512708038869248e-05
2022-08-26,10:41:21,0.0535,24.56,25.19,3115,15078072.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.0581,24.56,25.19,3115,15078073.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.0628,24.56,25.19,3114,15078074.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.0675,24.56,25.19,3113,15078071.0,3.5296035124356015e-05
2022-08-26,10:41:21,0.0722,24.56,25.19,3114,15078069.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.0768,24.56,25.19,3116,15078071.0,3.512708038869248e-05
2022-08-26,10:41:21,0.0815,24.56,25.19,3118,15078069.0,3.501489344369814e-05
2022-08-26,10:41:21,0.0861,24.56,25.19,3116,15078071.0,3.512708038869248e-05
2022-08-26,10:41:21,0.0907,24.56,25.19,3115,15078073.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.0953,24.56,25.19,3116,15078073.0,3.512708038869248e-05
2022-08-26,10:41:21,0.0999,24.56,25.19,3114,15078074.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.1046,24.56,25.19,3113,15078071.0,3.5296035124356015e-05
2022-08-26,10:41:21,0.1092,24.56,25.19,3114,15078071.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.1139,24.56,25.19,3115,15078071.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.1186,24.56,25.19,3113,15078072.0,3.5296035124356015e-05
2022-08-26,10:41:21,0.1232,24.56,25.19,3113,15078072.0,3.5296035124356015e-05
2022-08-26,10:41:21,0.1279,24.56,25.19,3114,15078071.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.1326,24.56,25.19,3114,15078070.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.1373,24.56,25.19,3113,15078070.0,3.5296035124356015e-05
2022-08-26,10:41:21,0.1419,24.56,25.19,3114,15078072.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.1466,24.56,25.19,3116,15078072.0,3.512708038869248e-05
2022-08-26,10:41:21,0.1513,24.56,25.19,3117,15078072.0,3.507094205746813e-05
2022-08-26,10:41:21,0.1559,24.56,25.19,3116,15078070.0,3.512708038869248e-05
2022-08-26,10:41:21,0.1605,24.56,25.19,3116,15078070.0,3.512708038869248e-05
2022-08-26,10:41:21,0.1652,24.56,25.19,3116,15078070.0,3.512708038869248e-05
2022-08-26,10:41:21,0.1698,24.56,25.19,3115,15078069.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.1745,24.56,25.19,3113,15078070.0,3.5296035124356015e-05
2022-08-26,10:41:21,0.1792,24.56,25.19,3114,15078070.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.1838,24.56,25.19,3116,15078071.0,3.512708038869248e-05
2022-08-26,10:41:21,0.1885,24.56,25.19,3117,15078074.0,3.507094205746813e-05
2022-08-26,10:41:21,0.1932,24.56,25.19,3116,15078073.0,3.512708038869248e-05
2022-08-26,10:41:21,0.1978,24.56,25.19,3115,15078072.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.2025,24.56,25.19,3114,15078073.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.2072,24.56,25.19,3113,15078075.0,3.5296035124356015e-05
2022-08-26,10:41:21,0.2118,24.56,25.19,3114,15078072.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.2164,24.56,25.19,3116,15078074.0,3.512708038869248e-05
2022-08-26,10:41:21,0.221,24.56,25.19,3116,15078075.0,3.512708038869248e-05
2022-08-26,10:41:21,0.2257,24.56,25.19,3114,15078071.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.2303,24.56,25.19,3115,15078070.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.2349,24.56,25.19,3117,15078071.0,3.507094205746813e-05
2022-08-26,10:41:21,0.2396,24.56,25.19,3116,15078072.0,3.512708038869248e-05
2022-08-26,10:41:21,0.2443,24.56,25.19,3114,15078071.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.2489,24.56,25.19,3113,15078071.0,3.5296035124356015e-05
2022-08-26,10:41:21,0.2536,24.56,25.19,3114,15078073.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.2582,24.56,25.19,3117,15078072.0,3.507094205746813e-05
2022-08-26,10:41:21,0.2629,24.56,25.19,3117,15078073.0,3.507094205746813e-05
2022-08-26,10:41:21,0.2675,24.56,25.19,3115,15078074.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.2721,24.56,25.19,3115,15078073.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.2768,24.56,25.19,3116,15078074.0,3.512708038869248e-05
2022-08-26,10:41:21,0.2815,24.56,25.19,3116,15078072.0,3.512708038869248e-05
2022-08-26,10:41:21,0.2862,24.56,25.19,3116,15078069.0,3.512708038869248e-05
2022-08-26,10:41:21,0.2909,24.56,25.19,3115,15078070.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.2955,24.56,25.19,3115,15078071.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.3002,24.56,25.19,3115,15078071.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.3049,24.56,25.19,3115,15078071.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.3095,24.56,25.19,3116,15078074.0,3.512708038869248e-05
2022-08-26,10:41:21,0.3142,24.56,25.19,3116,15078074.0,3.512708038869248e-05
2022-08-26,10:41:21,0.3188,24.56,25.19,3115,15078074.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.3234,24.56,25.19,3114,15078071.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.328,24.56,25.19,3115,15078071.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.3326,24.56,25.19,3116,15078072.0,3.512708038869248e-05
2022-08-26,10:41:21,0.3372,24.56,25.19,3116,15078072.0,3.512708038869248e-05
2022-08-26,10:41:21,0.3419,24.56,25.19,3116,15078074.0,3.512708038869248e-05
2022-08-26,10:41:21,0.3465,24.56,25.19,3117,15078073.0,3.507094205746813e-05
2022-08-26,10:41:21,0.3512,24.56,25.19,3116,15078072.0,3.512708038869248e-05
2022-08-26,10:41:21,0.3559,24.56,25.19,3114,15078071.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.3606,24.56,25.19,3113,15078072.0,3.5296035124356015e-05
2022-08-26,10:41:21,0.3653,24.56,25.19,3116,15078076.0,3.512708038869248e-05
2022-08-26,10:41:21,0.3699,24.56,25.19,3117,15078073.0,3.507094205746813e-05
2022-08-26,10:41:21,0.3744,24.56,25.19,3115,15078072.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.379,24.56,25.19,3115,15078073.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.3837,24.56,25.19,3116,15078071.0,3.512708038869248e-05
2022-08-26,10:41:21,0.3884,24.56,25.19,3115,15078072.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.3931,24.56,25.19,3114,15078072.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.3977,24.56,25.19,3115,15078071.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.4024,24.56,25.19,3115,15078073.0,3.5183308580982685e-05
2022-08-26,10:41:21,0.407,24.56,25.19,3114,15078073.0,3.5239626778179995e-05
2022-08-26,10:41:21,0.4117,24.56,25.19,3114,15078071.0,3.5239626778179995e-05
