Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2022-08-30,10:49:33,0.0093,24.81,22.32,1777,5028453.0,0.0005179773110733299
2022-08-30,10:49:33,0.0414,24.81,22.32,1767,5028453.0,0.000526328593843299
2022-08-30,10:49:33,0.0743,24.81,22.32,1758,5028470.0,0.000533959809647521
2022-08-30,10:49:34,0.0757,24.81,22.32,1759,5028462.0,0.0005331064619646847
2022-08-30,10:49:34,0.077,24.81,22.32,1756,5028461.0,0.0005356706050806255
2022-08-30,10:49:34,0.0783,24.81,22.32,1756,5028471.0,0.0005356706050806255
2022-08-30,10:49:34,0.0796,24.81,22.32,1759,5028480.0,0.0005331064619646847
2022-08-30,10:49:34,0.0809,24.81,22.32,1756,5028494.0,0.0005356706050806255
2022-08-30,10:49:34,0.0824,24.81,22.32,1755,5028510.0,0.0005365280572074004
2022-08-30,10:49:34,0.084,24.81,22.32,1759,5028510.0,0.0005331064619646847
2022-08-30,10:49:34,0.1096,24.81,22.32,1754,5028504.0,0.0005373868818645002
2022-08-30,10:49:34,0.1353,24.81,22.32,1755,5028504.0,0.0005365280572074004
2022-08-30,10:49:34,0.1369,24.81,22.32,1755,5028506.0,0.0005365280572074004
2022-08-30,10:49:34,0.1388,24.81,22.32,1754,5028504.0,0.0005373868818645002
2022-08-30,10:49:34,0.1405,24.81,22.32,1759,5028506.0,0.0005331064619646847
2022-08-30,10:49:34,0.142,24.81,22.32,1762,5028507.0,0.0005305545928653817
2022-08-30,10:49:34,0.1435,24.81,22.32,1760,5028507.0,0.000532254478059149
2022-08-30,10:49:34,0.145,24.81,22.32,1754,5028510.0,0.0005373868818645002
2022-08-30,10:49:34,0.1465,24.81,22.32,1752,5028512.0,0.0005391086575612721
2022-08-30,10:49:35,0.148,24.81,22.32,1753,5028509.0,0.0005382470812489451
2022-08-30,10:49:35,0.1496,24.81,22.32,1752,5028507.0,0.0005391086575612721
2022-08-30,10:49:35,0.151,24.81,22.32,1751,5028510.0,0.00053997161300554
2022-08-30,10:49:35,0.1525,24.81,22.32,1752,5028506.0,0.0005391086575612721
2022-08-30,10:49:35,0.1539,24.81,22.32,1759,5028504.0,0.0005331064619646847
2022-08-30,10:49:35,0.1554,24.81,22.32,1760,5028513.0,0.000532254478059149
2022-08-30,10:49:35,0.157,24.81,22.32,1756,5028519.0,0.0005356706050806255
2022-08-30,10:49:35,0.1585,24.81,22.32,1760,5028524.0,0.000532254478059149
2022-08-30,10:49:35,0.1599,24.81,22.32,1759,5028524.0,0.0005331064619646847
2022-08-30,10:49:35,0.1612,24.81,22.32,1760,5028522.0,0.000532254478059149
2022-08-30,10:49:35,0.1629,24.81,22.32,1763,5028530.0,0.0005297066872285535
2022-08-30,10:49:35,0.1646,24.81,22.32,1758,5028537.0,0.000533959809647521
2022-08-30,10:49:35,0.166,24.81,22.32,1760,5028537.0,0.000532254478059149
2022-08-30,10:49:35,0.1674,24.81,22.32,1759,5028536.0,0.0005331064619646847
2022-08-30,10:49:35,0.1687,24.81,22.32,1758,5028534.0,0.000533959809647521
2022-08-30,10:49:35,0.1701,24.81,22.32,1756,5028537.0,0.0005356706050806255
2022-08-30,10:49:35,0.1716,24.81,22.32,1754,5028543.0,0.0005373868818645002
2022-08-30,10:49:35,0.1731,24.81,22.32,1762,5028548.0,0.0005305545928653817
2022-08-30,10:49:36,0.1744,24.81,22.32,1756,5028548.0,0.0005356706050806255
2022-08-30,10:49:36,0.176,24.81,22.32,1751,5028549.0,0.00053997161300554
2022-08-30,10:49:36,0.1777,24.81,22.32,1760,5028549.0,0.000532254478059149
2022-08-30,10:49:36,0.1791,24.81,22.32,1759,5028546.0,0.0005331064619646847
