Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2022-10-18,13:37:05,0.053,28.38,28.99,2665,50292.0,0.000125165808833587
2022-10-18,13:37:05,0.108,28.38,28.99,2668,5028960.0,0.00012456666629332474
2022-10-18,13:37:05,0.1162,28.38,28.99,2671,5028967.0,0.00012397039172305297
2022-10-18,13:37:05,0.1238,28.38,28.99,2669,5028968.0,0.00012436759011920186
2022-10-18,13:37:05,0.1317,28.38,28.99,2669,5028961.0,0.00012436759011920186
2022-10-18,13:37:05,0.1392,28.38,28.99,2670,5028963.0,0.00012416883209859683
2022-10-18,13:37:05,0.1479,28.38,28.99,2671,5028966.0,0.00012397039172305297
2022-10-18,13:37:05,0.1554,28.38,28.99,2671,5028964.0,0.00012397039172305297
2022-10-18,13:37:05,0.1626,28.38,28.99,2670,5028966.0,0.00012416883209859683
2022-10-18,13:37:05,0.1709,28.38,28.99,2671,5028963.0,0.00012397039172305297
2022-10-18,13:37:05,0.1783,28.38,28.99,2671,5028961.0,0.00012397039172305297
2022-10-18,13:37:05,0.1865,28.38,28.99,2670,5028959.0,0.00012416883209859683
2022-10-18,13:37:05,0.1945,28.38,28.99,2671,5028963.0,0.00012397039172305297
2022-10-18,13:37:05,0.2026,28.38,28.99,2671,5028964.0,0.00012397039172305297
2022-10-18,13:37:05,0.2111,28.38,28.99,2671,5028962.0,0.00012397039172305297
2022-10-18,13:37:05,0.2187,28.38,28.99,2673,5028966.0,0.00012357446187738215
2022-10-18,13:37:05,0.2271,28.38,28.99,2671,5028966.0,0.00012397039172305297
2022-10-18,13:37:05,0.2344,28.38,28.99,2671,5028960.0,0.00012397039172305297
2022-10-18,13:37:05,0.2417,28.38,28.99,2672,5028963.0,0.00012377226848492566
2022-10-18,13:37:05,0.2504,28.38,28.99,2671,5028962.0,0.00012397039172305297
2022-10-18,13:37:05,0.2576,28.38,28.99,2673,5028963.0,0.00012357446187738215
2022-10-18,13:37:05,0.2657,28.38,28.99,2672,5028967.0,0.00012377226848492566
2022-10-18,13:37:05,0.2734,28.38,28.99,2672,5028968.0,0.00012377226848492566
2022-10-18,13:37:05,0.2812,28.38,28.99,2674,5028960.0,0.00012337697139439907
2022-10-18,13:37:05,0.2902,28.38,28.99,2670,5028967.0,0.00012416883209859683
2022-10-18,13:37:05,0.2975,28.38,28.99,2671,5028967.0,0.00012397039172305297
2022-10-18,13:37:05,0.3056,28.38,28.99,2671,5028964.0,0.00012397039172305297
2022-10-18,13:37:05,0.3132,28.38,28.99,2672,5028970.0,0.00012377226848492566
2022-10-18,13:37:05,0.3213,28.38,28.99,2671,5028964.0,0.00012397039172305297
2022-10-18,13:37:05,0.329,28.38,28.99,2672,5028964.0,0.00012377226848492566
2022-10-18,13:37:05,0.3374,28.38,28.99,2671,5028961.0,0.00012397039172305297
2022-10-18,13:37:05,0.3449,28.38,28.99,2671,5028957.0,0.00012397039172305297
2022-10-18,13:37:05,0.3529,28.38,28.99,2671,5028964.0,0.00012397039172305297
2022-10-18,13:37:05,0.3601,28.38,28.99,2672,5028963.0,0.00012377226848492566
2022-10-18,13:37:05,0.3685,28.38,28.99,2673,5028962.0,0.00012357446187738215
2022-10-18,13:37:05,0.376,28.38,28.99,2673,5028960.0,0.00012357446187738215
2022-10-18,13:37:05,0.3845,28.38,28.99,2673,5028969.0,0.00012357446187738215
2022-10-18,13:37:05,0.392,28.38,28.99,2674,5028968.0,0.00012337697139439907
2022-10-18,13:37:05,0.3998,28.38,28.99,2673,5028963.0,0.00012357446187738215
2022-10-18,13:37:05,0.4082,28.38,28.99,2672,5028960.0,0.00012377226848492566
2022-10-18,13:37:05,0.4159,28.38,28.99,2671,5028961.0,0.00012397039172305297
2022-10-18,13:37:05,0.4242,28.38,28.99,2671,5028957.0,0.00012397039172305297
2022-10-18,13:37:05,0.4316,28.38,28.99,2670,5028969.0,0.00012416883209859683
2022-10-18,13:37:05,0.4396,28.38,28.99,2673,5028964.0,0.00012357446187738215
2022-10-18,13:37:05,0.4476,28.38,28.99,2672,5028963.0,0.00012377226848492566
2022-10-18,13:37:05,0.4562,28.38,28.99,2671,5028958.0,0.00012397039172305297
2022-10-18,13:37:05,0.4638,28.38,28.99,2672,5028958.0,0.00012377226848492566
