Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-03-09,15:15:15,0.3135,27.06,26.0,1990,5027404.0,0.00036843093236784135
2023-03-09,15:15:15,0.36,27.06,26.0,2008,5027589.0,0.0003579751462040547
2023-03-09,15:15:15,0.5312,27.06,26.0,2007,5027428.0,0.00035854815982013503
2023-03-09,15:15:16,0.6794,27.06,26.0,2006,5027344.0,0.00035912209066359194
2023-03-09,15:15:16,0.7957,27.06,26.0,2007,5027301.0,0.00035854815982013503
2023-03-09,15:15:16,0.9101,27.06,26.0,2006,5027276.0,0.00035912209066359194
2023-03-09,15:15:16,1.0801,27.06,26.0,2005,5027262.0,0.00035969694020263835
2023-03-09,15:15:16,1.2393,27.06,26.0,2006,5027261.0,0.00035912209066359194
2023-03-09,15:15:16,1.3858,27.06,26.0,2007,5027259.0,0.00035854815982013503
2023-03-09,15:15:16,1.525,27.06,26.0,2006,5027255.0,0.00035912209066359194
2023-03-09,15:15:17,1.675,27.06,26.0,2006,5027241.0,0.00035912209066359194
2023-03-09,15:15:17,1.9548,27.06,26.0,2005,5027256.0,0.00035969694020263835
2023-03-09,15:15:17,2.0944,27.06,26.0,2006,5027253.0,0.00035912209066359194
2023-03-09,15:15:17,2.2303,27.06,26.0,2007,5027259.0,0.00035854815982013503
2023-03-09,15:15:17,2.3708,27.06,26.0,2008,5027266.0,0.0003579751462040547
2023-03-09,15:15:17,2.5116,27.06,26.0,2007,5027251.0,0.00035854815982013503
2023-03-09,15:15:17,2.655,27.06,26.0,2006,5027242.0,0.00035912209066359194
2023-03-09,15:15:18,2.795,27.06,26.0,2006,5027245.0,0.00035912209066359194
2023-03-09,15:15:18,2.9312,27.06,26.0,2007,5027264.0,0.00035854815982013503
2023-03-09,15:15:18,3.0697,27.06,26.0,2005,5027262.0,0.00035969694020263835
2023-03-09,15:15:18,3.2069,27.06,26.0,2005,5027284.0,0.00035969694020263835
2023-03-09,15:15:18,3.3426,27.06,26.0,2005,5027274.0,0.00035969694020263835
2023-03-09,15:15:18,3.4796,27.06,26.0,2005,5027264.0,0.00035969694020263835
2023-03-09,15:15:18,3.6158,27.06,26.0,2007,5027288.0,0.00035854815982013503
2023-03-09,15:15:18,3.7548,27.06,26.0,2004,5027259.0,0.00036027270990783756
2023-03-09,15:15:19,3.8907,27.06,26.0,2005,5027250.0,0.00035969694020263835
2023-03-09,15:15:19,4.0272,27.06,26.0,2006,5027251.0,0.00035912209066359194
2023-03-09,15:15:19,4.1651,27.06,26.0,2005,5027257.0,0.00035969694020263835
2023-03-09,15:15:19,4.3003,27.06,26.0,2004,5027231.0,0.00036027270990783756
2023-03-09,15:15:19,4.438,27.06,26.0,2006,5027248.0,0.00035912209066359194
2023-03-09,15:15:19,4.5742,27.06,26.0,2007,5027260.0,0.00035854815982013503
2023-03-09,15:15:19,4.7117,27.06,26.0,2006,5027262.0,0.00035912209066359194
2023-03-09,15:15:19,4.8466,27.06,26.0,2008,5027267.0,0.0003579751462040547
2023-03-09,15:15:20,4.9823,27.06,26.0,2005,5027261.0,0.00035969694020263835
2023-03-09,15:15:20,5.1182,27.06,26.0,2006,5027284.0,0.00035912209066359194
2023-03-09,15:15:20,5.2539,27.06,26.0,2006,5027258.0,0.00035912209066359194
2023-03-09,15:15:20,5.3891,27.06,26.0,2006,5027255.0,0.00035912209066359194
2023-03-09,15:15:20,5.5248,27.06,26.0,2005,5027259.0,0.00035969694020263835
2023-03-09,15:15:20,5.7969,27.06,26.0,2004,5027250.0,0.00036027270990783756
2023-03-09,15:15:20,5.9338,27.06,26.0,2004,5027239.0,0.00036027270990783756
2023-03-09,15:15:21,6.0693,27.06,26.0,2008,5027260.0,0.0003579751462040547
2023-03-09,15:15:21,6.2055,27.06,26.0,2006,5027259.0,0.00035912209066359194
2023-03-09,15:15:21,6.4781,27.06,26.0,2006,5027252.0,0.00035912209066359194
2023-03-09,15:15:21,6.6146,27.06,26.0,2006,5027252.0,0.00035912209066359194
2023-03-09,15:15:21,6.7505,27.06,26.0,2006,5027260.0,0.00035912209066359194
2023-03-09,15:15:21,6.8857,27.06,26.0,2006,5027250.0,0.00035912209066359194
2023-03-09,15:15:22,7.0216,27.06,26.0,2003,5027245.0,0.0003608494012521067
2023-03-09,15:15:22,7.1575,27.06,26.0,2004,5027260.0,0.00036027270990783756
2023-03-09,15:15:22,7.293,27.06,26.0,2007,5027265.0,0.00035854815982013503
2023-03-09,15:15:22,7.4279,27.06,26.0,2005,5027265.0,0.00035969694020263835
2023-03-09,15:15:22,7.5641,27.06,26.0,2005,5027257.0,0.00035969694020263835
2023-03-09,15:15:22,7.7,27.06,26.0,2005,5027257.0,0.00035969694020263835
2023-03-09,15:15:22,7.8354,27.06,26.0,2007,5027260.0,0.00035854815982013503
2023-03-09,15:15:22,7.9719,27.06,26.0,2005,5027275.0,0.00035969694020263835
2023-03-09,15:15:23,8.1065,27.06,26.0,2006,5027263.0,0.00035912209066359194
2023-03-09,15:15:23,8.2427,27.06,26.0,2005,5027265.0,0.00035969694020263835
2023-03-09,15:15:23,8.3786,27.06,26.0,2005,5027250.0,0.00035969694020263835
