Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-01-02,11:25:07,0.3631,25.75,21.63,3418,5016281.0,3.75348563858868e-05
2023-01-02,11:25:07,0.3904,25.75,21.63,3218,5016666.0,5.168438037866831e-05
2023-01-02,11:25:07,0.5818,25.75,21.63,3233,5016612.0,5.045915487876386e-05
2023-01-02,11:25:07,0.7731,25.75,21.63,3234,5016583.0,5.037851359806128e-05
2023-01-02,11:25:07,0.9642,25.75,21.63,3234,5016569.0,5.037851359806128e-05
2023-01-02,11:25:07,1.1556,25.75,21.63,3235,5016562.0,5.0298001194193275e-05
2023-01-02,11:25:07,1.3468,25.75,21.63,3235,5016560.0,5.0298001194193275e-05
2023-01-02,11:25:07,4.3363,25.75,21.72,3232,5016554.0,5.053992524259506e-05
2023-01-02,11:25:07,4.5277,25.75,21.72,3230,5016555.0,5.0701854046471796e-05
2023-01-02,11:25:07,4.7188,25.75,21.72,3232,5016554.0,5.053992524259506e-05
2023-01-02,11:25:08,4.9101,25.75,21.72,3230,5016555.0,5.0701854046471796e-05
2023-01-02,11:25:08,5.1011,25.75,21.72,3232,5016554.0,5.053992524259506e-05
2023-01-02,11:25:08,5.2924,25.75,21.72,3232,5016554.0,5.053992524259506e-05
2023-01-02,11:25:08,5.4836,25.75,21.72,3232,5016555.0,5.053992524259506e-05
2023-01-02,11:25:08,5.6749,25.75,21.72,3232,5016555.0,5.053992524259506e-05
2023-01-02,11:25:09,5.8659,25.75,21.72,3228,5016553.0,5.086430166665859e-05
2023-01-02,11:25:09,6.0572,25.75,21.73,3230,5016554.0,5.0701854046471796e-05
2023-01-02,11:25:09,6.2486,25.75,21.73,3230,5016554.0,5.0701854046471796e-05
2023-01-02,11:25:09,6.4398,25.75,21.73,3228,5016554.0,5.086430166665859e-05
2023-01-02,11:25:09,6.631,25.75,21.73,3229,5016555.0,5.078301290075883e-05
2023-01-02,11:25:09,6.8223,25.75,21.73,3230,5016555.0,5.0701854046471796e-05
2023-01-02,11:25:10,7.0132,25.75,21.73,3233,5016555.0,5.045915487876386e-05
2023-01-02,11:25:10,7.2043,25.75,21.73,3229,5016555.0,5.078301290075883e-05
2023-01-02,11:25:10,7.3958,25.75,21.73,3232,5016554.0,5.053992524259506e-05
