Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation,Class,Difference,Pooling
2024-02-23,09:48:12,0.052,26.5,24.5,3167,15000248.0,3.237548573586047e-05,0,-507.3172591216543,1.034008887726347e-08
2024-02-23,09:48:12,0.0805,26.5,24.5,3280,15000551.0,2.702240004407852e-05,0,-730.0197622219689,9.56452640262563e-08
2024-02-23,09:48:12,0.1143,26.5,24.5,3427,15000496.0,2.136064541050373e-05,0,-590.0921613367095,1.3126897508493567e-07
2024-02-23,09:48:12,0.1251,26.5,24.5,3427,15000496.0,2.136064541050373e-05,0,-590.0921613367095,1.1615508894197986e-07
2024-02-23,09:48:12,0.1359,26.5,24.5,3427,15000494.0,2.136064541050373e-05,0,-588.0921613367095,7.920677235038664e-08
2024-02-23,09:48:12,0.1468,26.5,24.5,3427,15000494.0,2.136064541050373e-05,0,-588.0921613367095,4.3206174276918555e-08
2024-02-23,09:48:12,0.1579,26.5,24.5,3428,15000495.0,2.13265079025198e-05,0,-588.5800909908694,1.7285689762849777e-08
2024-02-23,09:48:12,0.1687,26.5,24.5,3428,15000495.0,2.13265079025198e-05,0,-588.5800909908694,2.471862829963893e-09
2024-02-23,09:48:12,0.1795,26.5,24.5,3427,15000494.0,2.136064541050373e-05,0,-588.0921613367095,-3.833690812078561e-09
2024-02-23,09:48:12,0.1904,26.5,24.5,3427,15000494.0,2.136064541050373e-05,0,-588.0921613367095,-5.012524046444728e-09
2024-02-23,09:48:12,0.2013,26.5,24.5,3427,15000497.0,2.136064541050373e-05,0,-591.0921613367095,-3.819091990990158e-09
2024-02-23,09:48:12,0.2121,26.5,24.5,3426,15000496.0,2.139483756266366e-05,0,-590.6050513575567,-1.955145439037492e-09
2024-02-23,09:48:12,0.2229,26.5,24.5,3426,15000495.0,2.139483756266366e-05,0,-589.6050513575567,-2.3090982142265233e-10
2024-02-23,09:48:12,0.2338,26.5,24.5,3427,15000495.0,2.136064541050373e-05,0,-589.0921613367095,1.0516734422868628e-09
2024-02-23,09:48:12,0.2446,26.5,24.5,3427,15000496.0,2.136064541050373e-05,0,-590.0921613367095,1.821479336933365e-09
2024-02-23,09:48:12,0.2555,26.5,24.5,3427,15000496.0,2.136064541050373e-05,0,-590.0921613367095,2.1442247224339403e-09
2024-02-23,09:48:12,0.2663,26.5,24.5,3427,15000494.0,2.136064541050373e-05,0,-588.0921613367095,2.1816713132657304e-09
2024-02-23,09:48:12,0.2771,26.5,24.5,3426,15000495.0,2.139483756266366e-05,0,-589.6050513575567,2.1204404590660024e-09
2024-02-23,09:48:12,0.288,26.5,24.5,3427,15000497.0,2.136064541050373e-05,0,-591.0921613367095,2.073379070859008e-09
2024-02-23,09:48:12,0.2988,26.5,24.5,3428,15000496.0,2.13265079025198e-05,0,-589.5800909908694,2.030025358597976e-09
