Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation,Class,Difference,Pooling
2023-10-11,14:59:35,0.0541,28.06,25.25,3323,15237339.0,2.522639197364904e-05,0,-342.3989917995011,8.545581358827584e-07
2023-10-11,14:59:35,0.0826,28.06,25.25,3302,15237638.0,2.608808602933685e-05,0,-654.5289524186585,7.510721391965889e-06
2023-10-11,14:59:35,0.1128,28.06,25.25,3309,15237575.0,2.579763290287992e-05,0,-587.1032074725051,1.1408131249415055e-05
2023-10-11,14:59:35,0.1164,28.06,25.25,3302,15237577.0,2.608808602933685e-05,0,-593.5289524186585,1.1412187235432488e-05
2023-10-11,14:59:35,0.1201,28.06,25.25,3301,15237576.0,2.61298454326664e-05,0,-593.1652563569035,8.711743600622688e-06
2023-10-11,14:59:35,0.1239,28.06,25.25,3301,15237576.0,2.61298454326664e-05,0,-593.1652563569035,5.394972627153705e-06
2023-10-11,14:59:35,0.1278,28.06,25.25,3301,15237576.0,2.61298454326664e-05,0,-593.1652563569035,2.7657342486734566e-06
2023-10-11,14:59:35,0.1315,28.06,25.25,3302,15237576.0,2.608808602933685e-05,0,-592.5289524186585,1.154174541079987e-06
2023-10-11,14:59:35,0.1352,28.06,25.25,3304,15237577.0,2.600476732934825e-05,0,-592.2593936437445,3.735610521090924e-07
2023-10-11,14:59:35,0.1389,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,9.082565811787032e-08
2023-10-11,14:59:35,0.1426,28.06,25.25,3303,15237578.0,2.604639336378313e-05,0,-593.8936653893298,5.057951149305137e-08
2023-10-11,14:59:35,0.1463,28.06,25.25,3303,15237578.0,2.604639336378313e-05,0,-593.8936653893298,1.2173230494037956e-07
2023-10-11,14:59:35,0.15,28.06,25.25,3302,15237578.0,2.608808602933685e-05,0,-594.5289524186585,2.5877757716126527e-07
2023-10-11,14:59:35,0.1537,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,4.6477074901436607e-07
2023-10-11,14:59:35,0.1575,28.06,25.25,3302,15237576.0,2.608808602933685e-05,0,-592.5289524186585,7.575279607445647e-07
2023-10-11,14:59:35,0.1612,28.06,25.25,3302,15237576.0,2.608808602933685e-05,0,-592.5289524186585,1.1254839533333394e-06
2023-10-11,14:59:35,0.1649,28.06,25.25,3304,15237577.0,2.600476732934825e-05,0,-592.2593936437445,1.4899629569763296e-06
2023-10-11,14:59:35,0.1686,28.06,25.25,3304,15237577.0,2.600476732934825e-05,0,-592.2593936437445,1.7268394944139988e-06
2023-10-11,14:59:35,0.1723,28.06,25.25,3304,15237577.0,2.600476732934825e-05,0,-592.2593936437445,1.7435510455847802e-06
2023-10-11,14:59:35,0.176,28.06,25.25,3304,15237577.0,2.600476732934825e-05,0,-592.2593936437445,1.534462986544059e-06
2023-10-11,14:59:35,0.1797,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,1.1815387595980588e-06
2023-10-11,14:59:35,0.1836,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,8.074911566166421e-07
2023-10-11,14:59:35,0.1873,28.06,25.25,3302,15237576.0,2.608808602933685e-05,0,-592.5289524186585,5.09338845055082e-07
2023-10-11,14:59:35,0.1909,28.06,25.25,3301,15237576.0,2.61298454326664e-05,0,-593.1652563569035,3.268405418378405e-07
2023-10-11,14:59:35,0.1946,28.06,25.25,3302,15237577.0,2.608808602933685e-05,0,-593.5289524186585,2.537245369043417e-07
2023-10-11,14:59:35,0.1984,28.06,25.25,3302,15237577.0,2.608808602933685e-05,0,-593.5289524186585,2.57945446962115e-07
2023-10-11,14:59:35,0.2023,28.06,25.25,3303,15237578.0,2.604639336378313e-05,0,-593.8936653893298,2.9740509039817414e-07
2023-10-11,14:59:35,0.206,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,3.3540284197319436e-07
2023-10-11,14:59:35,0.2097,28.06,25.25,3302,15237577.0,2.608808602933685e-05,0,-593.5289524186585,3.5251578515323524e-07
2023-10-11,14:59:35,0.2134,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,3.4473063913422585e-07
2023-10-11,14:59:35,0.2171,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,3.1765893132281435e-07
2023-10-11,14:59:35,0.2208,28.06,25.25,3302,15237578.0,2.608808602933685e-05,0,-594.5289524186585,2.905357986297118e-07
2023-10-11,14:59:35,0.2245,28.06,25.25,3302,15237577.0,2.608808602933685e-05,0,-593.5289524186585,2.9617765627918043e-07
2023-10-11,14:59:35,0.2282,28.06,25.25,3302,15237577.0,2.608808602933685e-05,0,-593.5289524186585,3.6726884442530114e-07
2023-10-11,14:59:35,0.232,28.06,25.25,3302,15237577.0,2.608808602933685e-05,0,-593.5289524186585,5.200019666302331e-07
2023-10-11,14:59:35,0.2357,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,7.40112051553149e-07
2023-10-11,14:59:35,0.2394,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,9.696802792272138e-07
2023-10-11,14:59:35,0.2432,28.06,25.25,3304,15237576.0,2.600476732934825e-05,0,-591.2593936437445,1.1112697084036972e-06
2023-10-11,14:59:35,0.2471,28.06,25.25,3304,15237577.0,2.600476732934825e-05,0,-592.2593936437445,1.0850089763723425e-06
2023-10-11,14:59:35,0.2508,28.06,25.25,3302,15237578.0,2.608808602933685e-05,0,-594.5289524186585,9.062850376545083e-07
2023-10-11,14:59:35,0.2545,28.06,25.25,3302,15237578.0,2.608808602933685e-05,0,-594.5289524186585,6.76535296978043e-07
2023-10-11,14:59:35,0.2582,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,4.945992472043051e-07
2023-10-11,14:59:35,0.2619,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,4.1202556801565717e-07
