Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-06,11:24:53,0.0542,26.0,23.75,3368,15194809.0,2.347454129197761e-05
2024-02-06,11:24:53,0.0822,26.0,23.75,3331,15195128.0,2.490566587075084e-05
2024-02-06,11:24:53,0.1126,26.0,23.75,3344,15195037.0,2.439315982370518e-05
2024-02-06,11:24:53,0.1169,26.0,23.75,3333,15195040.0,2.482612351948873e-05
2024-02-06,11:24:53,0.1211,26.0,23.75,3332,15195040.0,2.486586288955955e-05
2024-02-06,11:24:53,0.1253,26.0,23.75,3332,15195039.0,2.486586288955955e-05
2024-02-06,11:24:53,0.1295,26.0,23.75,3333,15195040.0,2.482612351948873e-05
2024-02-06,11:24:53,0.1337,26.0,23.75,3333,15195041.0,2.482612351948873e-05
2024-02-06,11:24:53,0.138,26.0,23.75,3333,15195040.0,2.482612351948873e-05
2024-02-06,11:24:53,0.1422,26.0,23.75,3333,15195040.0,2.482612351948873e-05
2024-02-06,11:24:53,0.1464,26.0,23.75,3333,15195040.0,2.482612351948873e-05
2024-02-06,11:24:53,0.1505,26.0,23.75,3333,15195040.0,2.482612351948873e-05
2024-02-06,11:24:53,0.1548,26.0,23.75,3333,15195040.0,2.482612351948873e-05
2024-02-06,11:24:53,0.159,26.0,23.75,3333,15195040.0,2.482612351948873e-05
2024-02-06,11:24:53,0.1632,26.0,23.75,3333,15195040.0,2.482612351948873e-05
2024-02-06,11:24:53,0.1675,26.0,23.75,3334,15195040.0,2.478644765887827e-05
2024-02-06,11:24:53,0.1717,26.0,23.75,3333,15195040.0,2.482612351948873e-05
2024-02-06,11:24:53,0.1759,26.0,23.75,3332,15195040.0,2.486586288955955e-05
2024-02-06,11:24:53,0.1801,26.0,23.75,3332,15195040.0,2.486586288955955e-05
2024-02-06,11:24:53,0.1843,26.0,23.75,3332,15195040.0,2.486586288955955e-05
2024-02-06,11:24:53,0.1885,26.0,23.75,3333,15195040.0,2.482612351948873e-05
2024-02-06,11:24:53,0.1926,26.0,23.75,3333,15195040.0,2.482612351948873e-05
