Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-16,13:35:17,0.0516,27.0,14.75,3154,14983443.0,3.305570233492295e-05
2024-02-16,13:35:17,0.0803,27.0,14.75,3264,14983752.0,2.772285053436838e-05
2024-02-16,13:35:17,0.1145,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:17,0.1256,27.0,14.75,3407,14983691.0,2.205498802394887e-05
2024-02-16,13:35:17,0.1368,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.1479,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.159,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.1701,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.1812,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.1923,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.2034,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.2146,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.2258,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.2368,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.248,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:17,0.2592,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:17,0.2703,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:17,0.2814,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:17,0.2925,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:17,0.3037,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:17,0.3148,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.326,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:17,0.3371,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:17,0.3482,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.3594,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.3705,27.0,14.75,3408,14983693.0,2.201974085256035e-05
2024-02-16,13:35:17,0.3815,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.3927,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.4038,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.4149,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.4261,27.0,14.75,3408,14983693.0,2.201974085256035e-05
2024-02-16,13:35:17,0.4372,27.0,14.75,3408,14983693.0,2.201974085256035e-05
2024-02-16,13:35:17,0.4483,27.0,14.5,3408,14983693.0,2.201974085256035e-05
2024-02-16,13:35:17,0.4593,27.0,14.5,3407,14983693.0,2.205498802394887e-05
2024-02-16,13:35:17,0.4704,27.0,14.5,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:17,0.4817,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.4929,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.5039,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.515,27.0,14.5,3407,14983691.0,2.205498802394887e-05
2024-02-16,13:35:17,0.5261,27.0,14.5,3407,14983691.0,2.205498802394887e-05
2024-02-16,13:35:17,0.5373,27.0,14.5,3408,14983693.0,2.201974085256035e-05
2024-02-16,13:35:17,0.5484,27.0,14.5,3408,14983693.0,2.201974085256035e-05
2024-02-16,13:35:17,0.5595,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.5706,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.5817,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.5929,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.604,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.6151,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.6263,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.6373,27.0,14.5,3408,14983693.0,2.201974085256035e-05
2024-02-16,13:35:17,0.6485,27.0,14.5,3408,14983693.0,2.201974085256035e-05
2024-02-16,13:35:17,0.6596,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.6707,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.6818,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.6929,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.7041,27.0,14.5,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:17,0.7152,27.0,14.5,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:17,0.7263,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:17,0.7375,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,0.7486,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,0.7597,27.0,14.5,3408,14983693.0,2.201974085256035e-05
2024-02-16,13:35:18,0.7709,27.0,14.5,3407,14983693.0,2.205498802394887e-05
2024-02-16,13:35:18,0.782,27.0,14.5,3407,14983693.0,2.205498802394887e-05
2024-02-16,13:35:18,0.7931,27.0,14.5,3408,14983693.0,2.201974085256035e-05
2024-02-16,13:35:18,0.8041,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,0.8153,27.0,14.5,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:18,0.8264,27.0,14.5,3407,14983693.0,2.205498802394887e-05
2024-02-16,13:35:18,0.8376,27.0,14.5,3407,14983693.0,2.205498802394887e-05
2024-02-16,13:35:18,0.8488,27.0,14.5,3406,14983692.0,2.209029161576024e-05
2024-02-16,13:35:18,0.8598,27.0,14.5,3406,14983692.0,2.209029161576024e-05
2024-02-16,13:35:18,0.8709,27.0,14.5,3406,14983692.0,2.209029161576024e-05
2024-02-16,13:35:18,0.8821,27.0,14.5,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:18,0.8932,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,0.9043,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,0.9154,27.0,14.5,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,0.9264,27.0,14.5,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:18,0.9376,27.0,14.5,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:18,0.9488,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:18,0.9599,27.0,14.75,3406,14983692.0,2.209029161576024e-05
2024-02-16,13:35:18,0.9711,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:18,0.9822,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,0.9933,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,1.0043,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,1.0155,27.0,14.75,3408,14983693.0,2.201974085256035e-05
2024-02-16,13:35:18,1.0266,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,1.0377,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:18,1.0488,27.0,14.75,3406,14983691.0,2.209029161576024e-05
2024-02-16,13:35:18,1.06,27.0,14.75,3406,14983690.0,2.209029161576024e-05
2024-02-16,13:35:18,1.0712,27.0,14.75,3407,14983691.0,2.205498802394887e-05
2024-02-16,13:35:18,1.0823,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,1.0934,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,1.1045,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,1.1157,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,1.1268,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:18,1.138,27.0,14.75,3407,14983693.0,2.205498802394887e-05
2024-02-16,13:35:18,1.1491,27.0,14.75,3407,14983693.0,2.205498802394887e-05
2024-02-16,13:35:18,1.1602,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:18,1.1713,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:18,1.1824,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:18,1.1935,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,1.2046,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:18,1.2158,27.0,14.75,3407,14983692.0,2.205498802394887e-05
2024-02-16,13:35:18,1.2269,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,1.2379,27.0,14.75,3408,14983692.0,2.201974085256035e-05
2024-02-16,13:35:18,1.2491,27.0,14.75,3408,14983692.0,2.201974085256035e-05
