Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-10-26,12:33:28,0.0541,27.94,20.5,3366,15201074.0,2.354975320364386e-05
2023-10-26,12:33:28,0.0824,27.94,20.5,3343,15201356.0,2.443220614540217e-05
2023-10-26,12:33:28,0.1125,27.94,20.5,3350,15201282.0,2.416018884780538e-05
2023-10-26,12:33:28,0.1162,27.94,20.5,3339,15201286.0,2.458901745098655e-05
2023-10-26,12:33:28,0.1199,27.94,20.5,3339,15201286.0,2.458901745098655e-05
2023-10-26,12:33:28,0.1235,27.94,20.5,3339,15201286.0,2.458901745098655e-05
2023-10-26,12:33:28,0.1272,27.94,20.5,3339,15201286.0,2.458901745098655e-05
2023-10-26,12:33:28,0.1309,27.94,20.5,3339,15201285.0,2.458901745098655e-05
2023-10-26,12:33:28,0.1345,27.94,20.5,3339,15201285.0,2.458901745098655e-05
2023-10-26,12:33:28,0.1381,27.94,20.5,3340,15201285.0,2.454972052135644e-05
2023-10-26,12:33:28,0.1418,27.94,20.5,3340,15201285.0,2.454972052135644e-05
2023-10-26,12:33:28,0.1455,27.94,20.5,3340,15201285.0,2.454972052135644e-05
2023-10-26,12:33:28,0.1492,27.94,20.5,3340,15201285.0,2.454972052135644e-05
2023-10-26,12:33:28,0.1529,27.94,20.5,3339,15201285.0,2.458901745098655e-05
2023-10-26,12:33:28,0.1565,27.94,20.5,3339,15201285.0,2.458901745098655e-05
2023-10-26,12:33:28,0.1601,27.94,20.5,3339,15201286.0,2.458901745098655e-05
2023-10-26,12:33:28,0.1638,27.94,20.5,3339,15201286.0,2.458901745098655e-05
2023-10-26,12:33:28,0.1675,27.94,20.5,3339,15201286.0,2.458901745098655e-05
2023-10-26,12:33:28,0.1712,27.94,20.5,3339,15201286.0,2.458901745098655e-05
2023-10-26,12:33:28,0.1749,27.94,20.5,3340,15201286.0,2.454972052135644e-05
2023-10-26,12:33:28,0.1785,27.94,20.5,3340,15201286.0,2.454972052135644e-05
2023-10-26,12:33:28,0.1821,27.94,20.5,3340,15201285.0,2.454972052135644e-05
2023-10-26,12:33:28,0.1858,27.94,20.5,3341,15201285.0,2.451048639410068e-05
