Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-06-19,11:18:18,0.0528,25.75,24.75,3286,15267010.0,2.676431806720787e-05
2024-06-19,11:18:18,0.0806,25.75,24.75,3293,15267338.0,2.64663360745325e-05
2024-06-19,11:18:18,0.1118,25.75,24.75,3349,15267275.0,2.419886225103929e-05
2024-06-19,11:18:18,0.1177,25.75,24.75,3349,15267276.0,2.419886225103929e-05
2024-06-19,11:18:18,0.1237,25.75,24.75,3350,15267276.0,2.416018884780538e-05
2024-06-19,11:18:18,0.1297,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.1356,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.1415,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.1475,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.1534,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.1594,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.1653,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.1712,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.1772,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.1831,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.1891,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.195,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.2009,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.2069,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.2128,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.2187,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.2247,25.75,24.75,3351,15267277.0,2.412157725045732e-05
2024-06-19,11:18:18,0.2306,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.2365,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.2424,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.2483,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.2543,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.2602,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.2661,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.272,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.278,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.284,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.2899,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.2958,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.3018,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.3077,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.3136,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.3195,25.75,24.75,3353,15267276.0,2.404453907847634e-05
2024-06-19,11:18:18,0.3255,25.75,24.75,3353,15267276.0,2.404453907847634e-05
2024-06-19,11:18:18,0.3314,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.3373,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.3432,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.3492,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.3551,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.3611,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.367,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.3729,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.3788,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.3847,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.3907,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.3967,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.4026,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.4085,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.4144,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.4203,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.4262,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.4322,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.4381,25.75,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:18,0.4441,25.75,24.75,3351,15267276.0,2.412157725045732e-05
2024-06-19,11:18:18,0.45,25.81,24.75,3351,15267277.0,2.412157725045732e-05
2024-06-19,11:18:18,0.4559,25.81,24.75,3352,15267278.0,2.408302736022003e-05
2024-06-19,11:18:18,0.4617,25.81,24.75,3363,15267273.0,2.366302314476723e-05
2024-06-19,11:18:18,0.4675,25.81,24.75,3383,15267279.0,2.291805582424504e-05
2024-06-19,11:18:18,0.4733,25.81,24.75,3384,15267279.0,2.288142934135367e-05
2024-06-19,11:18:18,0.4791,25.81,24.75,3364,15267273.0,2.362520609261339e-05
2024-06-19,11:18:18,0.4852,25.81,24.75,3352,15267276.0,2.408302736022003e-05
2024-06-19,11:18:19,0.4912,25.81,24.75,3351,15267273.0,2.412157725045732e-05
2024-06-19,11:18:19,0.4972,25.81,24.75,3351,15267274.0,2.412157725045732e-05
2024-06-19,11:18:19,0.5031,25.81,24.75,3356,15267278.0,2.392944290039733e-05
2024-06-19,11:18:19,0.509,25.81,24.75,3356,15267278.0,2.392944290039733e-05
2024-06-19,11:18:19,0.515,25.81,24.75,3353,15267274.0,2.404453907847634e-05
2024-06-19,11:18:19,0.5209,25.81,24.75,3354,15267274.0,2.400611230676662e-05
2024-06-19,11:18:19,0.5269,25.81,24.75,3353,15267276.0,2.404453907847634e-05
2024-06-19,11:18:19,0.5328,25.81,24.75,3352,15267277.0,2.408302736022003e-05
2024-06-19,11:18:19,0.5386,25.81,24.75,3353,15267277.0,2.404453907847634e-05
2024-06-19,11:18:19,0.5446,25.81,24.75,3353,15267277.0,2.404453907847634e-05
2024-06-19,11:18:19,0.5506,25.81,24.75,3353,15267277.0,2.404453907847634e-05
2024-06-19,11:18:19,0.5565,25.81,24.75,3353,15267277.0,2.404453907847634e-05
2024-06-19,11:18:19,0.5624,25.81,24.75,3354,15267277.0,2.400611230676662e-05
2024-06-19,11:18:19,0.5683,25.81,24.75,3354,15267277.0,2.400611230676662e-05
2024-06-19,11:18:19,0.5743,25.81,24.75,3353,15267277.0,2.404453907847634e-05
2024-06-19,11:18:19,0.5802,25.81,24.75,3352,15267278.0,2.408302736022003e-05
2024-06-19,11:18:19,0.5862,25.81,24.75,3351,15267277.0,2.412157725045732e-05
2024-06-19,11:18:19,0.5921,25.81,24.75,3352,15267277.0,2.408302736022003e-05
2024-06-19,11:18:19,0.598,25.81,24.75,3352,15267277.0,2.408302736022003e-05
2024-06-19,11:18:19,0.6039,25.81,24.75,3352,15267277.0,2.408302736022003e-05
2024-06-19,11:18:19,0.6098,25.81,24.75,3352,15267277.0,2.408302736022003e-05
2024-06-19,11:18:19,0.6158,25.81,24.75,3352,15267277.0,2.408302736022003e-05
2024-06-19,11:18:19,0.6218,25.81,24.75,3351,15267277.0,2.412157725045732e-05
2024-06-19,11:18:19,0.6278,25.81,24.75,3351,15267277.0,2.412157725045732e-05
2024-06-19,11:18:19,0.6337,25.81,24.75,3352,15267277.0,2.408302736022003e-05
2024-06-19,11:18:19,0.6396,25.81,24.75,3352,15267277.0,2.408302736022003e-05
2024-06-19,11:18:19,0.6455,25.81,24.75,3352,15267277.0,2.408302736022003e-05
2024-06-19,11:18:19,0.6515,25.81,24.75,3352,15267277.0,2.408302736022003e-05
2024-06-19,11:18:19,0.6575,25.81,24.75,3352,15267277.0,2.408302736022003e-05
2024-06-19,11:18:19,0.6634,25.81,24.75,3355,15267276.0,2.396774694678868e-05
2024-06-19,11:18:19,0.6693,25.81,24.75,3355,15267276.0,2.396774694678868e-05
2024-06-19,11:18:19,0.6752,25.81,24.75,3353,15267277.0,2.404453907847634e-05
