Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-01-02,10:12:29,0.0541,27.0,25.25,3405,15120316.0,2.212565171830715e-05
2024-01-02,10:12:29,0.0822,27.0,25.25,3369,15120641.0,2.343702546203084e-05
2024-01-02,10:12:29,0.1126,27.0,25.25,3381,15120551.0,2.299148476876735e-05
2024-01-02,10:12:29,0.1169,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1211,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1253,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1295,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1337,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1379,27.0,25.25,3368,15120555.0,2.347454129197761e-05
2024-01-02,10:12:29,0.1422,27.0,25.25,3368,15120556.0,2.347454129197761e-05
2024-01-02,10:12:29,0.1464,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1507,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1549,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1591,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1633,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1676,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1718,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.176,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1802,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1845,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1887,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.193,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.1972,27.0,25.25,3368,15120559.0,2.347454129197761e-05
2024-01-02,10:12:29,0.2014,27.0,25.25,3367,15120559.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2057,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2099,27.0,25.25,3368,15120555.0,2.347454129197761e-05
2024-01-02,10:12:29,0.2141,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2184,27.0,25.25,3368,15120555.0,2.347454129197761e-05
2024-01-02,10:12:29,0.2226,27.0,25.25,3368,15120555.0,2.347454129197761e-05
2024-01-02,10:12:29,0.2268,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2311,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2353,27.0,25.25,3368,15120555.0,2.347454129197761e-05
2024-01-02,10:12:29,0.2394,27.0,25.25,3369,15120555.0,2.343702546203084e-05
2024-01-02,10:12:29,0.2437,27.0,25.25,3368,15120555.0,2.347454129197761e-05
2024-01-02,10:12:29,0.2479,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2522,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2564,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2606,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2648,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2691,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2733,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2775,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2817,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2859,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2902,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.2944,27.0,25.25,3366,15120555.0,2.354975320364386e-05
2024-01-02,10:12:29,0.2987,27.0,25.25,3367,15120556.0,2.351211717380678e-05
2024-01-02,10:12:29,0.3029,27.0,25.25,3368,15120556.0,2.347454129197761e-05
2024-01-02,10:12:29,0.3071,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.3114,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.3445,27.0,25.25,3366,15120557.0,2.354975320364386e-05
2024-01-02,10:12:29,0.3734,27.0,25.25,3365,15120556.0,2.358744947776824e-05
2024-01-02,10:12:29,0.3776,27.0,25.25,3367,15120555.0,2.351211717380678e-05
2024-01-02,10:12:29,0.3818,27.0,25.25,3368,15120556.0,2.347454129197761e-05
2024-01-02,10:12:29,0.3861,27.0,25.25,3368,15120556.0,2.347454129197761e-05
2024-01-02,10:12:29,0.3903,27.0,25.25,3368,15120556.0,2.347454129197761e-05
2024-01-02,10:12:29,0.3945,27.0,25.25,3368,15120556.0,2.347454129197761e-05
2024-01-02,10:12:29,0.3988,27.0,25.25,3368,15120557.0,2.347454129197761e-05
