Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-07-29,14:49:52,0.0542,26.56,24.0,3205,15332285.0,3.046636405847287e-05
2024-07-29,14:49:52,0.0822,26.56,24.0,3178,15332643.0,3.181086234848457e-05
2024-07-29,14:49:52,0.1128,26.56,24.0,3202,15332553.0,3.061290161380538e-05
2024-07-29,14:49:52,0.1175,26.56,24.0,3197,15332554.0,3.085869880931473e-05
2024-07-29,14:49:52,0.1221,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.1267,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.1312,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.1356,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.1402,26.56,24.0,3197,15332554.0,3.085869880931473e-05
2024-07-29,14:49:52,0.1448,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.1495,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.1539,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.1584,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.163,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.1676,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.1722,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.1767,26.56,24.0,3197,15332554.0,3.085869880931473e-05
2024-07-29,14:49:52,0.1813,26.56,24.0,3197,15332554.0,3.085869880931473e-05
2024-07-29,14:49:52,0.1859,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.1904,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.195,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.1996,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.2042,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.2087,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.2132,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.2178,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.2224,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.227,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.2315,26.56,24.0,3200,15332554.0,3.071098467423187e-05
2024-07-29,14:49:52,0.236,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.2406,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.2498,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.2544,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.2589,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.2634,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.268,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.2726,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.2772,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.2818,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.2863,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.2908,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.3,26.56,24.0,3199,15332555.0,3.076014398757577e-05
2024-07-29,14:49:52,0.3045,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.3089,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.3136,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.3182,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.3228,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.3272,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.3317,26.56,24.0,3197,15332554.0,3.085869880931473e-05
2024-07-29,14:49:52,0.3363,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.3409,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.35,26.56,24.0,3198,15332553.0,3.080938199061697e-05
2024-07-29,14:49:52,0.3545,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.3591,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.3637,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.3683,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.3728,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.3773,26.56,24.0,3199,15332553.0,3.076014398757577e-05
2024-07-29,14:49:52,0.3819,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.3865,26.56,24.0,3198,15332554.0,3.080938199061697e-05
2024-07-29,14:49:52,0.3911,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.4001,26.56,24.0,3199,15332555.0,3.076014398757577e-05
2024-07-29,14:49:52,0.4047,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.4093,26.56,24.0,3199,15332554.0,3.076014398757577e-05
2024-07-29,14:49:52,0.4139,26.56,24.0,3199,15332554.0,3.076014398757577e-05
