Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-22,11:25:28,0.052,27.81,24.5,3190,15034997.0,3.120613400157834e-05
2024-02-22,11:25:28,0.081,27.81,24.5,3309,15035326.0,2.579763290287992e-05
2024-02-22,11:25:28,0.1151,27.81,24.5,3463,15035320.0,2.016545152441494e-05
2024-02-22,11:25:28,0.1253,27.81,24.5,3463,15035320.0,2.016545152441494e-05
2024-02-22,11:25:28,0.1354,27.81,24.5,3463,15035320.0,2.016545152441494e-05
2024-02-22,11:25:28,0.1455,27.81,24.5,3463,15035320.0,2.016545152441494e-05
2024-02-22,11:25:28,0.1557,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:28,0.166,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:28,0.1761,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:28,0.1862,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:28,0.1963,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:28,0.2064,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:28,0.2165,27.81,24.5,3463,15035320.0,2.016545152441494e-05
2024-02-22,11:25:28,0.2266,27.81,24.5,3463,15035320.0,2.016545152441494e-05
2024-02-22,11:25:28,0.2367,27.81,24.5,3463,15035320.0,2.016545152441494e-05
2024-02-22,11:25:28,0.2469,27.81,24.5,3463,15035321.0,2.016545152441494e-05
2024-02-22,11:25:28,0.257,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:28,0.2671,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:28,0.2772,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:28,0.2874,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:28,0.2977,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:28,0.3078,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:28,0.3178,27.81,24.5,3463,15035320.0,2.016545152441494e-05
2024-02-22,11:25:28,0.3279,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:28,0.3381,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:28,0.3482,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:28,0.3583,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:28,0.3683,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:28,0.3783,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:28,0.3884,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:28,0.3987,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:28,0.4188,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:28,0.4289,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:28,0.439,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:28,0.4491,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:29,0.4592,27.81,24.5,3463,15035320.0,2.016545152441494e-05
2024-02-22,11:25:29,0.4693,27.81,24.5,3463,15035321.0,2.016545152441494e-05
2024-02-22,11:25:29,0.4796,27.81,24.5,3463,15035321.0,2.016545152441494e-05
2024-02-22,11:25:29,0.4897,27.81,24.5,3463,15035321.0,2.016545152441494e-05
2024-02-22,11:25:29,0.4997,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.5098,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.5199,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.5401,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.5502,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:29,0.5603,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:29,0.5704,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.5805,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.5907,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:29,0.6008,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:29,0.6109,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.6209,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:29,0.631,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:29,0.6411,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.6613,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:29,0.6716,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:29,0.6817,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.6918,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.7019,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.712,27.81,24.5,3465,15035320.0,2.010104821005114e-05
2024-02-22,11:25:29,0.7221,27.81,24.5,3465,15035320.0,2.010104821005114e-05
2024-02-22,11:25:29,0.7321,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:29,0.7422,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.7525,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.7626,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:29,0.7828,27.81,24.5,3465,15035320.0,2.010104821005114e-05
2024-02-22,11:25:29,0.7929,27.81,24.5,3465,15035320.0,2.010104821005114e-05
2024-02-22,11:25:29,0.803,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:29,0.813,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.8231,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.8332,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.8432,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.8533,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,0.8634,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:29,0.8735,27.81,24.5,3466,15035321.0,2.006892372689209e-05
2024-02-22,11:25:29,0.8837,27.81,24.5,3465,15035320.0,2.010104821005114e-05
2024-02-22,11:25:29,0.8938,27.81,24.5,3464,15035320.0,2.01332241151216e-05
2024-02-22,11:25:29,0.914,27.81,24.5,3465,15035320.0,2.010104821005114e-05
2024-02-22,11:25:29,0.9241,27.81,24.5,3466,15035321.0,2.006892372689209e-05
2024-02-22,11:25:29,0.9342,27.81,24.5,3466,15035321.0,2.006892372689209e-05
2024-02-22,11:25:29,0.9443,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:29,0.9544,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:29,0.9645,27.81,24.5,3465,15035320.0,2.010104821005114e-05
2024-02-22,11:25:29,0.9747,27.81,24.5,3465,15035320.0,2.010104821005114e-05
2024-02-22,11:25:29,0.9848,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:29,0.9949,27.81,24.5,3464,15035321.0,2.01332241151216e-05
2024-02-22,11:25:29,1.005,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:29,1.0151,27.81,24.5,3465,15035321.0,2.010104821005114e-05
2024-02-22,11:25:29,1.0351,27.81,24.5,3464,15035321.0,2.01332241151216e-05
