Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-01-08,09:10:46,0.0541,27.19,25.25,3205,14951191.0,3.046636405847287e-05
2024-01-08,09:10:46,0.0821,27.19,25.25,3169,14951514.0,3.227208668312896e-05
2024-01-08,09:10:46,0.1125,27.19,25.25,3183,14951423.0,3.155748093404753e-05
2024-01-08,09:10:46,0.1168,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.121,27.19,25.25,3176,14951425.0,3.191278364863791e-05
2024-01-08,09:10:46,0.1252,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.1294,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.1336,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.1379,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.1421,27.19,25.25,3177,14951425.0,3.186178224462326e-05
2024-01-08,09:10:46,0.1463,27.19,25.25,3177,14951425.0,3.186178224462326e-05
2024-01-08,09:10:46,0.1504,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.1547,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.1589,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.1631,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.1674,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.1716,27.19,25.25,3176,14951425.0,3.191278364863791e-05
2024-01-08,09:10:46,0.1758,27.19,25.25,3177,14951425.0,3.186178224462326e-05
2024-01-08,09:10:46,0.1801,27.19,25.25,3177,14951425.0,3.186178224462326e-05
2024-01-08,09:10:46,0.1842,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.1884,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.1927,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.1969,27.19,25.25,3176,14951425.0,3.191278364863791e-05
2024-01-08,09:10:46,0.2011,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.2053,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.2138,27.19,25.25,3176,14951425.0,3.191278364863791e-05
2024-01-08,09:10:46,0.218,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.2222,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.2264,27.19,25.25,3177,14951425.0,3.186178224462326e-05
2024-01-08,09:10:46,0.2307,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.2391,27.19,25.25,3176,14951425.0,3.191278364863791e-05
2024-01-08,09:10:46,0.2433,27.19,25.25,3176,14951425.0,3.191278364863791e-05
2024-01-08,09:10:46,0.2474,27.19,25.25,3176,14951425.0,3.191278364863791e-05
2024-01-08,09:10:46,0.2517,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.256,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.2643,27.19,25.25,3176,14951425.0,3.191278364863791e-05
2024-01-08,09:10:46,0.2686,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.2727,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.277,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.2812,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.2854,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.2938,27.19,25.25,3176,14951427.0,3.191278364863791e-05
2024-01-08,09:10:46,0.298,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.3022,27.19,25.25,3178,14951426.0,3.181086234848457e-05
2024-01-08,09:10:46,0.3065,27.19,25.25,3178,14951426.0,3.181086234848457e-05
2024-01-08,09:10:46,0.3107,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.3191,27.19,25.25,3177,14951427.0,3.186178224462326e-05
2024-01-08,09:10:46,0.3234,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.3276,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.3318,27.19,25.25,3178,14951426.0,3.181086234848457e-05
2024-01-08,09:10:46,0.336,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.3444,27.19,25.25,3178,14951427.0,3.181086234848457e-05
2024-01-08,09:10:46,0.3486,27.19,25.25,3178,14951426.0,3.181086234848457e-05
2024-01-08,09:10:46,0.3528,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.357,27.19,25.25,3176,14951426.0,3.191278364863791e-05
2024-01-08,09:10:46,0.3612,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.3655,27.19,25.25,3178,14951426.0,3.181086234848457e-05
2024-01-08,09:10:46,0.3739,27.19,25.25,3177,14951426.0,3.186178224462326e-05
2024-01-08,09:10:46,0.3781,27.19,25.25,3177,14951427.0,3.186178224462326e-05
