Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-10-04,11:06:08,0.054,27.5,24.25,3372,15085270.0,2.332483732453251e-05
2023-10-04,11:06:08,0.0823,27.5,24.25,3350,15085557.0,2.416018884780538e-05
2023-10-04,11:06:08,0.1126,27.5,24.25,3356,15085487.0,2.392944290039733e-05
2023-10-04,11:06:08,0.1163,27.5,24.25,3342,15085491.0,2.447131496885164e-05
2023-10-04,11:06:08,0.1199,27.5,24.25,3342,15085490.0,2.447131496885164e-05
2023-10-04,11:06:08,0.1236,27.5,24.25,3343,15085490.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1273,27.5,24.25,3343,15085490.0,2.443220614540217e-05
2023-10-04,11:06:08,0.131,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1347,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1384,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1421,27.5,24.25,3343,15085490.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1458,27.5,24.25,3343,15085490.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1495,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1532,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1569,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1606,27.5,24.25,3342,15085491.0,2.447131496885164e-05
2023-10-04,11:06:08,0.1642,27.5,24.25,3342,15085491.0,2.447131496885164e-05
2023-10-04,11:06:08,0.1679,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1716,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1753,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.179,27.5,24.25,3343,15085490.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1827,27.5,24.25,3342,15085491.0,2.447131496885164e-05
2023-10-04,11:06:08,0.1864,27.5,24.25,3342,15085491.0,2.447131496885164e-05
2023-10-04,11:06:08,0.19,27.5,24.25,3343,15085490.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1937,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.1974,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.2011,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.2048,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.2085,27.5,24.25,3344,15085491.0,2.439315982370518e-05
2023-10-04,11:06:08,0.2122,27.5,24.25,3344,15085491.0,2.439315982370518e-05
2023-10-04,11:06:08,0.2159,27.5,24.25,3343,15085490.0,2.443220614540217e-05
2023-10-04,11:06:08,0.2195,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.2232,27.5,24.25,3344,15085491.0,2.439315982370518e-05
2023-10-04,11:06:08,0.2269,27.5,24.25,3343,15085491.0,2.443220614540217e-05
2023-10-04,11:06:08,0.2306,27.5,24.25,3342,15085491.0,2.447131496885164e-05
2023-10-04,11:06:08,0.2343,27.5,24.25,3342,15085491.0,2.447131496885164e-05
2023-10-04,11:06:08,0.238,27.5,24.25,3343,15085492.0,2.443220614540217e-05
2023-10-04,11:06:08,0.2417,27.5,24.25,3344,15085491.0,2.439315982370518e-05
2023-10-04,11:06:08,0.2454,27.5,24.25,3343,15085490.0,2.443220614540217e-05
