Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-01-05,09:45:38,0.0541,27.0,24.25,3392,15141961.0,2.259051688470672e-05
2024-01-05,09:45:38,0.0822,27.0,24.25,3356,15142284.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1127,27.0,24.25,3368,15142192.0,2.347454129197761e-05
2024-01-05,09:45:38,0.1169,27.0,24.25,3356,15142195.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1211,27.0,24.25,3356,15142195.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1253,27.0,24.25,3356,15142195.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1296,27.0,24.25,3356,15142195.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1338,27.0,24.25,3356,15142195.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1379,27.0,24.25,3356,15142195.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1422,27.0,24.25,3356,15142195.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1465,27.0,24.25,3356,15142195.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1507,27.0,24.25,3356,15142195.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1549,27.0,24.25,3357,15142195.0,2.389120006960434e-05
2024-01-05,09:45:38,0.1592,27.0,24.25,3356,15142196.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1634,27.0,24.25,3356,15142196.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1676,27.0,24.25,3357,15142196.0,2.389120006960434e-05
2024-01-05,09:45:38,0.1719,27.0,24.25,3356,15142195.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1762,27.0,24.25,3355,15142195.0,2.396774694678868e-05
2024-01-05,09:45:38,0.1804,27.0,24.25,3355,15142195.0,2.396774694678868e-05
2024-01-05,09:45:38,0.1847,27.0,24.25,3356,15142195.0,2.392944290039733e-05
2024-01-05,09:45:38,0.1889,27.0,24.25,3356,15142195.0,2.392944290039733e-05
