Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-01-30,11:12:09,0.0541,28.12,24.0,3368,15095320.0,2.347454129197761e-05
2024-01-30,11:12:09,0.0822,28.12,24.0,3329,15095645.0,2.498546307394902e-05
2024-01-30,11:12:09,0.1127,28.12,24.0,3341,15095556.0,2.451048639410068e-05
2024-01-30,11:12:09,0.1169,28.12,24.0,3331,15095559.0,2.490566587075084e-05
2024-01-30,11:12:09,0.1212,28.12,24.0,3332,15095560.0,2.486586288955955e-05
2024-01-30,11:12:09,0.1255,28.12,24.0,3332,15095560.0,2.486586288955955e-05
2024-01-30,11:12:09,0.1297,28.12,24.0,3331,15095560.0,2.490566587075084e-05
2024-01-30,11:12:09,0.1339,28.12,24.0,3331,15095560.0,2.490566587075084e-05
2024-01-30,11:12:09,0.1381,28.12,24.0,3331,15095560.0,2.490566587075084e-05
2024-01-30,11:12:09,0.1424,28.12,24.0,3331,15095560.0,2.490566587075084e-05
2024-01-30,11:12:09,0.1466,28.12,24.0,3331,15095560.0,2.490566587075084e-05
2024-01-30,11:12:09,0.1508,28.12,24.0,3331,15095560.0,2.490566587075084e-05
2024-01-30,11:12:09,0.155,28.12,24.0,3331,15095560.0,2.490566587075084e-05
2024-01-30,11:12:09,0.1593,28.12,24.0,3331,15095560.0,2.490566587075084e-05
2024-01-30,11:12:09,0.1635,28.12,24.0,3331,15095560.0,2.490566587075084e-05
2024-01-30,11:12:09,0.1677,28.12,24.0,3331,15095561.0,2.490566587075084e-05
2024-01-30,11:12:09,0.1719,28.12,24.0,3331,15095562.0,2.490566587075084e-05
2024-01-30,11:12:09,0.1763,28.12,24.0,3331,15095562.0,2.490566587075084e-05
2024-01-30,11:12:09,0.1806,28.12,24.0,3332,15095563.0,2.486586288955955e-05
2024-01-30,11:12:09,0.1849,28.12,24.0,3333,15095563.0,2.482612351948873e-05
2024-01-30,11:12:09,0.1891,28.12,24.0,3334,15095564.0,2.478644765887827e-05
2024-01-30,11:12:09,0.1933,28.12,24.0,3334,15095564.0,2.478644765887827e-05
2024-01-30,11:12:09,0.1975,28.12,24.0,3334,15095564.0,2.478644765887827e-05
2024-01-30,11:12:09,0.2018,28.12,24.0,3334,15095564.0,2.478644765887827e-05
2024-01-30,11:12:09,0.206,28.12,24.0,3335,15095564.0,2.474683520623056e-05
2024-01-30,11:12:09,0.2102,28.12,24.0,3336,15095564.0,2.470728606021017e-05
2024-01-30,11:12:09,0.2144,28.12,24.0,3335,15095564.0,2.474683520623056e-05
2024-01-30,11:12:09,0.2187,28.12,24.0,3335,15095564.0,2.474683520623056e-05
2024-01-30,11:12:09,0.2229,28.12,24.0,3335,15095564.0,2.474683520623056e-05
2024-01-30,11:12:09,0.2271,28.12,24.0,3335,15095564.0,2.474683520623056e-05
2024-01-30,11:12:09,0.2313,28.12,24.0,3336,15095564.0,2.470728606021017e-05
2024-01-30,11:12:09,0.2357,28.12,24.0,3336,15095564.0,2.470728606021017e-05
2024-01-30,11:12:09,0.24,28.12,24.0,3336,15095564.0,2.470728606021017e-05
2024-01-30,11:12:09,0.2443,28.12,24.0,3336,15095564.0,2.470728606021017e-05
2024-01-30,11:12:09,0.2485,28.12,24.0,3336,15095564.0,2.470728606021017e-05
2024-01-30,11:12:09,0.2527,28.12,24.0,3336,15095564.0,2.470728606021017e-05
2024-01-30,11:12:09,0.2569,28.12,24.0,3335,15095564.0,2.474683520623056e-05
2024-01-30,11:12:09,0.2612,28.12,24.0,3335,15095564.0,2.474683520623056e-05
2024-01-30,11:12:09,0.2654,28.12,24.0,3336,15095564.0,2.470728606021017e-05
2024-01-30,11:12:09,0.2696,28.12,24.0,3336,15095564.0,2.470728606021017e-05
2024-01-30,11:12:09,0.2738,28.12,24.0,3337,15095565.0,2.466780011964366e-05
2024-01-30,11:12:09,0.278,28.12,24.0,3337,15095565.0,2.466780011964366e-05
2024-01-30,11:12:09,0.2824,28.12,24.0,3336,15095565.0,2.470728606021017e-05
2024-01-30,11:12:09,0.2868,28.12,24.0,3336,15095564.0,2.470728606021017e-05
2024-01-30,11:12:09,0.291,28.12,24.0,3336,15095564.0,2.470728606021017e-05
2024-01-30,11:12:09,0.2952,28.12,24.0,3337,15095564.0,2.466780011964366e-05
2024-01-30,11:12:09,0.2994,28.12,24.0,3337,15095564.0,2.466780011964366e-05
2024-01-30,11:12:09,0.3036,28.12,24.0,3336,15095565.0,2.470728606021017e-05
2024-01-30,11:12:09,0.3079,28.12,24.0,3336,15095564.0,2.470728606021017e-05
2024-01-30,11:12:09,0.3121,28.12,24.0,3337,15095564.0,2.466780011964366e-05
2024-01-30,11:12:09,0.3163,28.12,24.0,3338,15095564.0,2.462837728351922e-05
2024-01-30,11:12:09,0.3205,28.12,24.0,3338,15095564.0,2.462837728351922e-05
2024-01-30,11:12:09,0.3248,28.12,24.0,3338,15095564.0,2.462837728351922e-05
2024-01-30,11:12:09,0.329,28.12,24.0,3337,15095565.0,2.466780011964366e-05
2024-01-30,11:12:09,0.3332,28.12,24.0,3337,15095565.0,2.466780011964366e-05
2024-01-30,11:12:09,0.3374,28.12,24.0,3337,15095565.0,2.466780011964366e-05
2024-01-30,11:12:09,0.3417,28.12,24.0,3337,15095565.0,2.466780011964366e-05
2024-01-30,11:12:09,0.3459,28.12,24.0,3337,15095565.0,2.466780011964366e-05
2024-01-30,11:12:09,0.3501,28.12,24.0,3336,15095565.0,2.470728606021017e-05
2024-01-30,11:12:09,0.3543,28.12,24.0,3337,15095565.0,2.466780011964366e-05
