Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-07-24,14:17:41,0.0542,27.0,25.5,3218,15251126.0,2.983943057705171e-05
2024-07-24,14:17:41,0.0822,27.0,25.5,3188,15251487.0,3.130611776546872e-05
2024-07-24,14:17:41,0.1129,27.0,25.5,3211,15251401.0,3.017538992399754e-05
2024-07-24,14:17:41,0.1175,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.122,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.1265,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.1311,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.1356,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.1402,27.0,25.5,3207,15251402.0,3.036906225396806e-05
2024-07-24,14:17:41,0.1448,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.1493,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.1538,27.0,25.5,3207,15251402.0,3.036906225396806e-05
2024-07-24,14:17:41,0.1584,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.1629,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.1675,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.172,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.1766,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.1811,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.1856,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.1902,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.1947,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.1993,27.0,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.2038,27.0,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.2084,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.2129,27.0,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.2175,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.222,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.2265,27.0,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.2311,27.0,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.2356,27.0,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.2447,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.2493,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.2538,27.0,25.5,3207,15251402.0,3.036906225396806e-05
2024-07-24,14:17:41,0.2583,27.0,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.2629,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.2674,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.2719,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.2765,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.281,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.2855,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.2946,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.2992,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.3037,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.3082,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.3128,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.3173,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.3219,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.3264,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.331,27.0,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.3355,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.3445,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.3491,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.3536,27.0,25.5,3207,15251403.0,3.036906225396806e-05
2024-07-24,14:17:41,0.3582,27.0,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.3627,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.3672,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.3717,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.3763,27.0,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.3809,27.0,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.3899,27.0,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.3944,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.399,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4035,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4081,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4126,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4171,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4216,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4262,27.0,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4308,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4398,27.0,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.4444,27.0,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4489,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4535,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4581,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4626,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4671,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4717,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.4762,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.4807,27.06,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4898,27.06,25.5,3208,15251404.0,3.032052794775979e-05
2024-07-24,14:17:41,0.4943,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.4989,27.06,25.5,3210,15251403.0,3.022369190663609e-05
2024-07-24,14:17:41,0.5035,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.508,27.06,25.5,3210,15251403.0,3.022369190663609e-05
2024-07-24,14:17:41,0.5126,27.06,25.5,3211,15251403.0,3.017538992399754e-05
2024-07-24,14:17:41,0.5171,27.06,25.5,3210,15251403.0,3.022369190663609e-05
2024-07-24,14:17:41,0.5216,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.5262,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.5352,27.06,25.5,3209,15251404.0,3.027207120663602e-05
2024-07-24,14:17:41,0.5398,27.06,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.5443,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.5489,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.5534,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.5579,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.5625,27.06,25.5,3209,15251404.0,3.027207120663602e-05
2024-07-24,14:17:41,0.567,27.06,25.5,3208,15251404.0,3.032052794775979e-05
2024-07-24,14:17:41,0.5716,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.5761,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.5852,27.06,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.5897,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.5943,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.5988,27.06,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.6034,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6079,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6125,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.617,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6215,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6261,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.6351,27.06,25.5,3209,15251404.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6396,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6442,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6487,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6533,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6578,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6624,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6669,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6714,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6805,27.06,25.5,3208,15251404.0,3.032052794775979e-05
2024-07-24,14:17:41,0.685,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.6896,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.6941,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.6987,27.06,25.5,3207,15251403.0,3.036906225396806e-05
2024-07-24,14:17:41,0.7032,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.7078,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.7123,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.7169,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.7214,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.7305,27.06,25.5,3208,15251402.0,3.032052794775979e-05
2024-07-24,14:17:41,0.735,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.7396,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.7442,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.7487,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.7532,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.7578,27.06,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.7623,27.06,25.5,3209,15251402.0,3.027207120663602e-05
2024-07-24,14:17:41,0.7668,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:41,0.7713,27.06,25.5,3208,15251403.0,3.032052794775979e-05
2024-07-24,14:17:41,0.7804,27.06,25.5,3208,15251404.0,3.032052794775979e-05
2024-07-24,14:17:41,0.785,27.06,25.5,3208,15251404.0,3.032052794775979e-05
2024-07-24,14:17:42,0.7895,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:42,0.794,27.06,25.5,3209,15251403.0,3.027207120663602e-05
2024-07-24,14:17:42,0.7986,27.06,25.5,3209,15251403.0,3.027207120663602e-05
