Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-04-24,11:40:45,0.0528,26.25,25.25,3287,15041570.0,2.672154468165959e-05
2024-04-24,11:40:45,0.0807,26.25,25.25,3290,15041896.0,2.659363423782914e-05
2024-04-24,11:40:45,0.1119,26.25,25.25,3347,15041840.0,2.427639487105564e-05
2024-04-24,11:40:45,0.1176,26.25,25.25,3348,15041839.0,2.423759755909219e-05
2024-04-24,11:40:45,0.1235,26.25,25.25,3347,15041839.0,2.427639487105564e-05
2024-04-24,11:40:45,0.1293,26.25,25.25,3347,15041839.0,2.427639487105564e-05
2024-04-24,11:40:45,0.135,26.25,25.25,3347,15041839.0,2.427639487105564e-05
2024-04-24,11:40:45,0.1409,26.25,25.25,3347,15041839.0,2.427639487105564e-05
2024-04-24,11:40:45,0.1467,26.25,25.25,3348,15041839.0,2.423759755909219e-05
2024-04-24,11:40:45,0.1524,26.25,25.25,3348,15041839.0,2.423759755909219e-05
2024-04-24,11:40:45,0.1582,26.25,25.25,3348,15041840.0,2.423759755909219e-05
2024-04-24,11:40:45,0.164,26.25,25.25,3348,15041840.0,2.423759755909219e-05
2024-04-24,11:40:45,0.1698,26.25,25.25,3348,15041840.0,2.423759755909219e-05
2024-04-24,11:40:45,0.1757,26.25,25.25,3348,15041840.0,2.423759755909219e-05
2024-04-24,11:40:46,0.1815,26.25,25.25,3348,15041839.0,2.423759755909219e-05
2024-04-24,11:40:46,0.1873,26.25,25.25,3348,15041839.0,2.423759755909219e-05
2024-04-24,11:40:46,0.193,26.25,25.25,3348,15041840.0,2.423759755909219e-05
2024-04-24,11:40:46,0.1988,26.25,25.25,3348,15041840.0,2.423759755909219e-05
2024-04-24,11:40:46,0.2047,26.25,25.25,3348,15041840.0,2.423759755909219e-05
2024-04-24,11:40:46,0.2105,26.25,25.25,3348,15041839.0,2.423759755909219e-05
2024-04-24,11:40:46,0.2163,26.25,25.25,3348,15041840.0,2.423759755909219e-05
2024-04-24,11:40:46,0.2221,26.25,25.25,3348,15041840.0,2.423759755909219e-05
2024-04-24,11:40:46,0.2278,26.25,25.25,3347,15041840.0,2.427639487105564e-05
