Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-01-05,10:34:22,0.3377,27.38,25.25,3527,5047957.0,3.152977530277268e-05
2024-01-05,10:34:22,0.3662,27.38,25.25,3339,5048300.0,4.259022730989628e-05
2024-01-05,10:34:22,0.5848,27.31,25.25,3346,5048222.0,4.211604669485382e-05
2024-01-05,10:34:23,0.8159,27.31,25.25,3346,5048183.0,4.211604669485382e-05
2024-01-05,10:34:23,1.0555,27.31,25.25,3348,5048164.0,4.198153877214426e-05
2024-01-05,10:34:23,1.2949,27.31,25.25,3346,5048154.0,4.211604669485382e-05
2024-01-05,10:34:23,1.5345,27.31,25.25,3346,5048149.0,4.211604669485382e-05
2024-01-05,10:34:24,1.7741,27.31,25.25,3349,5048147.0,4.19144459906543e-05
2024-01-05,10:34:24,2.0135,27.31,25.25,3346,5048146.0,4.211604669485382e-05
2024-01-05,10:34:24,2.2531,27.31,25.25,3347,5048145.0,4.204873894957428e-05
2024-01-05,10:34:24,2.4926,27.31,25.25,3347,5048145.0,4.204873894957428e-05
2024-01-05,10:34:25,2.7324,27.31,25.25,3347,5048145.0,4.204873894957428e-05
2024-01-05,10:34:25,2.9719,27.31,25.25,3346,5048145.0,4.211604669485382e-05
2024-01-05,10:34:25,3.2117,27.31,25.25,3348,5048145.0,4.198153877214426e-05
2024-01-05,10:34:25,3.4515,27.31,25.25,3348,5048144.0,4.198153877214426e-05
2024-01-05,10:34:26,3.6912,27.38,25.25,3348,5048145.0,4.198153877214426e-05
2024-01-05,10:34:26,3.927,27.38,25.25,3344,5048144.0,4.225098557797601e-05
2024-01-05,10:34:26,3.9294,27.38,25.25,3266,5048138.0,4.786492918745464e-05
2024-01-05,10:34:26,4.1688,27.31,25.25,3347,5048142.0,4.204873894957428e-05
2024-01-05,10:34:26,4.4086,27.31,25.25,3347,5048143.0,4.204873894957428e-05
2024-01-05,10:34:27,4.6484,27.31,25.25,3348,5048144.0,4.198153877214426e-05
2024-01-05,10:34:27,4.8895,27.31,25.25,3257,5048094.0,4.855892075157633e-05
2024-01-05,10:34:27,5.1263,27.31,25.25,3207,5048032.0,5.26017465790605e-05
2024-01-05,10:34:27,5.1295,27.31,25.25,3211,5048002.0,5.226628996419073e-05
2024-01-05,10:34:27,5.3695,27.31,25.25,3199,5047980.0,5.327913273181353e-05
2024-01-05,10:34:27,5.6068,27.38,25.25,3194,5047967.0,5.370692169379625e-05
2024-01-05,10:34:28,5.8453,27.38,25.25,3190,5047958.0,5.405162460190048e-05
2024-01-05,10:34:28,5.8485,27.38,25.25,3194,5047955.0,5.370692169379625e-05
2024-01-05,10:34:28,6.0883,27.31,25.25,3185,5047950.0,5.448561605777345e-05
2024-01-05,10:34:28,6.329,27.31,25.25,3182,5047947.0,5.474768175627847e-05
2024-01-05,10:34:28,6.5663,27.25,25.25,3180,5047943.0,5.492309211906126e-05
2024-01-05,10:34:29,6.8089,27.25,25.25,3179,5047941.0,5.501100794214337e-05
