Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-09,14:56:01,0.058,26.69,24.75,3398,14969219.0,2.237476235340585e-05
2024-02-09,14:56:01,0.0875,26.69,24.75,3316,14969583.0,2.551041355212326e-05
2024-02-09,14:56:01,0.1184,26.69,24.75,3280,14969413.0,2.702240004407852e-05
2024-02-09,14:56:01,0.1214,26.69,24.75,3241,14969428.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1242,26.69,24.75,3242,14969430.0,2.871571171068163e-05
2024-02-09,14:56:01,0.127,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1298,26.69,24.75,3242,14969432.0,2.871571171068163e-05
2024-02-09,14:56:01,0.1327,26.69,24.75,3242,14969431.0,2.871571171068163e-05
2024-02-09,14:56:01,0.1355,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1383,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1411,26.69,24.75,3242,14969431.0,2.871571171068163e-05
2024-02-09,14:56:01,0.1439,26.69,24.75,3242,14969430.0,2.871571171068163e-05
2024-02-09,14:56:01,0.1467,26.69,24.75,3242,14969431.0,2.871571171068163e-05
2024-02-09,14:56:01,0.1496,26.69,24.75,3242,14969431.0,2.871571171068163e-05
2024-02-09,14:56:01,0.1524,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1552,26.69,24.75,3241,14969430.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1579,26.69,24.75,3241,14969430.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1607,26.69,24.75,3241,14969430.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1635,26.69,24.75,3241,14969430.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1662,26.69,24.75,3241,14969430.0,2.876167717498871e-05
2024-02-09,14:56:01,0.169,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1718,26.69,24.75,3242,14969431.0,2.871571171068163e-05
2024-02-09,14:56:01,0.1746,26.69,24.75,3241,14969429.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1775,26.69,24.75,3241,14969430.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1803,26.69,24.75,3242,14969430.0,2.871571171068163e-05
2024-02-09,14:56:01,0.1831,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1859,26.69,24.75,3241,14969430.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1887,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.1915,26.69,24.75,3242,14969431.0,2.871571171068163e-05
2024-02-09,14:56:01,0.1944,26.69,24.75,3242,14969431.0,2.871571171068163e-05
2024-02-09,14:56:01,0.1972,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.2,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.2028,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.2056,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.2084,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.2112,26.69,24.75,3242,14969431.0,2.871571171068163e-05
2024-02-09,14:56:01,0.2141,26.69,24.75,3241,14969430.0,2.876167717498871e-05
2024-02-09,14:56:01,0.2169,26.69,24.75,3240,14969430.0,2.880771621657395e-05
2024-02-09,14:56:01,0.2196,26.69,24.75,3241,14969430.0,2.876167717498871e-05
2024-02-09,14:56:01,0.2223,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.2251,26.69,24.75,3240,14969437.0,2.880771621657395e-05
2024-02-09,14:56:01,0.2279,26.69,24.75,3239,14969437.0,2.885382895321314e-05
2024-02-09,14:56:01,0.2307,26.69,24.75,3240,14969431.0,2.880771621657395e-05
2024-02-09,14:56:01,0.2335,26.69,24.75,3242,14969430.0,2.871571171068163e-05
2024-02-09,14:56:01,0.2363,26.69,24.75,3242,14969430.0,2.871571171068163e-05
2024-02-09,14:56:01,0.2392,26.69,24.75,3241,14969430.0,2.876167717498871e-05
2024-02-09,14:56:01,0.242,26.69,24.75,3241,14969431.0,2.876167717498871e-05
2024-02-09,14:56:01,0.2448,26.69,24.75,3242,14969430.0,2.871571171068163e-05
