Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-04-22,10:22:30,0.0528,26.88,22.5,3363,15128870.0,2.366302314476723e-05
2024-04-22,10:22:30,0.0808,26.88,22.5,3373,15129200.0,2.328756074392889e-05
2024-04-22,10:22:30,0.1119,26.88,22.5,3431,15129148.0,2.122442237102593e-05
2024-04-22,10:22:30,0.1177,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.1235,26.88,22.5,3431,15129148.0,2.122442237102593e-05
2024-04-22,10:22:30,0.1293,26.88,22.5,3430,15129148.0,2.125839646990122e-05
2024-04-22,10:22:30,0.135,26.88,22.5,3431,15129148.0,2.122442237102593e-05
2024-04-22,10:22:30,0.1409,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.1467,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.1524,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.1582,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.164,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.1698,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.1756,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.1814,26.88,22.5,3432,15129151.0,2.119050256784484e-05
2024-04-22,10:22:30,0.1871,26.88,22.5,3432,15129151.0,2.119050256784484e-05
2024-04-22,10:22:30,0.1929,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.1987,26.88,22.5,3433,15129148.0,2.115663697358534e-05
2024-04-22,10:22:30,0.2045,26.88,22.5,3433,15129148.0,2.115663697358534e-05
2024-04-22,10:22:30,0.2104,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2161,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2219,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2278,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2336,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2393,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2451,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2509,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2568,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2625,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2683,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2741,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2799,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2857,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2915,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.2973,26.88,22.5,3432,15129149.0,2.119050256784484e-05
2024-04-22,10:22:30,0.303,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.3088,26.88,22.5,3432,15129148.0,2.119050256784484e-05
2024-04-22,10:22:30,0.3146,26.88,22.5,3433,15129148.0,2.115663697358534e-05
2024-04-22,10:22:30,0.3204,26.88,22.5,3433,15129148.0,2.115663697358534e-05
2024-04-22,10:22:30,0.3261,26.88,22.5,3433,15129148.0,2.115663697358534e-05
2024-04-22,10:22:30,0.3319,26.88,22.5,3433,15129148.0,2.115663697358534e-05
2024-04-22,10:22:30,0.3377,26.88,22.5,3433,15129148.0,2.115663697358534e-05
2024-04-22,10:22:30,0.3434,26.88,22.5,3434,15129148.0,2.112282550161344e-05
2024-04-22,10:22:30,0.3492,26.88,22.5,3434,15129148.0,2.112282550161344e-05
