Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-07-23,09:02:45,0.0542,26.31,25.0,3181,15026108.0,3.165859040574708e-05
2024-07-23,09:02:45,0.0822,26.31,25.0,3153,15026466.0,3.310861485616324e-05
2024-07-23,09:02:45,0.1129,26.31,25.0,3176,15026375.0,3.191278364863791e-05
2024-07-23,09:02:45,0.1174,26.31,25.0,3172,15026376.0,3.211760695599677e-05
2024-07-23,09:02:45,0.122,26.31,25.0,3172,15026376.0,3.211760695599677e-05
2024-07-23,09:02:45,0.1266,26.31,25.0,3172,15026376.0,3.211760695599677e-05
2024-07-23,09:02:45,0.1311,26.31,25.0,3173,15026376.0,3.206627821368519e-05
2024-07-23,09:02:45,0.1357,26.31,25.0,3173,15026376.0,3.206627821368519e-05
2024-07-23,09:02:45,0.1403,26.31,25.0,3173,15026376.0,3.206627821368519e-05
2024-07-23,09:02:45,0.1448,26.31,25.0,3173,15026376.0,3.206627821368519e-05
2024-07-23,09:02:45,0.1494,26.31,25.0,3173,15026376.0,3.206627821368519e-05
2024-07-23,09:02:45,0.1539,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:45,0.1585,26.31,25.0,3172,15026376.0,3.211760695599677e-05
2024-07-23,09:02:45,0.163,26.31,25.0,3172,15026376.0,3.211760695599677e-05
2024-07-23,09:02:45,0.1676,26.31,25.0,3172,15026376.0,3.211760695599677e-05
2024-07-23,09:02:45,0.1722,26.31,25.0,3172,15026376.0,3.211760695599677e-05
2024-07-23,09:02:45,0.1767,26.31,25.0,3172,15026376.0,3.211760695599677e-05
2024-07-23,09:02:45,0.1813,26.31,25.0,3172,15026376.0,3.211760695599677e-05
2024-07-23,09:02:45,0.1858,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:45,0.1904,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:45,0.195,26.31,25.0,3172,15026376.0,3.211760695599677e-05
2024-07-23,09:02:46,0.1996,26.31,25.0,3172,15026376.0,3.211760695599677e-05
2024-07-23,09:02:46,0.2041,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.2087,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.2133,26.31,25.0,3173,15026376.0,3.206627821368519e-05
2024-07-23,09:02:46,0.2178,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.2224,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.2269,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.2314,26.31,25.0,3172,15026377.0,3.211760695599677e-05
2024-07-23,09:02:46,0.2361,26.31,25.0,3172,15026376.0,3.211760695599677e-05
2024-07-23,09:02:46,0.2406,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.2497,26.31,25.0,3172,15026377.0,3.211760695599677e-05
2024-07-23,09:02:46,0.2543,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.2588,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.2634,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.268,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.2725,26.31,25.0,3174,15026377.0,3.201503150238514e-05
2024-07-23,09:02:46,0.277,26.31,25.0,3174,15026377.0,3.201503150238514e-05
2024-07-23,09:02:46,0.2816,26.31,25.0,3173,15026376.0,3.206627821368519e-05
2024-07-23,09:02:46,0.2862,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.2907,26.31,25.0,3173,15026376.0,3.206627821368519e-05
2024-07-23,09:02:46,0.2999,26.31,25.0,3173,15026378.0,3.206627821368519e-05
2024-07-23,09:02:46,0.3044,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.3089,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.3135,26.31,25.0,3173,15026377.0,3.206627821368519e-05
2024-07-23,09:02:46,0.3181,26.31,25.0,3174,15026377.0,3.201503150238514e-05
2024-07-23,09:02:46,0.3226,26.31,25.0,3174,15026377.0,3.201503150238514e-05
2024-07-23,09:02:46,0.3272,26.31,25.0,3174,15026376.0,3.201503150238514e-05
2024-07-23,09:02:46,0.3318,26.31,25.0,3173,15026376.0,3.206627821368519e-05
2024-07-23,09:02:46,0.3363,26.31,25.0,3172,15026377.0,3.211760695599677e-05
2024-07-23,09:02:46,0.3409,26.31,25.0,3172,15026377.0,3.211760695599677e-05
2024-07-23,09:02:46,0.35,26.31,25.0,3172,15026376.0,3.211760695599677e-05
2024-07-23,09:02:46,0.3545,26.31,25.0,3173,15026376.0,3.206627821368519e-05
