Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-12-08,10:19:04,0.0539,23.81,24.0,3304,15021321.0,2.600476732934825e-05
2023-12-08,10:19:04,0.0822,23.81,24.0,3287,15021611.0,2.672154468165959e-05
2023-12-08,10:19:04,0.1124,23.81,24.0,3291,15021536.0,2.655113363058303e-05
2023-12-08,10:19:04,0.1161,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.1198,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.1234,23.81,24.0,3280,15021538.0,2.702240004407852e-05
2023-12-08,10:19:04,0.1271,23.81,24.0,3281,15021539.0,2.697921420490927e-05
2023-12-08,10:19:04,0.1308,23.81,24.0,3282,15021538.0,2.693609738317374e-05
2023-12-08,10:19:04,0.1345,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.1382,23.81,24.0,3280,15021538.0,2.702240004407852e-05
2023-12-08,10:19:04,0.142,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.1457,23.81,24.0,3282,15021538.0,2.693609738317374e-05
2023-12-08,10:19:04,0.1494,23.81,24.0,3282,15021539.0,2.693609738317374e-05
2023-12-08,10:19:04,0.1531,23.81,24.0,3281,15021539.0,2.697921420490927e-05
2023-12-08,10:19:04,0.1568,23.81,24.0,3280,15021538.0,2.702240004407852e-05
2023-12-08,10:19:04,0.1605,23.81,24.0,3281,15021537.0,2.697921420490927e-05
2023-12-08,10:19:04,0.1642,23.81,24.0,3282,15021538.0,2.693609738317374e-05
2023-12-08,10:19:04,0.1679,23.81,24.0,3282,15021538.0,2.693609738317374e-05
2023-12-08,10:19:04,0.1715,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.1752,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.1789,23.81,24.0,3282,15021538.0,2.693609738317374e-05
2023-12-08,10:19:04,0.1827,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.1864,23.81,24.0,3280,15021538.0,2.702240004407852e-05
2023-12-08,10:19:04,0.19,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.1937,23.81,24.0,3282,15021538.0,2.693609738317374e-05
2023-12-08,10:19:04,0.1975,23.81,24.0,3282,15021538.0,2.693609738317374e-05
2023-12-08,10:19:04,0.2011,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2047,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2085,23.81,24.0,3282,15021538.0,2.693609738317374e-05
2023-12-08,10:19:04,0.2122,23.81,24.0,3281,15021539.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2159,23.81,24.0,3280,15021538.0,2.702240004407852e-05
2023-12-08,10:19:04,0.2197,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2234,23.81,24.0,3282,15021539.0,2.693609738317374e-05
2023-12-08,10:19:04,0.2271,23.81,24.0,3281,15021539.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2308,23.81,24.0,3281,15021539.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2345,23.81,24.0,3281,15021539.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2381,23.81,24.0,3280,15021538.0,2.702240004407852e-05
2023-12-08,10:19:04,0.2418,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2455,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2492,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2529,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2566,23.81,24.0,3280,15021539.0,2.702240004407852e-05
2023-12-08,10:19:04,0.2604,23.81,24.0,3280,15021539.0,2.702240004407852e-05
2023-12-08,10:19:04,0.2639,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2677,23.81,24.0,3282,15021538.0,2.693609738317374e-05
2023-12-08,10:19:04,0.2714,23.81,24.0,3282,15021538.0,2.693609738317374e-05
2023-12-08,10:19:04,0.2751,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2788,23.81,24.0,3280,15021538.0,2.702240004407852e-05
2023-12-08,10:19:04,0.2825,23.81,24.0,3280,15021538.0,2.702240004407852e-05
2023-12-08,10:19:04,0.2862,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2899,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.2936,23.81,24.0,3280,15021539.0,2.702240004407852e-05
2023-12-08,10:19:04,0.2972,23.81,24.0,3281,15021539.0,2.697921420490927e-05
2023-12-08,10:19:04,0.3009,23.81,24.0,3282,15021538.0,2.693609738317374e-05
2023-12-08,10:19:04,0.3046,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.3084,23.81,24.0,3280,15021538.0,2.702240004407852e-05
2023-12-08,10:19:04,0.3121,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.3157,23.81,24.0,3283,15021537.0,2.68930494685718e-05
2023-12-08,10:19:04,0.3194,23.81,24.0,3282,15021538.0,2.693609738317374e-05
2023-12-08,10:19:04,0.3231,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.3268,23.81,24.0,3281,15021537.0,2.697921420490927e-05
2023-12-08,10:19:04,0.3305,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.3342,23.81,24.0,3280,15021538.0,2.702240004407852e-05
2023-12-08,10:19:04,0.3379,23.81,24.0,3279,15021538.0,2.706565501115829e-05
2023-12-08,10:19:04,0.3416,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.3453,23.81,24.0,3282,15021538.0,2.693609738317374e-05
2023-12-08,10:19:04,0.3491,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.3528,23.81,24.0,3279,15021539.0,2.706565501115829e-05
2023-12-08,10:19:04,0.3564,23.81,24.0,3279,15021539.0,2.706565501115829e-05
2023-12-08,10:19:04,0.3601,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.3638,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.3675,23.81,24.0,3280,15021538.0,2.702240004407852e-05
2023-12-08,10:19:04,0.3712,23.81,24.0,3281,15021539.0,2.697921420490927e-05
2023-12-08,10:19:04,0.3749,23.81,24.0,3282,15021539.0,2.693609738317374e-05
2023-12-08,10:19:04,0.3786,23.81,24.0,3280,15021538.0,2.702240004407852e-05
2023-12-08,10:19:04,0.3823,23.81,24.0,3280,15021538.0,2.702240004407852e-05
2023-12-08,10:19:04,0.3861,23.81,24.0,3281,15021538.0,2.697921420490927e-05
2023-12-08,10:19:04,0.3896,23.81,24.0,3280,15021539.0,2.702240004407852e-05
