Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-20,10:24:46,0.052,26.44,24.5,3154,15068592.0,3.305570233492295e-05
2024-02-20,10:24:46,0.0809,26.44,24.5,3259,15068930.0,2.794544292364388e-05
2024-02-20,10:24:46,0.1154,26.44,24.5,3396,15068891.0,2.244645059765081e-05
2024-02-20,10:24:46,0.1268,26.44,24.5,3397,15068892.0,2.241057781048721e-05
2024-02-20,10:24:46,0.1382,26.44,24.5,3397,15068892.0,2.241057781048721e-05
2024-02-20,10:24:46,0.1496,26.44,24.5,3397,15068892.0,2.241057781048721e-05
2024-02-20,10:24:46,0.161,26.44,24.5,3397,15068892.0,2.241057781048721e-05
2024-02-20,10:24:46,0.1722,26.44,24.5,3397,15068892.0,2.241057781048721e-05
2024-02-20,10:24:46,0.1835,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.1949,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.2063,26.44,24.5,3397,15068891.0,2.241057781048721e-05
2024-02-20,10:24:46,0.2177,26.44,24.5,3397,15068891.0,2.241057781048721e-05
2024-02-20,10:24:46,0.2291,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.2405,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.2518,26.44,24.5,3398,15068893.0,2.237476235340585e-05
2024-02-20,10:24:46,0.2632,26.44,24.5,3398,15068893.0,2.237476235340585e-05
2024-02-20,10:24:46,0.2746,26.44,24.5,3397,15068892.0,2.241057781048721e-05
2024-02-20,10:24:46,0.286,26.44,24.5,3397,15068892.0,2.241057781048721e-05
2024-02-20,10:24:46,0.2974,26.44,24.5,3398,15068891.0,2.237476235340585e-05
2024-02-20,10:24:46,0.3088,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.3202,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.3315,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.3429,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.3542,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.3656,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.377,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.3883,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.3996,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.4109,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.4225,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.4339,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.4451,26.44,24.5,3398,15068892.0,2.237476235340585e-05
2024-02-20,10:24:46,0.4565,26.44,24.5,3398,15068892.0,2.237476235340585e-05
