Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-11-13,10:16:56,0.054,23.19,25.25,3218,15088802.0,2.983943057705171e-05
2023-11-13,10:16:56,0.0822,23.19,25.25,3197,15089082.0,3.085869880931473e-05
2023-11-13,10:16:56,0.1122,23.19,25.25,3204,15089005.0,3.051513180568405e-05
2023-11-13,10:16:56,0.1158,23.19,25.25,3199,15089007.0,3.076014398757577e-05
2023-11-13,10:16:56,0.1194,23.19,25.25,3198,15089007.0,3.080938199061697e-05
2023-11-13,10:16:56,0.1231,23.19,25.25,3198,15089006.0,3.080938199061697e-05
2023-11-13,10:16:56,0.1267,23.19,25.25,3197,15089007.0,3.085869880931473e-05
2023-11-13,10:16:56,0.1304,23.19,25.25,3196,15089007.0,3.090809456982983e-05
2023-11-13,10:16:56,0.134,23.19,25.25,3197,15089008.0,3.085869880931473e-05
2023-11-13,10:16:56,0.1377,23.19,25.25,3197,15089008.0,3.085869880931473e-05
2023-11-13,10:16:56,0.1413,23.19,25.25,3196,15089007.0,3.090809456982983e-05
2023-11-13,10:16:56,0.145,23.19,25.25,3196,15089007.0,3.090809456982983e-05
2023-11-13,10:16:56,0.1486,23.19,25.25,3197,15089007.0,3.085869880931473e-05
2023-11-13,10:16:56,0.1522,23.19,25.25,3197,15089007.0,3.085869880931473e-05
2023-11-13,10:16:56,0.1558,23.19,25.25,3197,15089007.0,3.085869880931473e-05
2023-11-13,10:16:56,0.1594,23.19,25.25,3198,15089007.0,3.080938199061697e-05
2023-11-13,10:16:56,0.1631,23.19,25.25,3199,15089007.0,3.076014398757577e-05
2023-11-13,10:16:56,0.1667,23.19,25.25,3198,15089008.0,3.080938199061697e-05
2023-11-13,10:16:56,0.1704,23.19,25.25,3196,15089008.0,3.090809456982983e-05
2023-11-13,10:16:56,0.174,23.19,25.25,3197,15089007.0,3.085869880931473e-05
2023-11-13,10:16:56,0.1776,23.19,25.25,3197,15089006.0,3.085869880931473e-05
2023-11-13,10:16:56,0.1812,23.19,25.25,3196,15089007.0,3.090809456982983e-05
2023-11-13,10:16:56,0.1849,23.19,25.25,3198,15089008.0,3.080938199061697e-05
2023-11-13,10:16:56,0.1886,23.19,25.25,3199,15089008.0,3.076014398757577e-05
2023-11-13,10:16:56,0.1922,23.19,25.25,3198,15089007.0,3.080938199061697e-05
2023-11-13,10:16:56,0.1959,23.19,25.25,3198,15089007.0,3.080938199061697e-05
