Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-04-25,11:09:27,0.0528,26.12,25.25,3323,15117620.0,2.522639197364904e-05
2024-04-25,11:09:27,0.0808,26.12,25.25,3331,15117947.0,2.490566587075084e-05
2024-04-25,11:09:27,0.1119,26.12,25.25,3388,15117897.0,2.273550782107305e-05
2024-04-25,11:09:27,0.1176,26.12,25.25,3389,15117897.0,2.269917307720906e-05
2024-04-25,11:09:27,0.1232,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.129,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.1347,26.12,25.25,3389,15117897.0,2.269917307720906e-05
2024-04-25,11:09:27,0.1404,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.1461,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:27,0.1519,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.1575,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.1633,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.169,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.1748,26.12,25.25,3391,15117896.0,2.262667770175366e-05
2024-04-25,11:09:27,0.1806,26.12,25.25,3390,15117896.0,2.266289640170322e-05
2024-04-25,11:09:27,0.1862,26.12,25.25,3390,15117896.0,2.266289640170322e-05
2024-04-25,11:09:27,0.1918,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.1976,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.2033,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.2091,26.12,25.25,3389,15117897.0,2.269917307720906e-05
2024-04-25,11:09:27,0.2147,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.2204,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:27,0.2261,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.2319,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.2376,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.2434,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.249,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:27,0.2547,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.2604,26.12,25.25,3389,15117897.0,2.269917307720906e-05
2024-04-25,11:09:27,0.2662,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.2719,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:27,0.2777,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:27,0.2833,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.289,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.2947,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.3005,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.3063,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.3119,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:27,0.3175,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:27,0.3233,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:27,0.329,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:27,0.3348,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:27,0.3406,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:28,0.3462,26.12,25.25,3389,15117897.0,2.269917307720906e-05
2024-04-25,11:09:28,0.3518,26.12,25.25,3389,15117897.0,2.269917307720906e-05
2024-04-25,11:09:28,0.3576,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:28,0.3633,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.3691,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.3749,26.12,25.25,3391,15117898.0,2.262667770175366e-05
2024-04-25,11:09:28,0.3806,26.12,25.25,3391,15117898.0,2.262667770175366e-05
2024-04-25,11:09:28,0.3863,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:28,0.3919,26.12,25.25,3389,15117897.0,2.269917307720906e-05
2024-04-25,11:09:28,0.3976,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:28,0.4034,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:28,0.409,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:28,0.4147,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:28,0.4204,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:28,0.4262,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.4318,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.4375,26.12,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.4432,26.12,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:28,0.449,26.06,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:28,0.4547,26.06,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.4605,26.06,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.4661,26.06,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.4718,26.06,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.4775,26.06,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.4833,26.06,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.489,26.06,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.4947,26.06,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.5003,26.06,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.5061,26.06,25.25,3391,15117897.0,2.262667770175366e-05
2024-04-25,11:09:28,0.5117,26.06,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:28,0.5173,26.06,25.25,3389,15117897.0,2.269917307720906e-05
2024-04-25,11:09:28,0.5231,26.06,25.25,3390,15117898.0,2.266289640170322e-05
2024-04-25,11:09:28,0.5288,26.06,25.25,3390,15117898.0,2.266289640170322e-05
2024-04-25,11:09:28,0.5346,26.06,25.25,3390,15117897.0,2.266289640170322e-05
2024-04-25,11:09:28,0.5402,26.06,25.25,3391,15117897.0,2.262667770175366e-05
