Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-22,10:36:56,0.0516,27.25,25.25,3167,15026764.0,3.237548573586047e-05
2024-02-22,10:36:56,0.0804,27.25,25.25,3276,15027070.0,2.719583578728228e-05
2024-02-22,10:36:56,0.1145,27.25,25.25,3418,15027007.0,2.167035249606166e-05
2024-02-22,10:36:56,0.1255,27.25,25.25,3418,15027007.0,2.167035249606166e-05
2024-02-22,10:36:56,0.1366,27.25,25.25,3418,15027007.0,2.167035249606166e-05
2024-02-22,10:36:56,0.1478,27.25,25.25,3418,15027007.0,2.167035249606166e-05
2024-02-22,10:36:56,0.1589,27.25,25.25,3418,15027007.0,2.167035249606166e-05
2024-02-22,10:36:56,0.17,27.25,25.25,3418,15027007.0,2.167035249606166e-05
2024-02-22,10:36:56,0.1811,27.25,25.25,3418,15027007.0,2.167035249606166e-05
2024-02-22,10:36:56,0.1921,27.25,25.25,3418,15027007.0,2.167035249606166e-05
2024-02-22,10:36:56,0.2032,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.2143,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.2253,27.25,25.25,3418,15027007.0,2.167035249606166e-05
2024-02-22,10:36:56,0.2365,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.2476,27.25,25.25,3420,15027007.0,2.160114291141693e-05
2024-02-22,10:36:56,0.2586,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.2698,27.25,25.25,3418,15027007.0,2.167035249606166e-05
2024-02-22,10:36:56,0.2809,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.2919,27.25,25.25,3420,15027007.0,2.160114291141693e-05
2024-02-22,10:36:56,0.3029,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.314,27.25,25.25,3419,15027008.0,2.16357200298074e-05
2024-02-22,10:36:56,0.3252,27.25,25.25,3419,15027008.0,2.16357200298074e-05
2024-02-22,10:36:56,0.3362,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.3473,27.25,25.25,3419,15027006.0,2.16357200298074e-05
2024-02-22,10:36:56,0.3585,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.3695,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.3805,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.3916,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.4028,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.4138,27.25,25.25,3420,15027007.0,2.160114291141693e-05
2024-02-22,10:36:56,0.4248,27.25,25.25,3420,15027007.0,2.160114291141693e-05
2024-02-22,10:36:56,0.4358,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.4469,27.25,25.25,3419,15027006.0,2.16357200298074e-05
2024-02-22,10:36:56,0.458,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.4692,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:56,0.4803,27.25,25.25,3420,15027007.0,2.160114291141693e-05
2024-02-22,10:36:56,0.4913,27.25,25.25,3420,15027006.0,2.160114291141693e-05
2024-02-22,10:36:56,0.5023,27.25,25.25,3419,15027006.0,2.16357200298074e-05
2024-02-22,10:36:56,0.5135,27.25,25.25,3419,15027006.0,2.16357200298074e-05
2024-02-22,10:36:56,0.5246,27.25,25.25,3419,15027006.0,2.16357200298074e-05
2024-02-22,10:36:56,0.5356,27.25,25.25,3419,15027006.0,2.16357200298074e-05
2024-02-22,10:36:57,0.5466,27.25,25.25,3419,15027006.0,2.16357200298074e-05
2024-02-22,10:36:57,0.5578,27.25,25.25,3419,15027006.0,2.16357200298074e-05
2024-02-22,10:36:57,0.569,27.25,25.25,3419,15027006.0,2.16357200298074e-05
2024-02-22,10:36:57,0.58,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:57,0.591,27.25,25.25,3420,15027007.0,2.160114291141693e-05
2024-02-22,10:36:57,0.6022,27.25,25.25,3420,15027007.0,2.160114291141693e-05
2024-02-22,10:36:57,0.6132,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:57,0.6243,27.25,25.25,3420,15027007.0,2.160114291141693e-05
2024-02-22,10:36:57,0.6355,27.25,25.25,3420,15027007.0,2.160114291141693e-05
2024-02-22,10:36:57,0.6465,27.25,25.25,3419,15027007.0,2.16357200298074e-05
2024-02-22,10:36:57,0.6576,27.25,25.25,3420,15027007.0,2.160114291141693e-05
2024-02-22,10:36:57,0.6687,27.25,25.25,3420,15027007.0,2.160114291141693e-05
