Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-09-04,09:48:14,0.0542,26.31,25.25,3235,15046381.0,2.903901921242816e-05
2024-09-04,09:48:14,0.0822,26.31,25.25,3206,15046731.0,3.041767424941981e-05
2024-09-04,09:48:14,0.1129,26.31,25.25,3230,15046634.0,2.927217938694547e-05
2024-09-04,09:48:14,0.1174,26.31,25.25,3223,15046636.0,2.960175210600676e-05
2024-09-04,09:48:14,0.122,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.1265,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.1311,26.31,25.25,3223,15046636.0,2.960175210600676e-05
2024-09-04,09:48:14,0.1356,26.31,25.25,3224,15046635.0,2.95544440762428e-05
2024-09-04,09:48:14,0.1402,26.31,25.25,3224,15046635.0,2.95544440762428e-05
2024-09-04,09:48:14,0.1448,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.1493,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.1539,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.1584,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.163,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.1676,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.1721,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.1766,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.1812,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.1857,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.1903,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.1949,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.1994,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.204,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.2086,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.2131,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.2177,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.2222,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.2268,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.2313,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.2358,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.2404,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.2449,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.2495,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.2541,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.2586,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.2632,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.2678,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.2723,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.2769,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.2814,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.286,26.31,25.25,3225,15046635.0,2.950721165179008e-05
2024-09-04,09:48:14,0.2905,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.2951,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.2997,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3043,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3088,26.31,25.25,3225,15046635.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3133,26.31,25.25,3225,15046635.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3179,26.31,25.25,3225,15046635.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3224,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.327,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3315,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3361,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3406,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3452,26.31,25.25,3225,15046636.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3498,26.31,25.25,3225,15046635.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3543,26.31,25.25,3225,15046635.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3588,26.31,25.25,3225,15046635.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3633,26.31,25.25,3225,15046635.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3679,26.31,25.25,3225,15046635.0,2.950721165179008e-05
2024-09-04,09:48:14,0.3725,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.3771,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.3816,26.31,25.25,3224,15046635.0,2.95544440762428e-05
2024-09-04,09:48:14,0.3862,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.3907,26.31,25.25,3224,15046635.0,2.95544440762428e-05
2024-09-04,09:48:14,0.3953,26.31,25.25,3224,15046636.0,2.95544440762428e-05
2024-09-04,09:48:14,0.3999,26.31,25.25,3225,15046635.0,2.950721165179008e-05
2024-09-04,09:48:14,0.4044,26.31,25.25,3224,15046634.0,2.95544440762428e-05
2024-09-04,09:48:14,0.4089,26.31,25.25,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.4134,26.31,25.25,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.418,26.31,25.25,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.4225,26.31,25.25,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.4271,26.31,25.25,3222,15046635.0,2.964913586210391e-05
2024-09-04,09:48:14,0.4316,26.31,25.25,3222,15046635.0,2.964913586210391e-05
2024-09-04,09:48:14,0.4362,26.31,25.25,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.4407,26.31,25.25,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.4452,26.31,25.25,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.4498,26.31,25.5,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.4543,26.31,25.5,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.4589,26.31,25.5,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.4634,26.31,25.5,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.468,26.31,25.5,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.4725,26.31,25.5,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.4771,26.31,25.5,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.4816,26.31,25.5,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:14,0.4861,26.31,25.5,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:15,0.4906,26.31,25.5,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:15,0.4952,26.31,25.5,3223,15046635.0,2.960175210600676e-05
2024-09-04,09:48:15,0.4997,26.31,25.5,3222,15046635.0,2.964913586210391e-05
2024-09-04,09:48:15,0.5043,26.31,25.5,3222,15046635.0,2.964913586210391e-05
2024-09-04,09:48:15,0.5089,26.31,25.5,3222,15046635.0,2.964913586210391e-05
2024-09-04,09:48:15,0.5134,26.31,25.5,3222,15046635.0,2.964913586210391e-05
