Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-10-09,09:50:45,0.0542,26.44,24.5,3229,14975426.0,2.931903559341381e-05
2024-10-09,09:50:45,0.0823,26.44,24.5,3195,14975789.0,3.095756939852513e-05
2024-10-09,09:50:45,0.113,26.44,24.5,3219,14975704.0,2.97917427015225e-05
2024-10-09,09:50:45,0.1175,26.44,24.5,3218,14975704.0,2.983943057705171e-05
2024-10-09,09:50:45,0.1221,26.44,24.5,3219,14975704.0,2.97917427015225e-05
2024-10-09,09:50:45,0.1266,26.44,24.5,3218,14975704.0,2.983943057705171e-05
2024-10-09,09:50:45,0.1312,26.44,24.5,3218,14975705.0,2.983943057705171e-05
2024-10-09,09:50:45,0.1357,26.44,24.5,3217,14975705.0,2.988719478693625e-05
2024-10-09,09:50:45,0.1402,26.44,24.5,3218,14975705.0,2.983943057705171e-05
2024-10-09,09:50:45,0.1448,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.1493,26.44,24.5,3219,14975704.0,2.97917427015225e-05
2024-10-09,09:50:45,0.1539,26.44,24.5,3219,14975704.0,2.97917427015225e-05
2024-10-09,09:50:45,0.1585,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.163,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.1675,26.44,24.5,3219,14975704.0,2.97917427015225e-05
2024-10-09,09:50:45,0.1721,26.44,24.5,3219,14975704.0,2.97917427015225e-05
2024-10-09,09:50:45,0.1767,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.1811,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.1857,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.1902,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.1948,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.1993,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2038,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2084,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2129,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2175,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.222,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2265,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2311,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2356,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2402,26.44,24.5,3219,14975704.0,2.97917427015225e-05
2024-10-09,09:50:45,0.2447,26.44,24.5,3219,14975704.0,2.97917427015225e-05
2024-10-09,09:50:45,0.2492,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2538,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2583,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2629,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2674,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.272,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2765,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.281,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2856,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2902,26.44,24.5,3221,14975704.0,2.969659546575003e-05
2024-10-09,09:50:45,0.2947,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.2993,26.44,24.5,3220,14975704.0,2.974413103835483e-05
2024-10-09,09:50:45,0.3038,26.44,24.5,3220,14975704.0,2.974413103835483e-05
