Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-10-03,10:47:08,0.0542,26.81,24.0,3152,15103517.0,3.316161207489005e-05
2024-10-03,10:47:08,0.0821,26.81,24.0,3125,15103874.0,3.462505322077639e-05
2024-10-03,10:47:08,0.1128,26.81,24.0,3148,15103784.0,3.337445063943879e-05
2024-10-03,10:47:08,0.1174,26.81,24.0,3144,15103785.0,3.358865524899333e-05
2024-10-03,10:47:08,0.1219,26.81,24.0,3144,15103785.0,3.358865524899333e-05
2024-10-03,10:47:08,0.1264,26.81,24.0,3144,15103785.0,3.358865524899333e-05
2024-10-03,10:47:08,0.131,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:08,0.1355,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:08,0.1401,26.81,24.0,3144,15103785.0,3.358865524899333e-05
2024-10-03,10:47:08,0.1446,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:08,0.1492,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:08,0.1537,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:08,0.1583,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.1628,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.1673,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.1719,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.1764,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:08,0.1809,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:08,0.1855,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.1901,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.1946,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.1992,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2037,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:08,0.2082,26.81,24.0,3143,15103786.0,3.364242087213114e-05
2024-10-03,10:47:08,0.2128,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:08,0.2173,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:08,0.2218,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2264,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2309,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2354,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.24,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2445,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2491,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2536,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2581,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2627,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2672,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2718,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2763,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2809,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2854,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2899,26.81,24.0,3141,15103785.0,3.375021044532881e-05
2024-10-03,10:47:08,0.2945,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:08,0.2991,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:09,0.3036,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:09,0.3081,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:09,0.3127,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:09,0.3172,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:09,0.3217,26.81,24.0,3142,15103784.0,3.369627255832234e-05
2024-10-03,10:47:09,0.3263,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:09,0.3308,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:09,0.3353,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:09,0.3399,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:09,0.3444,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:09,0.349,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:09,0.3535,26.81,24.0,3141,15103786.0,3.375021044532881e-05
2024-10-03,10:47:09,0.358,26.81,24.0,3141,15103785.0,3.375021044532881e-05
2024-10-03,10:47:09,0.3625,26.81,24.0,3142,15103785.0,3.369627255832234e-05
2024-10-03,10:47:09,0.3671,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:09,0.3717,26.81,24.0,3143,15103785.0,3.364242087213114e-05
2024-10-03,10:47:09,0.3762,26.81,24.0,3143,15103786.0,3.364242087213114e-05
2024-10-03,10:47:09,0.3807,26.81,24.0,3143,15103786.0,3.364242087213114e-05
