Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-10-16,12:59:47,0.0542,26.06,25.75,3207,14960576.0,3.036906225396806e-05
2024-10-16,12:59:47,0.0823,26.06,25.75,3175,14960936.0,3.196386669099883e-05
2024-10-16,12:59:47,0.1129,26.06,25.75,3199,14960848.0,3.076014398757577e-05
2024-10-16,12:59:47,0.1174,26.06,25.75,3196,14960848.0,3.090809456982983e-05
2024-10-16,12:59:47,0.122,26.06,25.75,3197,14960848.0,3.085869880931473e-05
2024-10-16,12:59:47,0.1266,26.06,25.75,3197,14960848.0,3.085869880931473e-05
2024-10-16,12:59:47,0.1311,26.06,25.75,3196,14960848.0,3.090809456982983e-05
2024-10-16,12:59:47,0.1356,26.06,25.75,3196,14960848.0,3.090809456982983e-05
2024-10-16,12:59:47,0.1402,26.06,25.75,3196,14960848.0,3.090809456982983e-05
2024-10-16,12:59:47,0.1446,26.06,25.75,3196,14960849.0,3.090809456982983e-05
2024-10-16,12:59:47,0.1491,26.06,25.75,3196,14960848.0,3.090809456982983e-05
2024-10-16,12:59:47,0.1537,26.06,25.75,3196,14960848.0,3.090809456982983e-05
2024-10-16,12:59:47,0.1583,26.06,25.75,3196,14960849.0,3.090809456982983e-05
2024-10-16,12:59:47,0.1629,26.06,25.75,3196,14960849.0,3.090809456982983e-05
2024-10-16,12:59:47,0.1674,26.06,25.75,3196,14960848.0,3.090809456982983e-05
2024-10-16,12:59:47,0.1719,26.06,25.75,3196,14960848.0,3.090809456982983e-05
2024-10-16,12:59:47,0.1765,26.06,25.75,3196,14960848.0,3.090809456982983e-05
2024-10-16,12:59:47,0.181,26.06,25.75,3196,14960849.0,3.090809456982983e-05
2024-10-16,12:59:47,0.1855,26.06,25.75,3196,14960849.0,3.090809456982983e-05
2024-10-16,12:59:47,0.1901,26.06,25.75,3196,14960849.0,3.090809456982983e-05
2024-10-16,12:59:47,0.1946,26.06,25.75,3196,14960848.0,3.090809456982983e-05
2024-10-16,12:59:47,0.199,26.06,25.75,3196,14960848.0,3.090809456982983e-05
2024-10-16,12:59:47,0.2037,26.06,25.75,3196,14960849.0,3.090809456982983e-05
