Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-05-19,12:01:04,0.0538,27.38,25.0,3284,15059644.0,2.685007035097948e-05
2023-05-19,12:01:04,0.0822,27.38,25.0,3263,15059954.0,2.776722671802583e-05
2023-05-19,12:01:04,0.1125,27.38,25.0,3266,15059882.0,2.763431081306017e-05
2023-05-19,12:01:04,0.1164,27.38,25.0,3260,15059884.0,2.79007819238198e-05
2023-05-19,12:01:04,0.1203,27.38,25.0,3260,15059884.0,2.79007819238198e-05
2023-05-19,12:01:04,0.1242,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.128,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.132,27.38,25.0,3260,15059883.0,2.79007819238198e-05
2023-05-19,12:01:04,0.1358,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.1397,27.38,25.0,3263,15059883.0,2.776722671802583e-05
2023-05-19,12:01:04,0.1435,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.1473,27.38,25.0,3260,15059883.0,2.79007819238198e-05
2023-05-19,12:01:04,0.1512,27.38,25.0,3260,15059883.0,2.79007819238198e-05
2023-05-19,12:01:04,0.155,27.38,25.0,3260,15059885.0,2.79007819238198e-05
2023-05-19,12:01:04,0.1589,27.38,25.0,3261,15059885.0,2.785619229895698e-05
2023-05-19,12:01:04,0.1627,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.1665,27.38,25.0,3261,15059884.0,2.785619229895698e-05
2023-05-19,12:01:04,0.1704,27.38,25.0,3261,15059884.0,2.785619229895698e-05
2023-05-19,12:01:04,0.1742,27.38,25.0,3260,15059884.0,2.79007819238198e-05
2023-05-19,12:01:04,0.1782,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.1822,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.186,27.38,25.0,3260,15059883.0,2.79007819238198e-05
2023-05-19,12:01:04,0.1898,27.38,25.0,3261,15059884.0,2.785619229895698e-05
2023-05-19,12:01:04,0.1937,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.1975,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2014,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.2052,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.209,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2129,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2167,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2206,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2244,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.2282,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.2321,27.38,25.0,3261,15059884.0,2.785619229895698e-05
2023-05-19,12:01:04,0.2359,27.38,25.0,3261,15059884.0,2.785619229895698e-05
2023-05-19,12:01:04,0.2398,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2437,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2476,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2514,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2554,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.2592,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2631,27.38,25.0,3263,15059883.0,2.776722671802583e-05
2023-05-19,12:01:04,0.2669,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2707,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2746,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.2784,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.2823,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2861,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2899,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2938,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.2976,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3015,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3053,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3091,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3131,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3171,27.38,25.0,3261,15059884.0,2.785619229895698e-05
2023-05-19,12:01:04,0.3208,27.38,25.0,3261,15059884.0,2.785619229895698e-05
2023-05-19,12:01:04,0.3245,27.38,25.0,3261,15059884.0,2.785619229895698e-05
2023-05-19,12:01:04,0.3285,27.38,25.0,3261,15059884.0,2.785619229895698e-05
2023-05-19,12:01:04,0.3323,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3361,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3401,27.38,25.0,3263,15059883.0,2.776722671802583e-05
2023-05-19,12:01:04,0.3439,27.38,25.0,3263,15059882.0,2.776722671802583e-05
2023-05-19,12:01:04,0.3478,27.38,25.0,3261,15059884.0,2.785619229895698e-05
2023-05-19,12:01:04,0.3516,27.38,25.0,3260,15059884.0,2.79007819238198e-05
2023-05-19,12:01:04,0.3555,27.38,25.0,3261,15059883.0,2.785619229895698e-05
2023-05-19,12:01:04,0.3593,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3631,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.367,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3708,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3747,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3785,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3823,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3862,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.39,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3939,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.3978,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4017,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4054,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4092,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4132,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4172,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.421,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4248,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4287,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4325,27.38,25.0,3261,15059884.0,2.785619229895698e-05
2023-05-19,12:01:04,0.4364,27.38,25.0,3261,15059884.0,2.785619229895698e-05
2023-05-19,12:01:04,0.4402,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.444,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4479,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4517,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4556,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4594,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4632,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4671,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4709,27.38,25.0,3262,15059883.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4748,27.38,25.0,3262,15059884.0,2.781167393498751e-05
2023-05-19,12:01:04,0.4786,27.38,25.0,3262,15059883.0,2.781167393498751e-05
