Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-11-15,12:31:21,0.0539,23.88,25.25,3340,15152830.0,2.454972052135644e-05
2023-11-15,12:31:21,0.0822,23.88,25.25,3319,15153128.0,2.538830053962255e-05
2023-11-15,12:31:21,0.1125,23.88,25.25,3324,15153060.0,2.51860764241487e-05
2023-11-15,12:31:21,0.1163,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.12,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.1236,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.1273,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.131,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.1347,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.1384,23.88,25.25,3316,15153061.0,2.551041355212326e-05
2023-11-15,12:31:21,0.142,23.88,25.25,3315,15153062.0,2.555124827060083e-05
2023-11-15,12:31:21,0.1457,23.88,25.25,3314,15153062.0,2.559214835353161e-05
2023-11-15,12:31:21,0.1494,23.88,25.25,3315,15153062.0,2.555124827060083e-05
2023-11-15,12:31:21,0.1531,23.88,25.25,3315,15153062.0,2.555124827060083e-05
2023-11-15,12:31:21,0.1568,23.88,25.25,3315,15153062.0,2.555124827060083e-05
2023-11-15,12:31:21,0.1605,23.88,25.25,3316,15153061.0,2.551041355212326e-05
2023-11-15,12:31:21,0.1642,23.88,25.25,3316,15153061.0,2.551041355212326e-05
2023-11-15,12:31:21,0.1679,23.88,25.25,3316,15153061.0,2.551041355212326e-05
2023-11-15,12:31:21,0.1716,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.1753,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.179,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.1826,23.88,25.25,3317,15153062.0,2.546964409363674e-05
2023-11-15,12:31:21,0.1863,23.88,25.25,3317,15153062.0,2.546964409363674e-05
2023-11-15,12:31:21,0.19,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.1937,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.1974,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2011,23.88,25.25,3316,15153061.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2049,23.88,25.25,3316,15153061.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2086,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2123,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2159,23.88,25.25,3316,15153061.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2196,23.88,25.25,3316,15153061.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2234,23.88,25.25,3315,15153062.0,2.555124827060083e-05
2023-11-15,12:31:21,0.227,23.88,25.25,3315,15153062.0,2.555124827060083e-05
2023-11-15,12:31:21,0.2307,23.88,25.25,3317,15153063.0,2.546964409363674e-05
2023-11-15,12:31:21,0.2343,23.88,25.25,3317,15153063.0,2.546964409363674e-05
2023-11-15,12:31:21,0.238,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2418,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2455,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2491,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2529,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2566,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2603,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.264,23.88,25.25,3317,15153062.0,2.546964409363674e-05
2023-11-15,12:31:21,0.2676,23.88,25.25,3316,15153061.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2713,23.88,25.25,3316,15153060.0,2.551041355212326e-05
2023-11-15,12:31:21,0.275,23.88,25.25,3317,15153062.0,2.546964409363674e-05
2023-11-15,12:31:21,0.2787,23.88,25.25,3315,15153063.0,2.555124827060083e-05
2023-11-15,12:31:21,0.2823,23.88,25.25,3315,15153062.0,2.555124827060083e-05
2023-11-15,12:31:21,0.286,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2898,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.2935,23.88,25.25,3315,15153063.0,2.555124827060083e-05
2023-11-15,12:31:21,0.2972,23.88,25.25,3315,15153062.0,2.555124827060083e-05
2023-11-15,12:31:21,0.3009,23.88,25.25,3316,15153061.0,2.551041355212326e-05
2023-11-15,12:31:21,0.3046,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.3083,23.88,25.25,3316,15153061.0,2.551041355212326e-05
2023-11-15,12:31:21,0.312,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.3156,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.3193,23.88,25.25,3316,15153062.0,2.551041355212326e-05
2023-11-15,12:31:21,0.323,23.88,25.25,3315,15153062.0,2.555124827060083e-05
2023-11-15,12:31:21,0.3268,23.88,25.25,3315,15153062.0,2.555124827060083e-05
2023-11-15,12:31:21,0.3305,23.88,25.25,3316,15153061.0,2.551041355212326e-05
2023-11-15,12:31:21,0.3341,23.88,25.25,3316,15153061.0,2.551041355212326e-05
2023-11-15,12:31:21,0.3378,23.88,25.25,3316,15153062.0,2.551041355212326e-05
