Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-10-05,11:07:38,0.054,27.44,24.0,3283,15012390.0,2.68930494685718e-05
2023-10-05,11:07:38,0.0823,27.44,24.0,3258,15012676.0,2.799017541267961e-05
2023-10-05,11:07:38,0.1125,27.44,24.0,3266,15012609.0,2.763431081306017e-05
2023-10-05,11:07:38,0.1162,27.44,24.0,3261,15012610.0,2.785619229895698e-05
2023-10-05,11:07:38,0.1198,27.44,24.0,3261,15012611.0,2.785619229895698e-05
2023-10-05,11:07:38,0.1234,27.44,24.0,3261,15012611.0,2.785619229895698e-05
2023-10-05,11:07:38,0.127,27.44,24.0,3261,15012610.0,2.785619229895698e-05
2023-10-05,11:07:38,0.1307,27.44,24.0,3260,15012610.0,2.79007819238198e-05
2023-10-05,11:07:38,0.1344,27.44,24.0,3259,15012610.0,2.794544292364388e-05
2023-10-05,11:07:38,0.138,27.44,24.0,3260,15012610.0,2.79007819238198e-05
2023-10-05,11:07:38,0.1416,27.44,24.0,3262,15012610.0,2.781167393498751e-05
2023-10-05,11:07:38,0.1452,27.44,24.0,3262,15012610.0,2.781167393498751e-05
2023-10-05,11:07:38,0.1489,27.44,24.0,3261,15012610.0,2.785619229895698e-05
2023-10-05,11:07:38,0.1526,27.44,24.0,3261,15012611.0,2.785619229895698e-05
2023-10-05,11:07:38,0.1562,27.44,24.0,3261,15012612.0,2.785619229895698e-05
2023-10-05,11:07:38,0.1598,27.44,24.0,3261,15012610.0,2.785619229895698e-05
2023-10-05,11:07:38,0.1634,27.44,24.0,3261,15012609.0,2.785619229895698e-05
2023-10-05,11:07:38,0.1671,27.44,24.0,3260,15012610.0,2.79007819238198e-05
2023-10-05,11:07:38,0.1708,27.44,24.0,3260,15012611.0,2.79007819238198e-05
2023-10-05,11:07:38,0.1744,27.44,24.0,3261,15012610.0,2.785619229895698e-05
2023-10-05,11:07:38,0.1779,27.44,24.0,3261,15012610.0,2.785619229895698e-05
2023-10-05,11:07:38,0.1817,27.44,24.0,3260,15012611.0,2.79007819238198e-05
2023-10-05,11:07:38,0.1854,27.44,24.0,3260,15012611.0,2.79007819238198e-05
2023-10-05,11:07:38,0.189,27.44,24.0,3260,15012610.0,2.79007819238198e-05
2023-10-05,11:07:38,0.1925,27.44,24.0,3260,15012610.0,2.79007819238198e-05
2023-10-05,11:07:38,0.1962,27.44,24.0,3261,15012610.0,2.785619229895698e-05
