Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-12-11,10:59:42,0.0539,23.56,26.0,3264,15013593.0,2.772285053436838e-05
2023-12-11,10:59:42,0.0822,23.56,26.0,3246,15013883.0,2.853258327730228e-05
2023-12-11,10:59:42,0.1124,23.56,26.0,3253,15013809.0,2.821491420761792e-05
2023-12-11,10:59:42,0.116,23.56,26.0,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.1197,23.56,26.0,3244,15013809.0,2.862400104373998e-05
2023-12-11,10:59:42,0.1234,23.56,26.0,3245,15013809.0,2.857825560649389e-05
2023-12-11,10:59:42,0.1271,23.56,26.0,3246,15013809.0,2.853258327730228e-05
2023-12-11,10:59:42,0.1308,23.56,26.0,3246,15013809.0,2.853258327730228e-05
2023-12-11,10:59:42,0.1345,23.56,26.0,3246,15013809.0,2.853258327730228e-05
2023-12-11,10:59:42,0.1382,23.56,26.0,3245,15013809.0,2.857825560649389e-05
2023-12-11,10:59:42,0.1418,23.56,26.0,3245,15013810.0,2.857825560649389e-05
2023-12-11,10:59:42,0.1455,23.56,26.0,3245,15013810.0,2.857825560649389e-05
2023-12-11,10:59:42,0.1492,23.56,26.0,3247,15013810.0,2.848698393932761e-05
2023-12-11,10:59:42,0.1528,23.56,26.0,3248,15013810.0,2.844145747591892e-05
2023-12-11,10:59:42,0.1565,23.56,26.0,3246,15013809.0,2.853258327730228e-05
2023-12-11,10:59:42,0.1602,23.56,26.0,3245,15013809.0,2.857825560649389e-05
2023-12-11,10:59:42,0.1639,23.56,26.0,3244,15013809.0,2.862400104373998e-05
2023-12-11,10:59:42,0.1676,23.56,26.0,3245,15013810.0,2.857825560649389e-05
2023-12-11,10:59:42,0.1713,23.56,26.0,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.175,23.56,26.0,3245,15013810.0,2.857825560649389e-05
2023-12-11,10:59:42,0.1786,23.56,26.0,3245,15013810.0,2.857825560649389e-05
2023-12-11,10:59:42,0.1823,23.56,26.0,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.186,23.56,26.0,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.1897,23.56,26.0,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.1933,23.56,26.0,3246,15013809.0,2.853258327730228e-05
2023-12-11,10:59:42,0.197,23.56,26.0,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2006,23.56,26.0,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2043,23.56,26.0,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2081,23.56,26.0,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2118,23.56,25.75,3246,15013809.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2154,23.56,25.75,3246,15013809.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2191,23.56,25.75,3245,15013810.0,2.857825560649389e-05
2023-12-11,10:59:42,0.2228,23.56,25.75,3245,15013811.0,2.857825560649389e-05
2023-12-11,10:59:42,0.2264,23.56,25.75,3245,15013811.0,2.857825560649389e-05
2023-12-11,10:59:42,0.2301,23.56,25.75,3245,15013810.0,2.857825560649389e-05
2023-12-11,10:59:42,0.2338,23.56,25.75,3245,15013810.0,2.857825560649389e-05
2023-12-11,10:59:42,0.2375,23.56,25.75,3245,15013810.0,2.857825560649389e-05
2023-12-11,10:59:42,0.2411,23.56,25.75,3245,15013810.0,2.857825560649389e-05
2023-12-11,10:59:42,0.2448,23.56,25.75,3244,15013809.0,2.862400104373998e-05
2023-12-11,10:59:42,0.2485,23.56,25.75,3244,15013809.0,2.862400104373998e-05
2023-12-11,10:59:42,0.2522,23.56,25.75,3245,15013810.0,2.857825560649389e-05
2023-12-11,10:59:42,0.2558,23.56,25.75,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2595,23.56,25.75,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2632,23.56,25.75,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2668,23.56,25.75,3246,15013809.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2706,23.56,25.75,3246,15013809.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2743,23.56,25.75,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2779,23.56,25.75,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2816,23.56,25.75,3246,15013810.0,2.853258327730228e-05
2023-12-11,10:59:42,0.2853,23.56,25.75,3245,15013811.0,2.857825560649389e-05
2023-12-11,10:59:42,0.289,23.56,25.75,3244,15013810.0,2.862400104373998e-05
2023-12-11,10:59:42,0.2926,23.56,25.75,3244,15013810.0,2.862400104373998e-05
2023-12-11,10:59:42,0.2962,23.56,25.75,3245,15013810.0,2.857825560649389e-05
2023-12-11,10:59:42,0.2999,23.56,25.75,3246,15013809.0,2.853258327730228e-05
2023-12-11,10:59:42,0.3036,23.56,25.75,3246,15013809.0,2.853258327730228e-05
