Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-04-26,09:53:08,0.0528,26.25,24.75,3382,15066184.0,2.2954740935434e-05
2024-04-26,09:53:08,0.0808,26.25,24.75,3392,15066511.0,2.259051688470672e-05
2024-04-26,09:53:08,0.1119,26.25,24.75,3452,15066458.0,2.052337597873964e-05
2024-04-26,09:53:08,0.1177,26.25,24.75,3454,15066458.0,2.045782954486162e-05
2024-04-26,09:53:08,0.1235,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.1292,26.25,24.75,3452,15066458.0,2.052337597873964e-05
2024-04-26,09:53:08,0.135,26.25,24.75,3452,15066458.0,2.052337597873964e-05
2024-04-26,09:53:08,0.1408,26.25,24.75,3452,15066458.0,2.052337597873964e-05
2024-04-26,09:53:08,0.1466,26.25,24.75,3452,15066458.0,2.052337597873964e-05
2024-04-26,09:53:08,0.1523,26.25,24.75,3452,15066458.0,2.052337597873964e-05
2024-04-26,09:53:08,0.1581,26.25,24.75,3452,15066458.0,2.052337597873964e-05
2024-04-26,09:53:08,0.1639,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.1697,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.1755,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.1813,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.187,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.1928,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.1987,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.2044,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.2102,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.2159,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.2217,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.2275,26.25,24.75,3454,15066458.0,2.045782954486162e-05
2024-04-26,09:53:08,0.2333,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.239,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.2448,26.25,24.75,3454,15066458.0,2.045782954486162e-05
2024-04-26,09:53:08,0.2506,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.2564,26.25,24.75,3453,15066458.0,2.049057655260494e-05
2024-04-26,09:53:08,0.2621,26.25,24.75,3453,15066458.0,2.049057655260494e-05
