Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-12,10:23:02,0.0516,26.88,25.0,3145,15019414.0,3.353497555136735e-05
2024-02-12,10:23:02,0.0802,26.88,25.0,3253,15019662.0,2.821491420761792e-05
2024-02-12,10:23:02,0.1125,26.88,25.0,3394,15019689.0,2.251836852944649e-05
2024-02-12,10:23:02,0.1201,26.88,25.0,3394,15019689.0,2.251836852944649e-05
2024-02-12,10:23:02,0.1276,26.88,25.0,3395,15019694.0,2.248238080666538e-05
2024-02-12,10:23:02,0.1342,26.88,25.0,3395,15019694.0,2.248238080666538e-05
2024-02-12,10:23:02,0.1407,26.88,25.0,3395,15019694.0,2.248238080666538e-05
2024-02-12,10:23:02,0.1472,26.88,25.0,3394,15019695.0,2.251836852944649e-05
2024-02-12,10:23:02,0.1537,26.88,25.0,3394,15019695.0,2.251836852944649e-05
2024-02-12,10:23:02,0.1603,26.88,25.0,3394,15019695.0,2.251836852944649e-05
2024-02-12,10:23:02,0.1668,26.88,25.0,3394,15019695.0,2.251836852944649e-05
2024-02-12,10:23:02,0.1733,26.88,25.0,3394,15019695.0,2.251836852944649e-05
2024-02-12,10:23:02,0.1798,26.88,25.0,3394,15019695.0,2.251836852944649e-05
2024-02-12,10:23:02,0.1863,26.88,25.0,3394,15019695.0,2.251836852944649e-05
2024-02-12,10:23:02,0.1928,26.88,25.0,3394,15019695.0,2.251836852944649e-05
2024-02-12,10:23:02,0.1994,26.88,25.0,3395,15019695.0,2.248238080666538e-05
2024-02-12,10:23:02,0.206,26.88,25.0,3395,15019695.0,2.248238080666538e-05
2024-02-12,10:23:02,0.2125,26.88,25.0,3394,15019695.0,2.251836852944649e-05
2024-02-12,10:23:02,0.219,26.88,25.0,3394,15019695.0,2.251836852944649e-05
2024-02-12,10:23:02,0.2256,26.88,25.0,3395,15019695.0,2.248238080666538e-05
2024-02-12,10:23:02,0.2321,26.88,25.0,3395,15019695.0,2.248238080666538e-05
2024-02-12,10:23:02,0.2385,26.88,25.0,3395,15019695.0,2.248238080666538e-05
2024-02-12,10:23:02,0.2451,26.88,25.0,3395,15019695.0,2.248238080666538e-05
2024-02-12,10:23:02,0.2517,26.88,25.0,3394,15019695.0,2.251836852944649e-05
2024-02-12,10:23:02,0.2582,26.88,25.0,3394,15019695.0,2.251836852944649e-05
2024-02-12,10:23:02,0.2646,26.88,25.0,3394,15019696.0,2.251836852944649e-05
2024-02-12,10:23:02,0.2712,26.88,25.0,3394,15019695.0,2.251836852944649e-05
2024-02-12,10:23:02,0.2778,26.88,25.0,3395,15019695.0,2.248238080666538e-05
