Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-12-06,10:35:58,0.0539,23.5,25.25,3324,14912674.0,2.51860764241487e-05
2023-12-06,10:35:58,0.0822,23.5,25.25,3300,14912968.0,2.617167168059942e-05
2023-12-06,10:35:58,0.1125,23.5,25.25,3305,14912896.0,2.596320781954575e-05
2023-12-06,10:35:58,0.1162,23.5,25.25,3295,14912899.0,2.638180934027105e-05
2023-12-06,10:35:58,0.1199,23.5,25.25,3294,14912898.0,2.642403890880146e-05
2023-12-06,10:35:58,0.1236,23.5,25.25,3293,14912899.0,2.64663360745325e-05
2023-12-06,10:35:58,0.1273,23.5,25.25,3293,14912899.0,2.64663360745325e-05
2023-12-06,10:35:58,0.1311,23.5,25.25,3293,14912898.0,2.64663360745325e-05
2023-12-06,10:35:58,0.1349,23.5,25.25,3293,14912899.0,2.64663360745325e-05
2023-12-06,10:35:58,0.1386,23.5,25.25,3293,14912899.0,2.64663360745325e-05
2023-12-06,10:35:58,0.1424,23.5,25.25,3293,14912899.0,2.64663360745325e-05
2023-12-06,10:35:58,0.1461,23.5,25.25,3293,14912899.0,2.64663360745325e-05
2023-12-06,10:35:58,0.1498,23.5,25.25,3294,14912899.0,2.642403890880146e-05
2023-12-06,10:35:58,0.1535,23.5,25.25,3294,14912900.0,2.642403890880146e-05
2023-12-06,10:35:58,0.1573,23.5,25.25,3293,14912900.0,2.64663360745325e-05
2023-12-06,10:35:58,0.161,23.5,25.25,3294,14912899.0,2.642403890880146e-05
2023-12-06,10:35:58,0.1647,23.5,25.25,3293,14912899.0,2.64663360745325e-05
2023-12-06,10:35:58,0.1685,23.5,25.25,3292,14912899.0,2.650870094566748e-05
2023-12-06,10:35:58,0.1722,23.5,25.25,3293,14912899.0,2.64663360745325e-05
2023-12-06,10:35:58,0.1759,23.5,25.25,3294,14912899.0,2.642403890880146e-05
2023-12-06,10:35:59,0.1796,23.5,25.25,3294,14912899.0,2.642403890880146e-05
2023-12-06,10:35:59,0.1833,23.5,25.25,3294,14912899.0,2.642403890880146e-05
2023-12-06,10:35:59,0.187,23.5,25.25,3294,14912899.0,2.642403890880146e-05
2023-12-06,10:35:59,0.1908,23.5,25.25,3294,14912899.0,2.642403890880146e-05
2023-12-06,10:35:59,0.1945,23.5,25.25,3295,14912899.0,2.638180934027105e-05
2023-12-06,10:35:59,0.1982,23.5,25.25,3294,14912899.0,2.642403890880146e-05
2023-12-06,10:35:59,0.202,23.5,25.25,3293,14912898.0,2.64663360745325e-05
2023-12-06,10:35:59,0.2057,23.5,25.25,3294,14912898.0,2.642403890880146e-05
2023-12-06,10:35:59,0.2095,23.5,25.25,3295,14912899.0,2.638180934027105e-05
2023-12-06,10:35:59,0.2132,23.5,25.25,3294,14912899.0,2.642403890880146e-05
2023-12-06,10:35:59,0.2169,23.5,25.25,3294,14912899.0,2.642403890880146e-05
