Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-04-25,11:34:19,0.0528,26.38,24.75,3333,15141906.0,2.482612351948873e-05
2024-04-25,11:34:19,0.0808,26.38,24.75,3342,15142235.0,2.447131496885164e-05
2024-04-25,11:34:19,0.1119,26.38,24.75,3400,15142185.0,2.230330306314809e-05
2024-04-25,11:34:19,0.1177,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.1235,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.1292,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.135,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.1407,26.38,24.75,3401,15142182.0,2.226765904716665e-05
2024-04-25,11:34:19,0.1465,26.38,24.75,3401,15142182.0,2.226765904716665e-05
2024-04-25,11:34:19,0.1523,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.158,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.1638,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.1695,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.1753,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.1811,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.1868,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.1926,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.1983,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2041,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2099,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2156,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2214,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2271,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2329,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2387,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2444,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2502,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2559,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2617,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2675,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2732,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.279,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2847,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2905,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.2963,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.302,26.38,24.75,3400,15142184.0,2.230330306314809e-05
2024-04-25,11:34:19,0.3078,26.38,24.75,3400,15142184.0,2.230330306314809e-05
2024-04-25,11:34:19,0.3135,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.3193,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.3251,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.3308,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.3366,26.38,24.75,3401,15142185.0,2.226765904716665e-05
2024-04-25,11:34:19,0.3423,26.38,24.75,3401,15142185.0,2.226765904716665e-05
2024-04-25,11:34:19,0.3481,26.38,24.75,3401,15142185.0,2.226765904716665e-05
2024-04-25,11:34:19,0.3539,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.3596,26.38,24.75,3400,15142185.0,2.230330306314809e-05
2024-04-25,11:34:19,0.3654,26.38,24.75,3400,15142185.0,2.230330306314809e-05
2024-04-25,11:34:19,0.3711,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.3769,26.38,24.75,3402,15142185.0,2.223207199565684e-05
2024-04-25,11:34:19,0.3827,26.38,24.75,3401,15142185.0,2.226765904716665e-05
2024-04-25,11:34:19,0.3884,26.38,24.75,3400,15142185.0,2.230330306314809e-05
2024-04-25,11:34:19,0.3942,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.3999,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.4057,26.38,24.75,3401,15142185.0,2.226765904716665e-05
2024-04-25,11:34:19,0.4115,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.4172,26.38,24.75,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.423,26.38,24.75,3401,15142185.0,2.226765904716665e-05
2024-04-25,11:34:19,0.4287,26.38,24.75,3401,15142185.0,2.226765904716665e-05
2024-04-25,11:34:19,0.4345,26.38,24.75,3401,15142185.0,2.226765904716665e-05
2024-04-25,11:34:19,0.4403,26.38,24.75,3401,15142185.0,2.226765904716665e-05
2024-04-25,11:34:19,0.446,26.38,24.75,3401,15142185.0,2.226765904716665e-05
2024-04-25,11:34:19,0.4518,26.38,25.0,3400,15142185.0,2.230330306314809e-05
2024-04-25,11:34:19,0.4577,26.38,25.0,3400,15142185.0,2.230330306314809e-05
2024-04-25,11:34:19,0.4634,26.38,25.0,3401,15142184.0,2.226765904716665e-05
2024-04-25,11:34:19,0.4691,26.38,25.0,3401,15142185.0,2.226765904716665e-05
