Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-05-08,11:17:08,0.0529,27.31,25.0,3341,15138456.0,2.451048639410068e-05
2024-05-08,11:17:08,0.0808,27.31,25.0,3350,15138783.0,2.416018884780538e-05
2024-05-08,11:17:08,0.1119,27.31,25.0,3408,15138729.0,2.201974085256035e-05
2024-05-08,11:17:08,0.1176,27.31,25.0,3410,15138728.0,2.194941541052301e-05
2024-05-08,11:17:08,0.1234,27.31,25.0,3409,15138728.0,2.198455001142646e-05
2024-05-08,11:17:08,0.1292,27.31,25.0,3409,15138728.0,2.198455001142646e-05
2024-05-08,11:17:08,0.135,27.31,25.0,3409,15138728.0,2.198455001142646e-05
2024-05-08,11:17:08,0.1407,27.31,25.0,3409,15138728.0,2.198455001142646e-05
2024-05-08,11:17:08,0.1466,27.31,25.0,3409,15138728.0,2.198455001142646e-05
2024-05-08,11:17:08,0.1524,27.31,25.0,3409,15138728.0,2.198455001142646e-05
2024-05-08,11:17:08,0.1581,27.31,25.0,3409,15138728.0,2.198455001142646e-05
2024-05-08,11:17:08,0.1639,27.31,25.0,3409,15138728.0,2.198455001142646e-05
2024-05-08,11:17:08,0.1696,27.31,25.0,3409,15138728.0,2.198455001142646e-05
2024-05-08,11:17:08,0.1754,27.31,25.0,3409,15138728.0,2.198455001142646e-05
2024-05-08,11:17:08,0.1812,27.31,25.0,3410,15138728.0,2.194941541052301e-05
2024-05-08,11:17:08,0.187,27.31,25.0,3410,15138728.0,2.194941541052301e-05
2024-05-08,11:17:08,0.1928,27.31,25.0,3410,15138728.0,2.194941541052301e-05
2024-05-08,11:17:08,0.1986,27.31,25.0,3410,15138728.0,2.194941541052301e-05
2024-05-08,11:17:08,0.2043,27.31,25.0,3410,15138728.0,2.194941541052301e-05
2024-05-08,11:17:08,0.2101,27.31,25.0,3410,15138729.0,2.194941541052301e-05
2024-05-08,11:17:08,0.2159,27.31,25.0,3410,15138729.0,2.194941541052301e-05
2024-05-08,11:17:08,0.2216,27.31,25.0,3410,15138729.0,2.194941541052301e-05
2024-05-08,11:17:08,0.2274,27.31,25.0,3410,15138728.0,2.194941541052301e-05
2024-05-08,11:17:08,0.2333,27.31,25.0,3410,15138728.0,2.194941541052301e-05
2024-05-08,11:17:08,0.2391,27.31,25.0,3410,15138728.0,2.194941541052301e-05
2024-05-08,11:17:08,0.2448,27.31,25.0,3409,15138729.0,2.198455001142646e-05
2024-05-08,11:17:08,0.2506,27.31,25.0,3408,15138729.0,2.201974085256035e-05
2024-05-08,11:17:08,0.2564,27.31,25.0,3409,15138728.0,2.198455001142646e-05
2024-05-08,11:17:08,0.2622,27.31,25.0,3410,15138729.0,2.194941541052301e-05
2024-05-08,11:17:08,0.2679,27.31,25.0,3411,15138729.0,2.19143369599697e-05
2024-05-08,11:17:08,0.2737,27.31,25.0,3411,15138729.0,2.19143369599697e-05
2024-05-08,11:17:08,0.2795,27.31,25.0,3409,15138729.0,2.198455001142646e-05
2024-05-08,11:17:08,0.2853,27.31,25.0,3409,15138729.0,2.198455001142646e-05
2024-05-08,11:17:08,0.291,27.31,25.0,3410,15138729.0,2.194941541052301e-05
2024-05-08,11:17:08,0.2968,27.31,25.0,3410,15138729.0,2.194941541052301e-05
2024-05-08,11:17:08,0.3026,27.31,25.0,3410,15138728.0,2.194941541052301e-05
2024-05-08,11:17:08,0.3083,27.31,25.0,3409,15138728.0,2.198455001142646e-05
2024-05-08,11:17:08,0.3141,27.31,25.0,3409,15138728.0,2.198455001142646e-05
2024-05-08,11:17:08,0.3256,27.31,25.0,3410,15138729.0,2.194941541052301e-05
2024-05-08,11:17:08,0.3314,27.31,25.0,3410,15138729.0,2.194941541052301e-05
