Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-16,13:53:36,0.052,26.44,15.5,3164,14979376.0,3.253120581205106e-05
2024-02-16,13:53:36,0.081,26.44,15.5,3277,14979715.0,2.715237277184076e-05
2024-02-16,13:53:36,0.1154,26.44,15.5,3426,14979697.0,2.139483756266366e-05
2024-02-16,13:53:36,0.1261,26.44,15.5,3426,14979697.0,2.139483756266366e-05
2024-02-16,13:53:36,0.1367,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:36,0.1474,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:36,0.1582,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:36,0.1689,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:36,0.1796,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:36,0.1904,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:36,0.2011,26.44,15.5,3425,14979697.0,2.142908444646896e-05
2024-02-16,13:53:36,0.2117,26.44,15.5,3426,14979697.0,2.139483756266366e-05
2024-02-16,13:53:36,0.2224,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:36,0.2332,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:36,0.2439,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:36,0.2547,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:36,0.2654,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:36,0.2763,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:36,0.2869,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:36,0.2976,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:36,0.3083,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:36,0.319,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:36,0.3298,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:36,0.3404,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:36,0.3511,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:36,0.3618,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:36,0.3724,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:36,0.3831,26.44,15.5,3427,14979698.0,2.136064541050373e-05
2024-02-16,13:53:36,0.3939,26.44,15.5,3426,14979697.0,2.139483756266366e-05
2024-02-16,13:53:36,0.4046,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:36,0.4153,26.44,15.5,3427,14979698.0,2.136064541050373e-05
2024-02-16,13:53:36,0.426,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:36,0.4368,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:36,0.4474,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.4581,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.4688,26.44,15.5,3427,14979698.0,2.136064541050373e-05
2024-02-16,13:53:37,0.4795,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.4902,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:37,0.501,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.5117,26.44,15.5,3427,14979698.0,2.136064541050373e-05
2024-02-16,13:53:37,0.5224,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.5331,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:37,0.5438,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.5546,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.5653,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.5759,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.5867,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.5973,26.44,15.5,3427,14979698.0,2.136064541050373e-05
2024-02-16,13:53:37,0.608,26.44,15.5,3426,14979697.0,2.139483756266366e-05
2024-02-16,13:53:37,0.6188,26.44,15.5,3425,14979697.0,2.142908444646896e-05
2024-02-16,13:53:37,0.6295,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.6402,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.6509,26.44,15.5,3426,14979697.0,2.139483756266366e-05
2024-02-16,13:53:37,0.6617,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.6724,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:37,0.6937,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.7044,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.715,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.7257,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.7365,26.44,15.5,3426,14979698.0,2.139483756266366e-05
2024-02-16,13:53:37,0.7472,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:37,0.7578,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:37,0.7685,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:37,0.7793,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:37,0.79,26.44,15.5,3425,14979698.0,2.142908444646896e-05
2024-02-16,13:53:37,0.8007,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:37,0.8114,26.44,15.5,3427,14979699.0,2.136064541050373e-05
2024-02-16,13:53:37,0.822,26.44,15.5,3427,14979699.0,2.136064541050373e-05
2024-02-16,13:53:37,0.8327,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:37,0.8435,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:37,0.8542,26.44,15.5,3427,14979697.0,2.136064541050373e-05
2024-02-16,13:53:37,0.8649,26.44,15.5,3427,14979697.0,2.136064541050373e-05
2024-02-16,13:53:37,0.8756,26.44,15.5,3427,14979698.0,2.136064541050373e-05
2024-02-16,13:53:37,0.8862,26.44,15.5,3427,14979699.0,2.136064541050373e-05
2024-02-16,13:53:37,0.8969,26.44,15.5,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:37,0.9076,26.44,15.5,3427,14979699.0,2.136064541050373e-05
2024-02-16,13:53:37,0.9183,26.44,15.5,3427,14979699.0,2.136064541050373e-05
2024-02-16,13:53:37,0.929,26.44,15.5,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:37,0.9396,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,0.9504,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,0.9611,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,0.9717,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:37,0.9824,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:37,0.9931,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,1.0038,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,1.0144,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:37,1.0252,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:37,1.0359,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,1.0465,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,1.0679,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,1.0786,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,1.0894,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,1.1001,26.44,15.5,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:37,1.1108,26.44,15.5,3428,14979700.0,2.13265079025198e-05
2024-02-16,13:53:37,1.1214,26.44,15.5,3427,14979701.0,2.136064541050373e-05
2024-02-16,13:53:37,1.1321,26.44,15.5,3426,14979701.0,2.139483756266366e-05
2024-02-16,13:53:37,1.1428,26.44,15.5,3426,14979701.0,2.139483756266366e-05
2024-02-16,13:53:37,1.1534,26.44,15.5,3427,14979701.0,2.136064541050373e-05
2024-02-16,13:53:37,1.1642,26.44,15.5,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:37,1.1749,26.44,15.5,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:37,1.1856,26.44,15.5,3427,14979701.0,2.136064541050373e-05
2024-02-16,13:53:37,1.1963,26.44,15.5,3427,14979701.0,2.136064541050373e-05
2024-02-16,13:53:37,1.2069,26.44,15.5,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:37,1.2176,26.44,15.5,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:37,1.2283,26.44,15.5,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:37,1.2389,26.44,15.5,3426,14979701.0,2.139483756266366e-05
2024-02-16,13:53:37,1.2496,26.44,15.5,3426,14979701.0,2.139483756266366e-05
2024-02-16,13:53:37,1.2604,26.44,15.5,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:37,1.2711,26.44,15.5,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:37,1.2818,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,1.2924,26.44,15.5,3426,14979701.0,2.139483756266366e-05
2024-02-16,13:53:37,1.3031,26.44,15.5,3426,14979701.0,2.139483756266366e-05
2024-02-16,13:53:37,1.3138,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,1.3244,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,1.3352,26.44,15.5,3426,14979701.0,2.139483756266366e-05
2024-02-16,13:53:37,1.346,26.44,15.5,3426,14979701.0,2.139483756266366e-05
2024-02-16,13:53:37,1.3566,26.44,15.5,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:37,1.3673,26.44,15.5,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:37,1.378,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:37,1.3886,26.44,15.5,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:37,1.3993,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,1.41,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,1.4315,26.44,15.5,3426,14979701.0,2.139483756266366e-05
2024-02-16,13:53:37,1.4421,26.44,15.5,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:37,1.4528,26.44,15.25,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:38,1.4635,26.44,15.25,3426,14979701.0,2.139483756266366e-05
2024-02-16,13:53:38,1.4743,26.44,15.25,3427,14979701.0,2.136064541050373e-05
2024-02-16,13:53:38,1.485,26.44,15.25,3428,14979701.0,2.13265079025198e-05
2024-02-16,13:53:38,1.4956,26.44,15.25,3428,14979701.0,2.13265079025198e-05
2024-02-16,13:53:38,1.5063,26.44,15.25,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:38,1.517,26.44,15.25,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:38,1.5276,26.44,15.25,3427,14979699.0,2.136064541050373e-05
2024-02-16,13:53:38,1.5383,26.44,15.25,3426,14979699.0,2.139483756266366e-05
2024-02-16,13:53:38,1.549,26.44,15.25,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:38,1.5598,26.44,15.25,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:38,1.5705,26.44,15.25,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:38,1.5812,26.44,15.25,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:38,1.5918,26.44,15.25,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:38,1.6025,26.44,15.25,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:38,1.6132,26.44,15.25,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:38,1.624,26.44,15.25,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:38,1.6347,26.44,15.25,3427,14979700.0,2.136064541050373e-05
2024-02-16,13:53:38,1.6453,26.44,15.25,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:38,1.656,26.44,15.25,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:38,1.6667,26.44,15.25,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:38,1.6774,26.44,15.25,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:38,1.6881,26.44,15.25,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:38,1.6988,26.44,15.25,3425,14979699.0,2.142908444646896e-05
2024-02-16,13:53:38,1.7095,26.44,15.25,3425,14979699.0,2.142908444646896e-05
2024-02-16,13:53:38,1.7202,26.44,15.25,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:38,1.731,26.44,15.25,3426,14979700.0,2.139483756266366e-05
2024-02-16,13:53:38,1.7417,26.44,15.25,3426,14979700.0,2.139483756266366e-05
