Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-05-23,11:40:32,0.053,26.25,25.25,3220,15046185.0,2.974413103835483e-05
2024-05-23,11:40:32,0.0807,26.25,25.25,3226,15046511.0,2.946005471181993e-05
2024-05-23,11:40:32,0.1118,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.1176,26.25,25.25,3288,15046449.0,2.667883965438242e-05
2024-05-23,11:40:32,0.1235,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.1294,26.25,25.25,3286,15046449.0,2.676431806720787e-05
2024-05-23,11:40:32,0.1354,26.25,25.25,3286,15046449.0,2.676431806720787e-05
2024-05-23,11:40:32,0.1413,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.1471,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.153,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.159,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.1649,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.1706,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.1766,26.25,25.25,3286,15046449.0,2.676431806720787e-05
2024-05-23,11:40:32,0.1827,26.25,25.25,3286,15046449.0,2.676431806720787e-05
2024-05-23,11:40:32,0.1884,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.1943,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.2002,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.2061,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.212,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.2177,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.2236,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.2295,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.2355,26.25,25.25,3286,15046449.0,2.676431806720787e-05
2024-05-23,11:40:32,0.2414,26.25,25.25,3286,15046449.0,2.676431806720787e-05
2024-05-23,11:40:32,0.2472,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.2531,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.259,26.25,25.25,3286,15046449.0,2.676431806720787e-05
2024-05-23,11:40:32,0.2648,26.25,25.25,3286,15046449.0,2.676431806720787e-05
2024-05-23,11:40:32,0.2707,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.2766,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.2825,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.2884,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.2943,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.3002,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.3061,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.3121,26.25,25.25,3288,15046449.0,2.667883965438242e-05
2024-05-23,11:40:32,0.3181,26.25,25.25,3288,15046449.0,2.667883965438242e-05
2024-05-23,11:40:32,0.3238,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.3297,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.3356,26.25,25.25,3288,15046449.0,2.667883965438242e-05
2024-05-23,11:40:32,0.3414,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.3474,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.3533,26.25,25.25,3288,15046449.0,2.667883965438242e-05
2024-05-23,11:40:32,0.3592,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.3652,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.3711,26.25,25.25,3288,15046449.0,2.667883965438242e-05
2024-05-23,11:40:32,0.3768,26.25,25.25,3288,15046449.0,2.667883965438242e-05
2024-05-23,11:40:32,0.3827,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.3886,26.25,25.25,3286,15046449.0,2.676431806720787e-05
2024-05-23,11:40:32,0.3945,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.4004,26.25,25.25,3288,15046449.0,2.667883965438242e-05
2024-05-23,11:40:32,0.4062,26.25,25.25,3287,15046448.0,2.672154468165959e-05
2024-05-23,11:40:32,0.4122,26.25,25.25,3287,15046448.0,2.672154468165959e-05
2024-05-23,11:40:32,0.4182,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.4241,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.43,26.25,25.25,3288,15046449.0,2.667883965438242e-05
2024-05-23,11:40:32,0.4358,26.25,25.25,3288,15046449.0,2.667883965438242e-05
2024-05-23,11:40:32,0.4417,26.25,25.25,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.4476,26.31,25.0,3286,15046449.0,2.676431806720787e-05
2024-05-23,11:40:32,0.4535,26.31,25.0,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.4594,26.31,25.0,3287,15046449.0,2.672154468165959e-05
2024-05-23,11:40:32,0.4653,26.31,25.0,3286,15046449.0,2.676431806720787e-05
