Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-12-19,10:28:16,0.0539,26.19,25.75,3411,14976197.0,2.19143369599697e-05
2023-12-19,10:28:16,0.0821,26.19,25.75,3374,14976521.0,2.325034373687949e-05
2023-12-19,10:28:16,0.1127,26.19,25.75,3385,14976436.0,2.284486139306312e-05
2023-12-19,10:28:16,0.1169,26.19,25.75,3368,14976440.0,2.347454129197761e-05
2023-12-19,10:28:16,0.121,26.19,25.75,3369,14976440.0,2.343702546203084e-05
2023-12-19,10:28:16,0.1252,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:16,0.1295,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:16,0.1336,26.19,25.75,3369,14976440.0,2.343702546203084e-05
2023-12-19,10:28:16,0.1378,26.19,25.75,3369,14976440.0,2.343702546203084e-05
2023-12-19,10:28:16,0.1419,26.19,25.75,3370,14976436.0,2.339956958799453e-05
2023-12-19,10:28:16,0.1462,26.19,25.75,3369,14976436.0,2.343702546203084e-05
2023-12-19,10:28:16,0.1503,26.19,25.75,3369,14976440.0,2.343702546203084e-05
2023-12-19,10:28:16,0.1545,26.19,25.75,3371,14976440.0,2.336217357405023e-05
2023-12-19,10:28:16,0.1587,26.19,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:16,0.1629,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:16,0.167,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:16,0.1713,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:16,0.1755,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:16,0.1796,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:16,0.1838,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:16,0.188,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:16,0.1922,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:16,0.1964,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:16,0.2006,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:16,0.2048,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:16,0.209,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:16,0.2131,26.19,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:16,0.2173,26.19,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:16,0.2216,26.19,25.75,3369,14976440.0,2.343702546203084e-05
2023-12-19,10:28:16,0.2258,26.19,25.75,3368,14976440.0,2.347454129197761e-05
2023-12-19,10:28:16,0.2299,26.19,25.75,3369,14976441.0,2.343702546203084e-05
2023-12-19,10:28:16,0.2341,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:16,0.2383,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:16,0.2425,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:16,0.2466,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:16,0.2509,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:16,0.2551,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:16,0.2593,26.19,25.75,3369,14976441.0,2.343702546203084e-05
2023-12-19,10:28:17,0.2634,26.19,25.75,3369,14976441.0,2.343702546203084e-05
2023-12-19,10:28:17,0.2676,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.2718,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.276,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.2802,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.2844,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.2886,26.19,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.2927,26.19,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.297,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.3011,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.3053,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.3095,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.3562,26.19,25.75,3369,14976441.0,2.343702546203084e-05
2023-12-19,10:28:17,0.3986,26.19,25.75,3368,14976441.0,2.347454129197761e-05
2023-12-19,10:28:17,0.4028,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.407,26.19,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.4113,26.19,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.4155,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.4196,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.4238,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.428,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.4322,26.19,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.4365,26.19,25.75,3371,14976440.0,2.336217357405023e-05
2023-12-19,10:28:17,0.4406,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.4448,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.449,26.19,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.4532,26.19,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.4573,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.4615,26.19,25.75,3369,14976441.0,2.343702546203084e-05
2023-12-19,10:28:17,0.4657,26.19,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.4699,26.19,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.4741,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.4783,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.4825,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.4866,26.19,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.4909,26.19,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.4951,26.19,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.4993,26.25,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.5035,26.25,25.75,3371,14976440.0,2.336217357405023e-05
2023-12-19,10:28:17,0.5076,26.25,25.75,3371,14976440.0,2.336217357405023e-05
2023-12-19,10:28:17,0.5119,26.25,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.5161,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.5203,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.5245,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.5286,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.5329,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.5371,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.5412,26.25,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.5454,26.25,25.75,3372,14976440.0,2.332483732453251e-05
2023-12-19,10:28:17,0.5496,26.25,25.75,3372,14976440.0,2.332483732453251e-05
2023-12-19,10:28:17,0.5538,26.25,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.5581,26.25,25.75,3371,14976440.0,2.336217357405023e-05
2023-12-19,10:28:17,0.5623,26.25,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.5665,26.25,25.75,3369,14976441.0,2.343702546203084e-05
2023-12-19,10:28:17,0.5706,26.25,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.5748,26.25,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.5791,26.25,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.5832,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.5874,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.5916,26.25,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.5958,26.25,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.6,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.6042,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.6077,26.25,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.6155,26.25,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.6198,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.6239,26.25,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.6282,26.25,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.6324,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.6365,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.6408,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.6449,26.25,25.75,3371,14976440.0,2.336217357405023e-05
2023-12-19,10:28:17,0.6491,26.25,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.6533,26.25,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.6575,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.6618,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.6659,26.25,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.6701,26.25,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.6743,26.25,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.6785,26.25,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.6827,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.6869,26.25,25.75,3371,14976440.0,2.336217357405023e-05
2023-12-19,10:28:17,0.6911,26.25,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.6953,26.25,25.75,3370,14976440.0,2.339956958799453e-05
2023-12-19,10:28:17,0.6994,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.7077,26.25,25.75,3369,14976440.0,2.343702546203084e-05
2023-12-19,10:28:17,0.7119,26.25,25.75,3370,14976441.0,2.339956958799453e-05
2023-12-19,10:28:17,0.7162,26.25,25.75,3371,14976440.0,2.336217357405023e-05
2023-12-19,10:28:17,0.7204,26.25,25.75,3371,14976440.0,2.336217357405023e-05
2023-12-19,10:28:17,0.7245,26.25,25.75,3371,14976441.0,2.336217357405023e-05
2023-12-19,10:28:17,0.7288,26.25,25.75,3371,14976440.0,2.336217357405023e-05
