Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-02-20,10:44:20,0.0516,26.44,24.25,3188,15182735.0,3.130611776546872e-05
2024-02-20,10:44:20,0.0803,26.44,24.25,3294,15183046.0,2.642403890880146e-05
2024-02-20,10:44:20,0.1145,26.44,24.25,3430,15182975.0,2.125839646990122e-05
2024-02-20,10:44:20,0.1261,26.44,24.25,3430,15182975.0,2.125839646990122e-05
2024-02-20,10:44:20,0.1376,26.44,24.25,3431,15182975.0,2.122442237102593e-05
2024-02-20,10:44:20,0.149,26.44,24.25,3431,15182975.0,2.122442237102593e-05
2024-02-20,10:44:20,0.1605,26.44,24.25,3430,15182974.0,2.125839646990122e-05
2024-02-20,10:44:20,0.172,26.44,24.25,3431,15182975.0,2.122442237102593e-05
2024-02-20,10:44:20,0.1834,26.44,24.25,3431,15182975.0,2.122442237102593e-05
2024-02-20,10:44:20,0.1949,26.44,24.25,3430,15182975.0,2.125839646990122e-05
2024-02-20,10:44:20,0.2064,26.44,24.25,3431,15182975.0,2.122442237102593e-05
2024-02-20,10:44:20,0.218,26.44,24.25,3431,15182975.0,2.122442237102593e-05
2024-02-20,10:44:20,0.2295,26.44,24.25,3430,15182974.0,2.125839646990122e-05
2024-02-20,10:44:20,0.241,26.44,24.25,3430,15182974.0,2.125839646990122e-05
2024-02-20,10:44:20,0.2525,26.44,24.25,3430,15182975.0,2.125839646990122e-05
2024-02-20,10:44:20,0.2639,26.44,24.25,3430,15182976.0,2.125839646990122e-05
2024-02-20,10:44:20,0.2754,26.44,24.25,3430,15182975.0,2.125839646990122e-05
2024-02-20,10:44:20,0.2871,26.44,24.25,3430,15182975.0,2.125839646990122e-05
2024-02-20,10:44:20,0.2986,26.44,24.25,3430,15182975.0,2.125839646990122e-05
2024-02-20,10:44:20,0.31,26.44,24.25,3430,15182975.0,2.125839646990122e-05
2024-02-20,10:44:20,0.3215,26.44,24.25,3430,15182975.0,2.125839646990122e-05
2024-02-20,10:44:20,0.3332,26.44,24.25,3430,15182975.0,2.125839646990122e-05
2024-02-20,10:44:20,0.3447,26.44,24.25,3430,15182976.0,2.125839646990122e-05
2024-02-20,10:44:20,0.3562,26.44,24.25,3430,15182975.0,2.125839646990122e-05
2024-02-20,10:44:20,0.3676,26.44,24.25,3431,15182975.0,2.122442237102593e-05
2024-02-20,10:44:20,0.379,26.44,24.25,3432,15182975.0,2.119050256784484e-05
2024-02-20,10:44:20,0.3905,26.44,24.25,3431,15182976.0,2.122442237102593e-05
2024-02-20,10:44:20,0.402,26.44,24.25,3430,15182976.0,2.125839646990122e-05
2024-02-20,10:44:20,0.4135,26.44,24.25,3430,15182976.0,2.125839646990122e-05
2024-02-20,10:44:20,0.4251,26.44,24.25,3431,15182975.0,2.122442237102593e-05
2024-02-20,10:44:20,0.4366,26.44,24.25,3431,15182975.0,2.122442237102593e-05
2024-02-20,10:44:20,0.4481,26.44,24.25,3430,15182976.0,2.125839646990122e-05
2024-02-20,10:44:20,0.4596,26.44,24.25,3431,15182976.0,2.122442237102593e-05
2024-02-20,10:44:20,0.471,26.44,24.25,3432,15182976.0,2.119050256784484e-05
2024-02-20,10:44:20,0.4825,26.44,24.25,3432,15182977.0,2.119050256784484e-05
2024-02-20,10:44:20,0.4941,26.44,24.25,3431,15182977.0,2.122442237102593e-05
2024-02-20,10:44:20,0.5054,26.44,24.25,3431,15182976.0,2.122442237102593e-05
2024-02-20,10:44:20,0.517,26.44,24.25,3432,15182976.0,2.119050256784484e-05
2024-02-20,10:44:20,0.5285,26.44,24.25,3432,15182976.0,2.119050256784484e-05
2024-02-20,10:44:20,0.5399,26.44,24.25,3431,15182977.0,2.122442237102593e-05
2024-02-20,10:44:20,0.5513,26.44,24.25,3430,15182976.0,2.125839646990122e-05
