Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-04-24,14:57:01,0.0528,26.38,24.75,3277,15043018.0,2.715237277184076e-05
2024-04-24,14:57:01,0.0808,26.38,24.75,3280,15043344.0,2.702240004407852e-05
2024-04-24,14:57:01,0.1119,26.38,24.75,3337,15043290.0,2.466780011964366e-05
2024-04-24,14:57:01,0.1177,26.38,24.75,3339,15043290.0,2.458901745098655e-05
2024-04-24,14:57:01,0.1234,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:01,0.1292,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:01,0.135,26.38,24.75,3339,15043290.0,2.458901745098655e-05
2024-04-24,14:57:01,0.1407,26.38,24.75,3339,15043290.0,2.458901745098655e-05
2024-04-24,14:57:01,0.1465,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:01,0.1522,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:01,0.1581,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:01,0.1639,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:01,0.1696,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:01,0.1755,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:01,0.1813,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:01,0.1871,26.38,24.75,3341,15043290.0,2.451048639410068e-05
2024-04-24,14:57:01,0.1928,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:01,0.1986,26.38,24.75,3339,15043290.0,2.458901745098655e-05
2024-04-24,14:57:01,0.2043,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:01,0.2101,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:02,0.216,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:02,0.2217,26.38,24.75,3340,15043290.0,2.454972052135644e-05
2024-04-24,14:57:02,0.2275,26.38,24.75,3340,15043290.0,2.454972052135644e-05
