Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2022-05-16,11:44:15,0.1287,0.0,nan,3379,15526939.0,2.306514897800561e-05
2022-05-16,11:44:15,0.133,0.0,nan,3384,15527167.0,2.2881429341353668e-05
2022-05-16,11:44:15,0.1373,0.0,nan,3397,15527124.0,2.241057781048721e-05
2022-05-16,11:44:15,0.1417,0.0,nan,3393,15527123.0,2.255441385805692e-05
2022-05-16,11:44:15,0.1459,0.0,nan,3393,15527126.0,2.255441385805692e-05
2022-05-16,11:44:15,0.1502,0.0,nan,3394,15527127.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.1546,0.0,nan,3393,15527126.0,2.255441385805692e-05
2022-05-16,11:44:15,0.1589,0.0,nan,3393,15527124.0,2.255441385805692e-05
2022-05-16,11:44:15,0.1632,0.0,nan,3394,15527123.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.1675,0.0,nan,3394,15527121.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.1718,0.0,nan,3395,15527121.0,2.248238080666538e-05
2022-05-16,11:44:15,0.1761,0.0,nan,3394,15527124.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.1804,0.0,nan,3394,15527127.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.1847,0.0,nan,3394,15527126.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.189,0.0,nan,3395,15527124.0,2.248238080666538e-05
2022-05-16,11:44:15,0.1934,0.0,nan,3394,15527129.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.1977,0.0,nan,3392,15527130.0,2.2590516884706723e-05
2022-05-16,11:44:15,0.2021,0.0,nan,3393,15527129.0,2.255441385805692e-05
2022-05-16,11:44:15,0.2064,0.0,nan,3394,15527126.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.2108,0.0,nan,3394,15527123.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.215,0.0,nan,3394,15527126.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.2194,0.0,nan,3394,15527129.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.2237,0.0,nan,3395,15527129.0,2.248238080666538e-05
2022-05-16,11:44:15,0.228,0.0,nan,3395,15527127.0,2.248238080666538e-05
2022-05-16,11:44:15,0.2322,0.0,nan,3394,15527129.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.2365,0.0,nan,3394,15527129.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.2408,0.0,nan,3392,15527127.0,2.2590516884706723e-05
2022-05-16,11:44:15,0.2452,0.0,nan,3393,15527129.0,2.255441385805692e-05
2022-05-16,11:44:15,0.2495,0.0,nan,3396,15527129.0,2.244645059765081e-05
2022-05-16,11:44:15,0.2538,0.0,nan,3394,15527127.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.2581,0.0,nan,3394,15527126.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.2624,0.0,nan,3394,15527126.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.2667,0.0,nan,3393,15527129.0,2.255441385805692e-05
2022-05-16,11:44:15,0.2709,0.0,nan,3394,15527127.0,2.2518368529446485e-05
2022-05-16,11:44:15,0.2752,0.0,nan,3395,15527129.0,2.248238080666538e-05
2022-05-16,11:44:15,0.2794,0.0,nan,3394,15527130.0,2.2518368529446485e-05
