Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-05-18,13:10:32,0.3256,24.44,22.38,2979,5077450.0,7.57485210617386e-05
2023-05-18,13:10:32,0.3531,24.44,22.38,2942,5077801.0,8.036652696646834e-05
2023-05-18,13:10:33,0.5499,24.44,22.38,2944,5077728.0,8.010985675532616e-05
2023-05-18,13:10:33,0.7615,24.44,22.38,2943,5077691.0,8.023808922953514e-05
2023-05-18,13:10:33,0.7636,24.44,22.38,2941,5077673.0,8.049517029469159e-05
2023-05-18,13:10:33,0.9864,24.44,22.38,2943,5077664.0,8.023808922953514e-05
2023-05-18,13:10:33,0.9885,24.44,22.38,2941,5077660.0,8.049517029469159e-05
2023-05-18,13:10:33,1.2113,24.44,22.38,2941,5077663.0,8.049517029469159e-05
2023-05-18,13:10:34,1.4342,24.44,22.38,2941,5077659.0,8.049517029469159e-05
2023-05-18,13:10:34,1.4364,24.44,22.38,2939,5077658.0,8.075307504190096e-05
2023-05-18,13:10:34,1.659,24.44,22.38,2940,5077654.0,8.062401954329628e-05
2023-05-18,13:10:34,1.6613,24.44,22.38,2941,5077656.0,8.049517029469159e-05
2023-05-18,13:10:34,1.8842,24.44,22.38,2941,5077657.0,8.049517029469159e-05
2023-05-18,13:10:34,2.1069,24.44,22.31,2942,5077656.0,8.036652696646834e-05
2023-05-18,13:10:34,2.1091,24.44,22.31,2939,5077656.0,8.075307504190096e-05
2023-05-18,13:10:34,2.3316,24.44,22.31,2941,5077656.0,8.049517029469159e-05
2023-05-18,13:10:35,2.5544,24.44,22.31,2941,5077656.0,8.049517029469159e-05
2023-05-18,13:10:35,2.5564,24.44,22.31,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:35,2.7794,24.44,22.31,2941,5077656.0,8.049517029469159e-05
2023-05-18,13:10:35,2.7814,24.44,22.31,2939,5077657.0,8.075307504190096e-05
2023-05-18,13:10:35,3.0044,24.44,22.31,2941,5077657.0,8.049517029469159e-05
2023-05-18,13:10:35,3.227,24.44,22.31,2941,5077657.0,8.049517029469159e-05
2023-05-18,13:10:35,3.2292,24.44,22.31,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:36,3.4518,24.44,22.31,2941,5077656.0,8.049517029469159e-05
2023-05-18,13:10:36,3.4539,24.44,22.31,2939,5077657.0,8.075307504190096e-05
2023-05-18,13:10:36,3.6765,24.44,22.31,2940,5077657.0,8.062401954329628e-05
2023-05-18,13:10:36,3.899,24.44,22.31,2940,5077656.0,8.062401954329628e-05
2023-05-18,13:10:36,3.9012,24.44,22.31,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:36,4.1238,24.44,22.28,2939,5077656.0,8.075307504190096e-05
2023-05-18,13:10:36,4.1259,24.44,22.28,2938,5077656.0,8.088233712065149e-05
2023-05-18,13:10:36,4.3485,24.44,22.28,2940,5077657.0,8.062401954329628e-05
2023-05-18,13:10:37,4.5711,24.44,22.28,2941,5077657.0,8.049517029469159e-05
2023-05-18,13:10:37,4.5733,24.44,22.28,2937,5077656.0,8.101180611022242e-05
2023-05-18,13:10:37,4.796,24.44,22.28,2941,5077656.0,8.049517029469159e-05
2023-05-18,13:10:37,4.7981,24.44,22.28,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:37,5.0207,24.44,22.28,2941,5077658.0,8.049517029469159e-05
2023-05-18,13:10:37,5.2433,24.44,22.28,2940,5077657.0,8.062401954329628e-05
2023-05-18,13:10:37,5.2454,24.44,22.28,2937,5077657.0,8.101180611022242e-05
2023-05-18,13:10:38,5.4682,24.44,22.28,2939,5077655.0,8.075307504190096e-05
2023-05-18,13:10:38,5.4703,24.44,22.28,2939,5077657.0,8.075307504190096e-05
2023-05-18,13:10:38,5.6933,24.44,22.28,2941,5077657.0,8.049517029469159e-05
2023-05-18,13:10:38,5.916,24.44,22.28,2939,5077656.0,8.075307504190096e-05
2023-05-18,13:10:38,5.9182,24.44,22.28,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:38,6.1407,24.44,22.27,2940,5077657.0,8.062401954329628e-05
2023-05-18,13:10:38,6.3634,24.44,22.27,2939,5077656.0,8.075307504190096e-05
2023-05-18,13:10:38,6.3656,24.44,22.27,2937,5077656.0,8.101180611022242e-05
2023-05-18,13:10:39,6.5883,24.44,22.27,2940,5077656.0,8.062401954329628e-05
2023-05-18,13:10:39,6.5905,24.44,22.27,2939,5077657.0,8.075307504190096e-05
2023-05-18,13:10:39,6.8132,24.44,22.27,2940,5077657.0,8.062401954329628e-05
2023-05-18,13:10:39,7.0359,24.44,22.27,2941,5077656.0,8.049517029469159e-05
2023-05-18,13:10:39,7.0381,24.44,22.27,2937,5077656.0,8.101180611022242e-05
2023-05-18,13:10:39,7.2607,24.44,22.27,2940,5077656.0,8.062401954329628e-05
2023-05-18,13:10:39,7.2628,24.44,22.27,2937,5077656.0,8.101180611022242e-05
2023-05-18,13:10:40,7.4856,24.44,22.27,2940,5077657.0,8.062401954329628e-05
2023-05-18,13:10:40,7.7083,24.44,22.27,2940,5077656.0,8.062401954329628e-05
2023-05-18,13:10:40,7.7106,24.44,22.27,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:40,7.9332,24.44,22.27,2940,5077656.0,8.062401954329628e-05
2023-05-18,13:10:40,7.9352,24.44,22.27,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:40,8.1579,24.44,22.26,2940,5077657.0,8.062401954329628e-05
2023-05-18,13:10:40,8.3805,24.44,22.26,2941,5077657.0,8.049517029469159e-05
2023-05-18,13:10:41,8.3827,24.44,22.26,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:41,8.6053,24.44,22.26,2939,5077656.0,8.075307504190096e-05
2023-05-18,13:10:41,8.6075,24.44,22.26,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:41,8.8301,24.44,22.26,2939,5077657.0,8.075307504190096e-05
2023-05-18,13:10:41,9.0527,24.44,22.26,2939,5077656.0,8.075307504190096e-05
2023-05-18,13:10:41,9.0547,24.44,22.26,2937,5077657.0,8.101180611022242e-05
2023-05-18,13:10:41,9.2774,24.44,22.26,2939,5077656.0,8.075307504190096e-05
2023-05-18,13:10:41,9.2796,24.44,22.26,2937,5077657.0,8.101180611022242e-05
2023-05-18,13:10:42,9.5023,24.44,22.26,2939,5077657.0,8.075307504190096e-05
2023-05-18,13:10:42,9.7251,24.44,22.26,2940,5077656.0,8.062401954329628e-05
2023-05-18,13:10:42,9.7271,24.44,22.26,2937,5077656.0,8.101180611022242e-05
2023-05-18,13:10:42,9.9498,24.44,22.26,2939,5077656.0,8.075307504190096e-05
2023-05-18,13:10:42,10.1725,24.38,22.25,2939,5077656.0,8.075307504190096e-05
2023-05-18,13:10:42,10.1747,24.38,22.25,2937,5077657.0,8.101180611022242e-05
2023-05-18,13:10:43,10.3974,24.38,22.25,2939,5077656.0,8.075307504190096e-05
2023-05-18,13:10:43,10.3997,24.38,22.25,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:43,10.6222,24.38,22.25,2939,5077658.0,8.075307504190096e-05
2023-05-18,13:10:43,10.8451,24.38,22.25,2940,5077658.0,8.062401954329628e-05
2023-05-18,13:10:43,10.8471,24.38,22.25,2936,5077657.0,8.114148234181742e-05
2023-05-18,13:10:43,11.0698,24.38,22.25,2939,5077656.0,8.075307504190096e-05
2023-05-18,13:10:43,11.0721,24.38,22.25,2937,5077657.0,8.101180611022242e-05
2023-05-18,13:10:43,11.2948,24.38,22.25,2939,5077657.0,8.075307504190096e-05
2023-05-18,13:10:44,11.5176,24.38,22.25,2939,5077657.0,8.075307504190096e-05
2023-05-18,13:10:44,11.5197,24.38,22.25,2937,5077657.0,8.101180611022242e-05
2023-05-18,13:10:44,11.7425,24.38,22.25,2939,5077656.0,8.075307504190096e-05
2023-05-18,13:10:44,11.7446,24.38,22.25,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:44,11.9674,24.38,22.25,2940,5077658.0,8.062401954329628e-05
2023-05-18,13:10:44,12.1898,24.38,22.25,2940,5077657.0,8.062401954329628e-05
2023-05-18,13:10:44,12.192,24.38,22.25,2935,5077657.0,8.127136614717054e-05
2023-05-18,13:10:45,12.4148,24.38,22.25,2940,5077657.0,8.062401954329628e-05
2023-05-18,13:10:45,12.417,24.38,22.25,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:45,12.6397,24.38,22.25,2941,5077659.0,8.049517029469159e-05
2023-05-18,13:10:45,12.8623,24.38,22.25,2940,5077658.0,8.062401954329628e-05
2023-05-18,13:10:45,12.8644,24.38,22.25,2938,5077658.0,8.088233712065149e-05
2023-05-18,13:10:45,13.0874,24.38,22.25,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:45,13.0895,24.38,22.25,2938,5077658.0,8.088233712065149e-05
2023-05-18,13:10:45,13.3124,24.38,22.25,2940,5077659.0,8.062401954329628e-05
2023-05-18,13:10:46,13.5348,24.38,22.25,2939,5077658.0,8.075307504190096e-05
2023-05-18,13:10:46,13.537,24.38,22.25,2936,5077657.0,8.114148234181742e-05
2023-05-18,13:10:46,13.7599,24.38,22.25,2939,5077656.0,8.075307504190096e-05
2023-05-18,13:10:46,13.762,24.38,22.25,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:46,13.9848,24.38,22.25,2938,5077658.0,8.088233712065149e-05
2023-05-18,13:10:46,14.2074,24.44,22.25,2941,5077658.0,8.049517029469159e-05
2023-05-18,13:10:46,14.2095,24.44,22.25,2937,5077657.0,8.101180611022242e-05
2023-05-18,13:10:47,14.4324,24.44,22.25,2940,5077657.0,8.062401954329628e-05
2023-05-18,13:10:47,14.4346,24.44,22.25,2938,5077657.0,8.088233712065149e-05
2023-05-18,13:10:47,14.6571,24.44,22.25,2940,5077659.0,8.062401954329628e-05
2023-05-18,13:10:47,14.8797,24.44,22.25,2940,5077662.0,8.062401954329628e-05
2023-05-18,13:10:47,14.8819,24.44,22.25,2937,5077660.0,8.101180611022242e-05
2023-05-18,13:10:47,15.1046,24.44,22.25,2939,5077659.0,8.075307504190096e-05
2023-05-18,13:10:47,15.1068,24.44,22.25,2938,5077659.0,8.088233712065149e-05
2023-05-18,13:10:47,15.3293,24.44,22.25,2940,5077659.0,8.062401954329628e-05
2023-05-18,13:10:48,15.552,24.44,22.25,2940,5077659.0,8.062401954329628e-05
2023-05-18,13:10:48,15.5542,24.44,22.25,2936,5077658.0,8.114148234181742e-05
2023-05-18,13:10:48,15.7766,24.44,22.25,2940,5077658.0,8.062401954329628e-05
2023-05-18,13:10:48,15.7788,24.44,22.25,2937,5077659.0,8.101180611022242e-05
2023-05-18,13:10:48,16.0013,24.44,22.25,2941,5077657.0,8.049517029469159e-05
2023-05-18,13:10:48,16.0035,24.44,22.25,2938,5077659.0,8.088233712065149e-05
2023-05-18,13:10:48,16.226,24.44,22.25,2941,5077660.0,8.049517029469159e-05
2023-05-18,13:10:49,16.4485,24.44,22.25,2938,5077658.0,8.088233712065149e-05
2023-05-18,13:10:49,16.4508,24.44,22.25,2936,5077659.0,8.114148234181742e-05
2023-05-18,13:10:49,16.6734,24.44,22.25,2939,5077659.0,8.075307504190096e-05
2023-05-18,13:10:49,16.6756,24.44,22.25,2937,5077659.0,8.101180611022242e-05
2023-05-18,13:10:49,16.8982,24.44,22.25,2939,5077660.0,8.075307504190096e-05
2023-05-18,13:10:49,17.1205,24.44,22.25,2940,5077659.0,8.062401954329628e-05
2023-05-18,13:10:49,17.1226,24.44,22.25,2937,5077659.0,8.101180611022242e-05
2023-05-18,13:10:49,17.3453,24.44,22.25,2940,5077658.0,8.062401954329628e-05
2023-05-18,13:10:49,17.3475,24.44,22.25,2938,5077659.0,8.088233712065149e-05
2023-05-18,13:10:50,17.5702,24.44,22.25,2941,5077660.0,8.049517029469159e-05
2023-05-18,13:10:50,17.7926,24.44,22.25,2940,5077659.0,8.062401954329628e-05
2023-05-18,13:10:50,17.7948,24.44,22.25,2937,5077659.0,8.101180611022242e-05
2023-05-18,13:10:50,18.0174,24.44,22.25,2940,5077658.0,8.062401954329628e-05
2023-05-18,13:10:50,18.0197,24.44,22.25,2938,5077659.0,8.088233712065149e-05
2023-05-18,13:10:50,18.2424,24.44,22.25,2941,5077660.0,8.049517029469159e-05
2023-05-18,13:10:51,18.4651,24.44,22.25,2940,5077659.0,8.062401954329628e-05
2023-05-18,13:10:51,18.4673,24.44,22.25,2937,5077659.0,8.101180611022242e-05
2023-05-18,13:10:51,18.6898,24.44,22.25,2941,5077659.0,8.049517029469159e-05
2023-05-18,13:10:51,18.6918,24.44,22.25,2937,5077659.0,8.101180611022242e-05
2023-05-18,13:10:51,18.9147,24.44,22.25,2941,5077660.0,8.049517029469159e-05
2023-05-18,13:10:51,19.1371,24.44,22.25,2941,5077659.0,8.049517029469159e-05
2023-05-18,13:10:51,19.1392,24.44,22.25,2937,5077659.0,8.101180611022242e-05
