Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2024-05-06,11:12:41,0.0528,26.0,25.25,3313,14983956.0,2.5633113905545e-05
2024-05-06,11:12:41,0.0808,26.0,25.25,3322,14984282.0,2.526677205656473e-05
2024-05-06,11:12:41,0.1119,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.1176,26.0,25.25,3383,14984228.0,2.291805582424504e-05
2024-05-06,11:12:41,0.1234,26.0,25.25,3382,14984228.0,2.2954740935434e-05
2024-05-06,11:12:41,0.1291,26.0,25.25,3381,14984229.0,2.299148476876735e-05
2024-05-06,11:12:41,0.1349,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.1406,26.0,25.25,3383,14984229.0,2.291805582424504e-05
2024-05-06,11:12:41,0.1464,26.0,25.25,3383,14984231.0,2.291805582424504e-05
2024-05-06,11:12:41,0.1521,26.0,25.25,3382,14984231.0,2.2954740935434e-05
2024-05-06,11:12:41,0.1579,26.0,25.25,3381,14984229.0,2.299148476876735e-05
2024-05-06,11:12:41,0.1637,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.1694,26.0,25.25,3383,14984229.0,2.291805582424504e-05
2024-05-06,11:12:41,0.1752,26.0,25.25,3383,14984229.0,2.291805582424504e-05
2024-05-06,11:12:41,0.1809,26.0,25.25,3382,14984228.0,2.2954740935434e-05
2024-05-06,11:12:41,0.1866,26.0,25.25,3381,14984229.0,2.299148476876735e-05
2024-05-06,11:12:41,0.1924,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.1982,26.0,25.25,3383,14984229.0,2.291805582424504e-05
2024-05-06,11:12:41,0.2039,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.2096,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.2154,26.0,25.25,3383,14984229.0,2.291805582424504e-05
2024-05-06,11:12:41,0.2211,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.2269,26.0,25.25,3381,14984229.0,2.299148476876735e-05
2024-05-06,11:12:41,0.2327,26.0,25.25,3381,14984229.0,2.299148476876735e-05
2024-05-06,11:12:41,0.2384,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.2441,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.2499,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.2556,26.0,25.25,3383,14984229.0,2.291805582424504e-05
2024-05-06,11:12:41,0.2614,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.2671,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.2729,26.0,25.25,3383,14984229.0,2.291805582424504e-05
2024-05-06,11:12:41,0.2786,26.0,25.25,3383,14984229.0,2.291805582424504e-05
2024-05-06,11:12:41,0.2844,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.2901,26.0,25.25,3381,14984229.0,2.299148476876735e-05
2024-05-06,11:12:41,0.2958,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.3016,26.0,25.25,3383,14984229.0,2.291805582424504e-05
2024-05-06,11:12:41,0.3073,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.313,26.0,25.25,3382,14984229.0,2.2954740935434e-05
2024-05-06,11:12:41,0.3188,26.0,25.25,3383,14984229.0,2.291805582424504e-05
2024-05-06,11:12:41,0.3245,26.0,25.25,3383,14984229.0,2.291805582424504e-05
2024-05-06,11:12:41,0.3302,26.0,25.25,3383,14984229.0,2.291805582424504e-05
2024-05-06,11:12:41,0.336,26.0,25.25,3383,14984229.0,2.291805582424504e-05
2024-05-06,11:12:41,0.3475,26.0,25.25,3383,14984228.0,2.291805582424504e-05
2024-05-06,11:12:41,0.3532,26.0,25.25,3383,14984227.0,2.291805582424504e-05
