Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2023-09-25,10:25:15,0.0539,26.44,24.5,3273,15169450.0,2.732664270877265e-05
2023-09-25,10:25:15,0.0823,26.5,24.5,3250,15169740.0,2.835062270712792e-05
2023-09-25,10:25:15,0.1124,26.5,24.5,3257,15169673.0,2.803497950536041e-05
2023-09-25,10:25:15,0.116,26.5,24.5,3251,15169674.0,2.830531416937475e-05
2023-09-25,10:25:15,0.1196,26.5,24.5,3251,15169674.0,2.830531416937475e-05
2023-09-25,10:25:15,0.1233,26.5,24.5,3251,15169674.0,2.830531416937475e-05
2023-09-25,10:25:15,0.127,26.5,24.5,3251,15169674.0,2.830531416937475e-05
2023-09-25,10:25:15,0.1306,26.5,24.5,3251,15169674.0,2.830531416937475e-05
2023-09-25,10:25:15,0.1342,26.5,24.5,3251,15169674.0,2.830531416937475e-05
2023-09-25,10:25:15,0.1378,26.5,24.5,3251,15169675.0,2.830531416937475e-05
2023-09-25,10:25:15,0.1415,26.5,24.5,3252,15169675.0,2.826007804144532e-05
2023-09-25,10:25:15,0.1452,26.5,24.5,3252,15169675.0,2.826007804144532e-05
2023-09-25,10:25:15,0.1488,26.5,24.5,3251,15169674.0,2.830531416937475e-05
2023-09-25,10:25:15,0.1524,26.5,24.5,3252,15169674.0,2.826007804144532e-05
2023-09-25,10:25:15,0.1559,26.5,24.5,3252,15169674.0,2.826007804144532e-05
2023-09-25,10:25:15,0.1595,26.5,24.5,3252,15169674.0,2.826007804144532e-05
2023-09-25,10:25:15,0.1632,26.5,24.5,3253,15169675.0,2.821491420761792e-05
2023-09-25,10:25:15,0.167,26.5,24.5,3253,15169675.0,2.821491420761792e-05
2023-09-25,10:25:15,0.1705,26.5,24.5,3253,15169675.0,2.821491420761792e-05
2023-09-25,10:25:15,0.1741,26.5,24.5,3252,15169675.0,2.826007804144532e-05
2023-09-25,10:25:15,0.1777,26.5,24.5,3252,15169675.0,2.826007804144532e-05
2023-09-25,10:25:15,0.1813,26.5,24.5,3252,15169675.0,2.826007804144532e-05
2023-09-25,10:25:15,0.185,26.5,24.5,3252,15169675.0,2.826007804144532e-05
2023-09-25,10:25:15,0.1922,26.5,24.5,3252,15169674.0,2.826007804144532e-05
2023-09-25,10:25:15,0.1959,26.5,24.5,3252,15169675.0,2.826007804144532e-05
2023-09-25,10:25:15,0.1995,26.5,24.5,3252,15169675.0,2.826007804144532e-05
2023-09-25,10:25:15,0.203,26.5,24.5,3252,15169675.0,2.826007804144532e-05
2023-09-25,10:25:15,0.2103,26.5,24.5,3252,15169676.0,2.826007804144532e-05
2023-09-25,10:25:15,0.2141,26.5,24.5,3252,15169675.0,2.826007804144532e-05
2023-09-25,10:25:15,0.2176,26.5,24.5,3253,15169675.0,2.821491420761792e-05
2023-09-25,10:25:15,0.2212,26.5,24.5,3253,15169675.0,2.821491420761792e-05
2023-09-25,10:25:15,0.2284,26.5,24.5,3253,15169673.0,2.821491420761792e-05
2023-09-25,10:25:15,0.2321,26.5,24.5,3253,15169674.0,2.821491420761792e-05
2023-09-25,10:25:15,0.2358,26.5,24.5,3253,15169675.0,2.821491420761792e-05
2023-09-25,10:25:15,0.243,26.5,24.5,3252,15169674.0,2.826007804144532e-05
2023-09-25,10:25:15,0.2466,26.5,24.5,3253,15169674.0,2.821491420761792e-05
