Relative_time,Resonance_Frequency,Dissipation,target
0.0541,15164242.0,2.37388389481256e-05,0
0.0821,15164567.0,2.530721677619496e-05,0
0.1126,15164478.0,2.482612351948873e-05,0
0.1169,15164481.0,2.51458253049297e-05,0
0.1211,15164481.0,2.510563851302276e-05,0
0.1253,15164481.0,2.510563851302276e-05,0
0.1295,15164481.0,2.510563851302276e-05,0
0.1338,15164481.0,2.510563851302276e-05,0
0.1381,15164481.0,2.510563851302276e-05,0
0.1423,15164481.0,2.510563851302276e-05,0
0.1466,15164481.0,2.506551594562326e-05,0
0.1508,15164482.0,2.510563851302276e-05,0
0.155,15164482.0,2.51458253049297e-05,0
0.1593,15164481.0,2.510563851302276e-05,0
0.1636,15164482.0,2.510563851302276e-05,0
0.1678,15164482.0,2.51458253049297e-05,0
0.172,15164481.0,2.510563851302276e-05,0
0.1763,15164481.0,2.510563851302276e-05,0
0.1806,15164481.0,2.51458253049297e-05,0
0.1848,15164481.0,2.510563851302276e-05,0
0.1891,15164481.0,2.510563851302276e-05,0
0.1933,15164481.0,2.510563851302276e-05,0
0.1976,15164481.0,2.510563851302276e-05,0
0.2018,15164481.0,2.510563851302276e-05,0
0.2059,15164481.0,2.510563851302276e-05,0
0.2102,15164481.0,2.51458253049297e-05,0
0.2187,15164482.0,2.51458253049297e-05,0
0.2229,15164482.0,2.510563851302276e-05,0
0.2272,15164482.0,2.510563851302276e-05,0
0.2314,15164482.0,2.51458253049297e-05,0
0.2356,15164481.0,2.51458253049297e-05,0
0.2399,15164481.0,2.51458253049297e-05,0
0.2483,15164481.0,2.51458253049297e-05,0
0.2525,15164481.0,2.510563851302276e-05,0
0.2568,15164481.0,2.506551594562326e-05,0
0.261,15164481.0,2.506551594562326e-05,0
0.2652,15164481.0,2.510563851302276e-05,0
0.2695,15164481.0,2.51458253049297e-05,0
0.2779,15164482.0,2.51458253049297e-05,0
0.2822,15164482.0,2.510563851302276e-05,0
0.2864,15164482.0,2.510563851302276e-05,0
0.2906,15164482.0,2.510563851302276e-05,0
0.2948,15164481.0,2.506551594562326e-05,0
0.2991,15164482.0,2.510563851302276e-05,0
0.3034,15164481.0,2.51458253049297e-05,0
0.3118,15164482.0,2.51458253049297e-05,0
0.316,15164482.0,2.51458253049297e-05,0
0.3203,15164481.0,2.510563851302276e-05,0
0.3245,15164482.0,2.506551594562326e-05,0
