Relative_time,Resonance_Frequency,Dissipation,target
0.0542,15202111.0,2.284486139306312e-05,0
0.0823,15202431.0,2.419886225103929e-05,0
0.1127,15202337.0,2.366302314476723e-05,0
0.1169,15202340.0,2.408302736022003e-05,0
0.1211,15202340.0,2.408302736022003e-05,0
0.1254,15202340.0,2.404453907847634e-05,0
0.1296,15202340.0,2.404453907847634e-05,0
0.1338,15202340.0,2.408302736022003e-05,0
0.138,15202340.0,2.408302736022003e-05,0
0.1423,15202340.0,2.404453907847634e-05,0
0.1465,15202340.0,2.404453907847634e-05,0
0.1507,15202340.0,2.404453907847634e-05,0
0.1549,15202340.0,2.404453907847634e-05,0
0.1592,15202339.0,2.404453907847634e-05,0
0.1635,15202339.0,2.404453907847634e-05,0
0.1679,15202339.0,2.400611230676662e-05,0
0.1721,15202339.0,2.400611230676662e-05,0
0.1763,15202340.0,2.404453907847634e-05,0
0.1805,15202339.0,2.404453907847634e-05,0
0.1848,15202339.0,2.404453907847634e-05,0
0.189,15202339.0,2.404453907847634e-05,0
0.1932,15202339.0,2.404453907847634e-05,0
0.1974,15202339.0,2.408302736022003e-05,0
0.2018,15202339.0,2.408302736022003e-05,0
0.206,15202339.0,2.408302736022003e-05,0
0.2101,15202339.0,2.408302736022003e-05,0
0.2145,15202340.0,2.404453907847634e-05,0
0.2188,15202340.0,2.404453907847634e-05,0
0.223,15202340.0,2.404453907847634e-05,0
0.2273,15202340.0,2.404453907847634e-05,0
0.2314,15202340.0,2.404453907847634e-05,0
0.2356,15202340.0,2.404453907847634e-05,0
0.2399,15202340.0,2.404453907847634e-05,0
0.2442,15202340.0,2.408302736022003e-05,0
0.2484,15202340.0,2.408302736022003e-05,0
0.2526,15202340.0,2.404453907847634e-05,0
0.2568,15202340.0,2.404453907847634e-05,0
0.261,15202340.0,2.404453907847634e-05,0
0.2653,15202339.0,2.404453907847634e-05,0
0.2695,15202340.0,2.404453907847634e-05,0
0.2737,15202340.0,2.404453907847634e-05,0
0.2781,15202340.0,2.404453907847634e-05,0
0.2824,15202340.0,2.404453907847634e-05,0
0.2865,15202339.0,2.404453907847634e-05,0
0.2907,15202339.0,2.404453907847634e-05,0
0.2951,15202339.0,2.404453907847634e-05,0
0.2993,15202340.0,2.404453907847634e-05,0
0.3035,15202340.0,2.404453907847634e-05,0
0.3078,15202340.0,2.404453907847634e-05,0
0.312,15202340.0,2.404453907847634e-05,0
0.3162,15202340.0,2.404453907847634e-05,0
0.3204,15202339.0,2.404453907847634e-05,0
0.3247,15202339.0,2.404453907847634e-05,0
0.3289,15202340.0,2.404453907847634e-05,0
0.3331,15202340.0,2.404453907847634e-05,0
0.3373,15202340.0,2.404453907847634e-05,0
0.3416,15202340.0,2.400611230676662e-05,0
0.3458,15202340.0,2.400611230676662e-05,0
0.35,15202340.0,2.408302736022003e-05,0
0.3542,15202340.0,2.412157725045732e-05,0
0.3585,15202340.0,2.408302736022003e-05,0
0.3627,15202340.0,2.408302736022003e-05,0
0.3669,15202340.0,2.408302736022003e-05,0
0.3711,15202340.0,2.404453907847634e-05,0
0.3754,15202340.0,2.404453907847634e-05,0
0.3797,15202340.0,2.404453907847634e-05,0
0.3841,15202339.0,2.408302736022003e-05,0
0.3883,15202339.0,2.408302736022003e-05,0
0.3925,15202340.0,2.404453907847634e-05,0
0.3967,15202340.0,2.408302736022003e-05,0
0.401,15202340.0,2.404453907847634e-05,0
0.4052,15202340.0,2.400611230676662e-05,0
0.4094,15202340.0,2.408302736022003e-05,0
0.4136,15202339.0,2.408302736022003e-05,0
0.4178,15202339.0,2.408302736022003e-05,0
0.4221,15202339.0,2.408302736022003e-05,0
0.4263,15202340.0,2.404453907847634e-05,0
0.4305,15202340.0,2.404453907847634e-05,0
0.4349,15202340.0,2.404453907847634e-05,0
0.4392,15202340.0,2.404453907847634e-05,0
0.4434,15202340.0,2.404453907847634e-05,0
0.4477,15202340.0,2.404453907847634e-05,0
0.4519,15202340.0,2.404453907847634e-05,0
0.4561,15202340.0,2.408302736022003e-05,0
0.4603,15202340.0,2.408302736022003e-05,0
0.4646,15202340.0,2.408302736022003e-05,0
0.4688,15202340.0,2.408302736022003e-05,0
0.473,15202340.0,2.404453907847634e-05,0
0.4772,15202340.0,2.408302736022003e-05,0
0.4815,15202339.0,2.408302736022003e-05,0
0.4857,15202340.0,2.404453907847634e-05,0
0.49,15202340.0,2.404453907847634e-05,0
0.4943,15202340.0,2.404453907847634e-05,0
0.4985,15202339.0,2.404453907847634e-05,0
0.5028,15202340.0,2.400611230676662e-05,0
0.5071,15202340.0,2.400611230676662e-05,0
0.5113,15202339.0,2.404453907847634e-05,0
0.5155,15202340.0,2.404453907847634e-05,0
0.5197,15202340.0,2.400611230676662e-05,0
0.524,15202340.0,2.400611230676662e-05,0
0.5282,15202340.0,2.404453907847634e-05,0
0.5324,15202340.0,2.404453907847634e-05,0
0.5366,15202339.0,2.404453907847634e-05,0
0.5409,15202340.0,2.404453907847634e-05,0
0.5451,15202339.0,2.408302736022003e-05,0
0.5494,15202339.0,2.404453907847634e-05,0
0.5537,15202339.0,2.400611230676662e-05,0
0.5579,15202340.0,2.404453907847634e-05,0
0.5621,15202340.0,2.404453907847634e-05,0
0.5663,15202340.0,2.408302736022003e-05,0
0.5707,15202340.0,2.408302736022003e-05,0
0.5749,15202340.0,2.408302736022003e-05,0
0.5791,15202340.0,2.404453907847634e-05,0
0.5834,15202340.0,2.400611230676662e-05,0
0.5876,15202340.0,2.404453907847634e-05,0
0.5918,15202340.0,2.404453907847634e-05,0
0.596,15202340.0,2.404453907847634e-05,0
0.6004,15202340.0,2.404453907847634e-05,0
0.6046,15202340.0,2.404453907847634e-05,0
0.6088,15202340.0,2.408302736022003e-05,0
0.6132,15202341.0,2.404453907847634e-05,0
0.6174,15202341.0,2.396774694678868e-05,0
0.6216,15202340.0,2.400611230676662e-05,0
0.6258,15202340.0,2.404453907847634e-05,0
0.6301,15202340.0,2.400611230676662e-05,0
0.6343,15202340.0,2.400611230676662e-05,0
0.6385,15202340.0,2.404453907847634e-05,0
0.6427,15202340.0,2.408302736022003e-05,0
0.647,15202340.0,2.408302736022003e-05,0
0.6512,15202340.0,2.404453907847634e-05,0
0.6554,15202340.0,2.404453907847634e-05,0
0.6598,15202339.0,2.404453907847634e-05,0
0.6641,15202340.0,2.400611230676662e-05,0
0.6682,15202340.0,2.404453907847634e-05,0
0.6723,15202340.0,2.408302736022003e-05,0
0.6767,15202340.0,2.404453907847634e-05,0
0.681,15202340.0,2.404453907847634e-05,0
0.6852,15202340.0,2.404453907847634e-05,0
0.6895,15202339.0,2.404453907847634e-05,0
0.6937,15202339.0,2.404453907847634e-05,0
0.6979,15202340.0,2.404453907847634e-05,0
0.7021,15202340.0,2.404453907847634e-05,0
0.7064,15202340.0,2.400611230676662e-05,0
0.7106,15202340.0,2.400611230676662e-05,0
0.7148,15202340.0,2.404453907847634e-05,0
0.719,15202339.0,2.404453907847634e-05,0
0.7233,15202340.0,2.404453907847634e-05,0
0.7276,15202340.0,2.404453907847634e-05,0
0.7318,15202340.0,2.404453907847634e-05,0
0.7361,15202340.0,2.404453907847634e-05,0
0.7403,15202340.0,2.400611230676662e-05,0
0.7445,15202340.0,2.400611230676662e-05,0
0.7489,15202340.0,2.404453907847634e-05,0
0.7531,15202339.0,2.404453907847634e-05,0
0.7573,15202340.0,2.400611230676662e-05,0
0.7615,15202340.0,2.400611230676662e-05,0
0.7658,15202340.0,2.400611230676662e-05,0
0.77,15202340.0,2.404453907847634e-05,0
0.7742,15202340.0,2.408302736022003e-05,0
0.7784,15202339.0,2.404453907847634e-05,0
0.7826,15202340.0,2.400611230676662e-05,0
0.7869,15202340.0,2.400611230676662e-05,0
0.7911,15202340.0,2.404453907847634e-05,0
0.7953,15202340.0,2.404453907847634e-05,0
0.7995,15202340.0,2.400611230676662e-05,0
0.8038,15202340.0,2.400611230676662e-05,0
0.808,15202340.0,2.400611230676662e-05,0
0.8122,15202340.0,2.400611230676662e-05,0
0.8166,15202340.0,2.400611230676662e-05,0
0.8209,15202340.0,2.404453907847634e-05,0
0.8251,15202340.0,2.404453907847634e-05,0
