Relative_time,Resonance_Frequency,Dissipation,target
0.0528,15154548.0,2.358744947776824e-05,0
0.0808,15154877.0,2.321318620817691e-05,0
0.1119,15154824.0,2.115663697358534e-05,0
0.1177,15154824.0,2.108906806543364e-05,0
0.1235,15154825.0,2.108906806543364e-05,0
0.1294,15154825.0,2.108906806543364e-05,0
0.1351,15154824.0,2.108906806543364e-05,0
0.1408,15154824.0,2.108906806543364e-05,0
0.1467,15154825.0,2.108906806543364e-05,0
0.1526,15154825.0,2.108906806543364e-05,0
0.1584,15154825.0,2.108906806543364e-05,0
0.1641,15154825.0,2.108906806543364e-05,0
0.1699,15154825.0,2.105536457868864e-05,0
0.1757,15154824.0,2.105536457868864e-05,0
0.1815,15154824.0,2.108906806543364e-05,0
0.1874,15154825.0,2.108906806543364e-05,0
0.1931,15154825.0,2.105536457868864e-05,0
0.1989,15154825.0,2.10217149551592e-05,0
0.2047,15154825.0,2.10217149551592e-05,0
0.2105,15154825.0,2.105536457868864e-05,0
0.2164,15154825.0,2.105536457868864e-05,0
0.2222,15154825.0,2.105536457868864e-05,0
0.228,15154825.0,2.105536457868864e-05,0
0.2338,15154824.0,2.10217149551592e-05,0
0.2396,15154824.0,2.10217149551592e-05,0
0.2454,15154825.0,2.105536457868864e-05,0
0.2512,15154825.0,2.105536457868864e-05,0
0.2571,15154825.0,2.105536457868864e-05,0
0.2628,15154825.0,2.105536457868864e-05,0
0.2686,15154825.0,2.105536457868864e-05,0
0.2744,15154825.0,2.105536457868864e-05,0
0.2802,15154825.0,2.105536457868864e-05,0
0.286,15154824.0,2.108906806543364e-05,0
0.2918,15154824.0,2.108906806543364e-05,0
0.2976,15154825.0,2.105536457868864e-05,0
0.3033,15154825.0,2.10217149551592e-05,0
0.3092,15154825.0,2.10217149551592e-05,0
0.315,15154825.0,2.105536457868864e-05,0
0.3208,15154825.0,2.105536457868864e-05,0
0.3266,15154825.0,2.105536457868864e-05,0
0.3323,15154824.0,2.108906806543364e-05,0
0.3382,15154824.0,2.108906806543364e-05,0
0.344,15154824.0,2.105536457868864e-05,0
0.3498,15154825.0,2.105536457868864e-05,0
0.3556,15154825.0,2.105536457868864e-05,0
0.3614,15154825.0,2.105536457868864e-05,0
0.3671,15154825.0,2.105536457868864e-05,0
0.373,15154825.0,2.105536457868864e-05,0
0.3846,15154825.0,2.108906806543364e-05,0
0.3903,15154825.0,2.105536457868864e-05,0
0.3961,15154825.0,2.105536457868864e-05,0
0.4019,15154825.0,2.105536457868864e-05,0
0.4077,15154825.0,2.105536457868864e-05,0
0.4135,15154825.0,2.105536457868864e-05,0
0.4193,15154825.0,2.105536457868864e-05,0
0.4251,15154825.0,2.105536457868864e-05,0
0.4309,15154825.0,2.105536457868864e-05,0
0.4367,15154825.0,2.105536457868864e-05,0
0.4426,15154825.0,2.105536457868864e-05,0
0.4484,15154825.0,2.105536457868864e-05,0
0.4542,15154825.0,2.105536457868864e-05,0
0.4599,15154825.0,2.105536457868864e-05,0
0.4657,15154825.0,2.105536457868864e-05,0
0.4715,15154825.0,2.105536457868864e-05,0
0.4774,15154825.0,2.105536457868864e-05,0
0.4831,15154825.0,2.105536457868864e-05,0
0.4889,15154825.0,2.105536457868864e-05,0
0.4948,15154825.0,2.108906806543364e-05,0
0.5005,15154825.0,2.108906806543364e-05,0
0.5063,15154825.0,2.105536457868864e-05,0
0.5121,15154825.0,2.105536457868864e-05,0
0.5179,15154825.0,2.105536457868864e-05,0
0.5238,15154825.0,2.105536457868864e-05,0
0.5296,15154825.0,2.105536457868864e-05,0
0.5353,15154825.0,2.105536457868864e-05,0
0.5411,15154825.0,2.105536457868864e-05,0
0.5527,15154825.0,2.108906806543364e-05,0
0.5585,15154825.0,2.105536457868864e-05,0
0.5643,15154825.0,2.105536457868864e-05,0
0.5701,15154825.0,2.105536457868864e-05,0
0.5759,15154825.0,2.105536457868864e-05,0
0.5817,15154825.0,2.10217149551592e-05,0
0.5875,15154825.0,2.105536457868864e-05,0
0.5933,15154825.0,2.108906806543364e-05,0
0.5991,15154825.0,2.105536457868864e-05,0
0.6048,15154825.0,2.105536457868864e-05,0
0.6106,15154825.0,2.105536457868864e-05,0
0.6165,15154825.0,2.105536457868864e-05,0
0.6223,15154825.0,2.105536457868864e-05,0
0.628,15154825.0,2.105536457868864e-05,0
0.6338,15154825.0,2.105536457868864e-05,0
0.6396,15154825.0,2.10217149551592e-05,0
0.6454,15154825.0,2.10217149551592e-05,0
0.6512,15154825.0,2.105536457868864e-05,0
0.6571,15154825.0,2.105536457868864e-05,0
0.6628,15154825.0,2.105536457868864e-05,0
0.6686,15154825.0,2.105536457868864e-05,0
0.6744,15154825.0,2.105536457868864e-05,0
0.6802,15154825.0,2.105536457868864e-05,0
0.6861,15154825.0,2.105536457868864e-05,0
0.6919,15154825.0,2.108906806543364e-05,0
0.6976,15154824.0,2.108906806543364e-05,0
0.7035,15154825.0,2.105536457868864e-05,0
0.715,15154824.0,2.105536457868864e-05,0
0.7208,15154825.0,2.105536457868864e-05,0
0.7266,15154825.0,2.105536457868864e-05,0
0.7324,15154825.0,2.105536457868864e-05,0
0.7383,15154825.0,2.105536457868864e-05,0
0.744,15154825.0,2.105536457868864e-05,0
0.7498,15154825.0,2.105536457868864e-05,0
0.7557,15154825.0,2.105536457868864e-05,0
0.7614,15154825.0,2.105536457868864e-05,0
0.7672,15154825.0,2.105536457868864e-05,0
0.773,15154825.0,2.105536457868864e-05,0
0.7788,15154826.0,2.105536457868864e-05,0
0.7846,15154825.0,2.105536457868864e-05,0
0.7904,15154825.0,2.105536457868864e-05,0
0.7962,15154825.0,2.105536457868864e-05,0
0.802,15154825.0,2.10217149551592e-05,0
0.8078,15154825.0,2.105536457868864e-05,0
0.8136,15154825.0,2.108906806543364e-05,0
0.8194,15154825.0,2.105536457868864e-05,0
0.8251,15154825.0,2.10217149551592e-05,0
0.8309,15154825.0,2.10217149551592e-05,0
0.8368,15154825.0,2.10217149551592e-05,0
0.8427,15154825.0,2.09881191087638e-05,0
0.8484,15154825.0,2.105536457868864e-05,0
0.8542,15154825.0,2.108906806543364e-05,0
0.86,15154825.0,2.105536457868864e-05,0
0.8658,15154825.0,2.10217149551592e-05,0
0.8716,15154825.0,2.10217149551592e-05,0
0.8831,15154826.0,2.105536457868864e-05,0
0.8889,15154825.0,2.10217149551592e-05,0
0.8947,15154825.0,2.10217149551592e-05,0
0.9005,15154825.0,2.105536457868864e-05,0
0.9063,15154825.0,2.105536457868864e-05,0
0.912,15154825.0,2.105536457868864e-05,0
0.9178,15154825.0,2.105536457868864e-05,0
0.9236,15154825.0,2.105536457868864e-05,0
0.9294,15154825.0,2.105536457868864e-05,0
0.9352,15154825.0,2.105536457868864e-05,0
0.941,15154825.0,2.105536457868864e-05,0
0.9468,15154825.0,2.105536457868864e-05,0
0.9526,15154825.0,2.105536457868864e-05,0
0.9584,15154825.0,2.105536457868864e-05,0
0.9642,15154825.0,2.10217149551592e-05,0
0.97,15154825.0,2.09881191087638e-05,0
0.9758,15154825.0,2.10217149551592e-05,0
0.9816,15154825.0,2.105536457868864e-05,0
0.9874,15154825.0,2.105536457868864e-05,0
0.9932,15154825.0,2.10217149551592e-05,0
0.999,15154825.0,2.10217149551592e-05,0
1.0048,15154825.0,2.105536457868864e-05,0
1.0106,15154825.0,2.105536457868864e-05,0
1.0164,15154826.0,2.105536457868864e-05,0
1.0221,15154825.0,2.105536457868864e-05,0
1.0279,15154825.0,2.105536457868864e-05,0
1.0395,15154824.0,2.105536457868864e-05,0
1.0453,15154825.0,2.105536457868864e-05,0
1.051,15154825.0,2.105536457868864e-05,0
1.0569,15154825.0,2.10217149551592e-05,0
1.0627,15154825.0,2.10217149551592e-05,0
1.0685,15154825.0,2.105536457868864e-05,0
1.0742,15154825.0,2.105536457868864e-05,0
1.08,15154825.0,2.105536457868864e-05,0
1.0859,15154825.0,2.105536457868864e-05,0
1.0916,15154825.0,2.10217149551592e-05,0
1.0974,15154825.0,2.10217149551592e-05,0
1.1032,15154825.0,2.105536457868864e-05,0
1.109,15154825.0,2.105536457868864e-05,0
1.1149,15154825.0,2.10217149551592e-05,0
1.1206,15154825.0,2.10217149551592e-05,0
1.1264,15154825.0,2.105536457868864e-05,0
1.1323,15154825.0,2.105536457868864e-05,0
1.1381,15154825.0,2.105536457868864e-05,0
1.1438,15154826.0,2.105536457868864e-05,0
1.1497,15154825.0,2.105536457868864e-05,0
1.1555,15154825.0,2.105536457868864e-05,0
1.1613,15154825.0,2.10217149551592e-05,0
1.167,15154826.0,2.09881191087638e-05,0
1.1728,15154825.0,2.10217149551592e-05,0
1.1786,15154825.0,2.105536457868864e-05,0
1.1844,15154825.0,2.105536457868864e-05,0
1.1901,15154825.0,2.105536457868864e-05,0
1.2017,15154825.0,2.105536457868864e-05,0
1.2075,15154826.0,2.105536457868864e-05,0
1.2132,15154826.0,2.105536457868864e-05,0
1.219,15154825.0,2.105536457868864e-05,0
1.2249,15154825.0,2.105536457868864e-05,0
1.2308,15154825.0,2.105536457868864e-05,0
1.2365,15154826.0,2.105536457868864e-05,0
1.2423,15154827.0,2.105536457868864e-05,0
1.2481,15154825.0,2.105536457868864e-05,0
1.2539,15154825.0,2.105536457868864e-05,0
1.2598,15154826.0,2.10217149551592e-05,0
1.2656,15154826.0,2.10217149551592e-05,0
1.2713,15154826.0,2.10217149551592e-05,0
1.2772,15154826.0,2.09881191087638e-05,0
1.283,15154825.0,2.10217149551592e-05,0
1.2887,15154825.0,2.105536457868864e-05,0
1.2945,15154825.0,2.105536457868864e-05,0
1.3003,15154825.0,2.105536457868864e-05,0
1.3062,15154826.0,2.105536457868864e-05,0
1.3119,15154826.0,2.105536457868864e-05,0
1.3177,15154826.0,2.10217149551592e-05,0
1.3234,15154826.0,2.10217149551592e-05,0
1.3292,15154826.0,2.105536457868864e-05,0
1.335,15154825.0,2.10217149551592e-05,0
1.3408,15154825.0,2.10217149551592e-05,0
1.3466,15154825.0,2.105536457868864e-05,0
1.3524,15154826.0,2.10217149551592e-05,0
1.3639,15154825.0,2.105536457868864e-05,0
1.3698,15154826.0,2.105536457868864e-05,0
1.3756,15154826.0,2.105536457868864e-05,0
1.3814,15154826.0,2.105536457868864e-05,0
1.3871,15154826.0,2.105536457868864e-05,0
1.3929,15154826.0,2.105536457868864e-05,0
1.3988,15154826.0,2.105536457868864e-05,0
1.4046,15154825.0,2.105536457868864e-05,0
1.4103,15154826.0,2.10217149551592e-05,0
1.4162,15154826.0,2.10217149551592e-05,0
1.422,15154826.0,2.10217149551592e-05,0
1.4278,15154826.0,2.09881191087638e-05,0
1.4336,15154826.0,2.10217149551592e-05,0
1.4394,15154826.0,2.09881191087638e-05,0
1.4452,15154825.0,2.095457695355857e-05,0
1.4509,15154826.0,2.09881191087638e-05,0
1.4567,15154825.0,2.10217149551592e-05,0
1.4625,15154825.0,2.105536457868864e-05,0
1.4683,15154825.0,2.105536457868864e-05,0
1.4742,15154825.0,2.105536457868864e-05,0
1.48,15154826.0,2.105536457868864e-05,0
1.4857,15154826.0,2.105536457868864e-05,0
1.4914,15154826.0,2.105536457868864e-05,0
