Relative_time,Resonance_Frequency,Dissipation,target
0.0528,15267010.0,2.676431806720787e-05,0
0.0806,15267338.0,2.64663360745325e-05,0
0.1118,15267275.0,2.419886225103929e-05,0
0.1177,15267276.0,2.419886225103929e-05,0
0.1237,15267276.0,2.416018884780538e-05,0
0.1297,15267276.0,2.412157725045732e-05,0
0.1356,15267276.0,2.408302736022003e-05,0
0.1415,15267276.0,2.408302736022003e-05,0
0.1475,15267276.0,2.412157725045732e-05,0
0.1534,15267276.0,2.412157725045732e-05,0
0.1594,15267276.0,2.412157725045732e-05,0
0.1653,15267276.0,2.412157725045732e-05,0
0.1712,15267276.0,2.412157725045732e-05,0
0.1772,15267276.0,2.412157725045732e-05,0
0.1831,15267276.0,2.408302736022003e-05,0
0.1891,15267276.0,2.408302736022003e-05,0
0.195,15267276.0,2.412157725045732e-05,0
0.2009,15267276.0,2.412157725045732e-05,0
0.2069,15267276.0,2.408302736022003e-05,0
0.2128,15267276.0,2.408302736022003e-05,0
0.2187,15267276.0,2.408302736022003e-05,0
0.2247,15267277.0,2.412157725045732e-05,0
0.2306,15267276.0,2.412157725045732e-05,0
0.2365,15267276.0,2.408302736022003e-05,0
0.2424,15267276.0,2.412157725045732e-05,0
0.2483,15267276.0,2.412157725045732e-05,0
0.2543,15267276.0,2.412157725045732e-05,0
0.2602,15267276.0,2.412157725045732e-05,0
0.2661,15267276.0,2.412157725045732e-05,0
0.272,15267276.0,2.412157725045732e-05,0
0.278,15267276.0,2.412157725045732e-05,0
0.284,15267276.0,2.412157725045732e-05,0
0.2899,15267276.0,2.408302736022003e-05,0
0.2958,15267276.0,2.408302736022003e-05,0
0.3018,15267276.0,2.412157725045732e-05,0
0.3077,15267276.0,2.412157725045732e-05,0
0.3136,15267276.0,2.408302736022003e-05,0
0.3195,15267276.0,2.404453907847634e-05,0
0.3255,15267276.0,2.404453907847634e-05,0
0.3314,15267276.0,2.408302736022003e-05,0
0.3373,15267276.0,2.408302736022003e-05,0
0.3432,15267276.0,2.408302736022003e-05,0
0.3492,15267276.0,2.408302736022003e-05,0
0.3551,15267276.0,2.408302736022003e-05,0
0.3611,15267276.0,2.408302736022003e-05,0
0.367,15267276.0,2.408302736022003e-05,0
0.3729,15267276.0,2.408302736022003e-05,0
0.3788,15267276.0,2.408302736022003e-05,0
0.3847,15267276.0,2.408302736022003e-05,0
0.3907,15267276.0,2.408302736022003e-05,0
0.3967,15267276.0,2.408302736022003e-05,0
0.4026,15267276.0,2.408302736022003e-05,0
0.4085,15267276.0,2.408302736022003e-05,0
0.4144,15267276.0,2.408302736022003e-05,0
0.4203,15267276.0,2.408302736022003e-05,0
0.4262,15267276.0,2.408302736022003e-05,0
0.4322,15267276.0,2.408302736022003e-05,0
0.4381,15267276.0,2.408302736022003e-05,0
0.4441,15267276.0,2.412157725045732e-05,0
0.45,15267277.0,2.412157725045732e-05,0
0.4559,15267278.0,2.408302736022003e-05,0
0.4617,15267273.0,2.366302314476723e-05,0
0.4675,15267279.0,2.291805582424504e-05,0
0.4733,15267279.0,2.288142934135367e-05,0
0.4791,15267273.0,2.362520609261339e-05,0
0.4852,15267276.0,2.408302736022003e-05,0
0.4912,15267273.0,2.412157725045732e-05,0
0.4972,15267274.0,2.412157725045732e-05,0
0.5031,15267278.0,2.392944290039733e-05,0
0.509,15267278.0,2.392944290039733e-05,0
0.515,15267274.0,2.404453907847634e-05,0
0.5209,15267274.0,2.400611230676662e-05,0
0.5269,15267276.0,2.404453907847634e-05,0
0.5328,15267277.0,2.408302736022003e-05,0
0.5386,15267277.0,2.404453907847634e-05,0
0.5446,15267277.0,2.404453907847634e-05,0
0.5506,15267277.0,2.404453907847634e-05,0
0.5565,15267277.0,2.404453907847634e-05,0
0.5624,15267277.0,2.400611230676662e-05,0
0.5683,15267277.0,2.400611230676662e-05,0
0.5743,15267277.0,2.404453907847634e-05,0
0.5802,15267278.0,2.408302736022003e-05,0
0.5862,15267277.0,2.412157725045732e-05,0
0.5921,15267277.0,2.408302736022003e-05,0
0.598,15267277.0,2.408302736022003e-05,0
0.6039,15267277.0,2.408302736022003e-05,0
0.6098,15267277.0,2.408302736022003e-05,0
0.6158,15267277.0,2.408302736022003e-05,0
0.6218,15267277.0,2.412157725045732e-05,0
0.6278,15267277.0,2.412157725045732e-05,0
0.6337,15267277.0,2.408302736022003e-05,0
0.6396,15267277.0,2.408302736022003e-05,0
0.6455,15267277.0,2.408302736022003e-05,0
0.6515,15267277.0,2.408302736022003e-05,0
0.6575,15267277.0,2.408302736022003e-05,0
0.6634,15267276.0,2.396774694678868e-05,0
0.6693,15267276.0,2.396774694678868e-05,0
0.6752,15267277.0,2.404453907847634e-05,0
0.6811,15267277.0,2.400611230676662e-05,0
0.6871,15267278.0,2.408302736022003e-05,0
0.693,15267277.0,2.412157725045732e-05,0
0.6989,15267277.0,2.408302736022003e-05,0
0.7049,15267276.0,2.412157725045732e-05,0
0.7108,15267277.0,2.412157725045732e-05,0
0.7168,15267277.0,2.408302736022003e-05,0
0.7227,15267277.0,2.404453907847634e-05,0
0.7286,15267277.0,2.400611230676662e-05,0
0.7345,15267277.0,2.404453907847634e-05,0
0.7405,15267277.0,2.404453907847634e-05,0
0.7464,15267277.0,2.404453907847634e-05,0
0.7524,15267277.0,2.408302736022003e-05,0
0.7583,15267277.0,2.408302736022003e-05,0
0.7642,15267277.0,2.408302736022003e-05,0
0.7701,15267277.0,2.408302736022003e-05,0
0.776,15267278.0,2.408302736022003e-05,0
0.782,15267277.0,2.404453907847634e-05,0
0.7879,15267277.0,2.404453907847634e-05,0
0.7939,15267278.0,2.408302736022003e-05,0
0.7998,15267277.0,2.408302736022003e-05,0
0.8057,15267278.0,2.412157725045732e-05,0
0.8117,15267278.0,2.412157725045732e-05,0
0.8176,15267277.0,2.412157725045732e-05,0
0.8236,15267278.0,2.412157725045732e-05,0
0.8295,15267277.0,2.404453907847634e-05,0
0.8354,15267277.0,2.404453907847634e-05,0
0.8413,15267277.0,2.408302736022003e-05,0
0.8473,15267277.0,2.408302736022003e-05,0
0.8532,15267277.0,2.404453907847634e-05,0
0.8592,15267277.0,2.400611230676662e-05,0
0.8651,15267277.0,2.400611230676662e-05,0
0.871,15267277.0,2.404453907847634e-05,0
0.8769,15267277.0,2.408302736022003e-05,0
0.8828,15267278.0,2.408302736022003e-05,0
0.8888,15267278.0,2.408302736022003e-05,0
0.8948,15267278.0,2.408302736022003e-05,0
0.9007,15267277.0,2.408302736022003e-05,0
0.9065,15267278.0,2.408302736022003e-05,0
0.9125,15267278.0,2.408302736022003e-05,0
0.9185,15267277.0,2.408302736022003e-05,0
0.9244,15267277.0,2.408302736022003e-05,0
0.9303,15267277.0,2.408302736022003e-05,0
0.9363,15267278.0,2.408302736022003e-05,0
0.9422,15267278.0,2.408302736022003e-05,0
0.9482,15267278.0,2.408302736022003e-05,0
0.9541,15267278.0,2.408302736022003e-05,0
0.96,15267277.0,2.408302736022003e-05,0
0.9659,15267278.0,2.408302736022003e-05,0
0.9718,15267278.0,2.408302736022003e-05,0
0.9778,15267278.0,2.408302736022003e-05,0
0.9837,15267278.0,2.408302736022003e-05,0
0.9897,15267278.0,2.408302736022003e-05,0
0.9956,15267278.0,2.408302736022003e-05,0
1.0015,15267278.0,2.408302736022003e-05,0
1.0075,15267278.0,2.408302736022003e-05,0
1.0134,15267277.0,2.408302736022003e-05,0
1.0193,15267278.0,2.408302736022003e-05,0
1.0253,15267277.0,2.408302736022003e-05,0
1.0312,15267277.0,2.408302736022003e-05,0
1.0371,15267278.0,2.408302736022003e-05,0
1.0431,15267278.0,2.408302736022003e-05,0
1.049,15267278.0,2.408302736022003e-05,0
1.055,15267277.0,2.408302736022003e-05,0
1.0609,15267277.0,2.408302736022003e-05,0
1.0668,15267277.0,2.404453907847634e-05,0
1.0727,15267278.0,2.400611230676662e-05,0
1.0787,15267278.0,2.404453907847634e-05,0
1.0846,15267277.0,2.408302736022003e-05,0
1.0906,15267277.0,2.408302736022003e-05,0
1.0965,15267277.0,2.408302736022003e-05,0
1.1024,15267277.0,2.404453907847634e-05,0
1.1083,15267277.0,2.404453907847634e-05,0
1.1143,15267277.0,2.408302736022003e-05,0
1.1202,15267277.0,2.408302736022003e-05,0
1.1261,15267277.0,2.408302736022003e-05,0
1.1321,15267277.0,2.408302736022003e-05,0
1.138,15267277.0,2.404453907847634e-05,0
1.1439,15267277.0,2.404453907847634e-05,0
1.1499,15267277.0,2.404453907847634e-05,0
1.1558,15267277.0,2.404453907847634e-05,0
1.1617,15267277.0,2.408302736022003e-05,0
1.1677,15267277.0,2.408302736022003e-05,0
1.1737,15267277.0,2.404453907847634e-05,0
1.1796,15267277.0,2.404453907847634e-05,0
