Relative_time,Resonance_Frequency,Dissipation,target
0.0541,15210094.0,3.375021044532881e-05,0
0.082,15210441.0,3.523962677818e-05,0
0.1127,15210344.0,3.391254269216747e-05,0
0.1172,15210345.0,3.413020089558949e-05,0
0.1217,15210345.0,3.413020089558949e-05,0
0.1263,15210345.0,3.407565572697801e-05,0
0.1308,15210345.0,3.407565572697801e-05,0
0.1352,15210345.0,3.413020089558949e-05,0
0.1399,15210345.0,3.413020089558949e-05,0
0.1445,15210345.0,3.407565572697801e-05,0
0.1489,15210345.0,3.407565572697801e-05,0
0.1534,15210345.0,3.413020089558949e-05,0
0.158,15210345.0,3.413020089558949e-05,0
0.1626,15210345.0,3.407565572697801e-05,0
0.1671,15210345.0,3.407565572697801e-05,0
0.1716,15210345.0,3.407565572697801e-05,0
0.1762,15210345.0,3.407565572697801e-05,0
0.1807,15210345.0,3.413020089558949e-05,0
0.1852,15210345.0,3.413020089558949e-05,0
0.1896,15210345.0,3.407565572697801e-05,0
0.1941,15210345.0,3.407565572697801e-05,0
0.1987,15210345.0,3.413020089558949e-05,0
0.2033,15210345.0,3.407565572697801e-05,0
0.2078,15210346.0,3.407565572697801e-05,0
0.2123,15210346.0,3.407565572697801e-05,0
0.2169,15210345.0,3.402119772970862e-05,0
0.2214,15210345.0,3.402119772970862e-05,0
0.2259,15210345.0,3.407565572697801e-05,0
0.2305,15210345.0,3.413020089558949e-05,0
0.235,15210346.0,3.413020089558949e-05,0
0.2394,15210346.0,3.407565572697801e-05,0
0.244,15210345.0,3.402119772970862e-05,0
0.2485,15210345.0,3.402119772970862e-05,0
0.253,15210345.0,3.402119772970862e-05,0
0.2576,15210345.0,3.402119772970862e-05,0
0.2621,15210345.0,3.407565572697801e-05,0
0.2666,15210345.0,3.407565572697801e-05,0
0.2712,15210345.0,3.407565572697801e-05,0
0.2757,15210345.0,3.413020089558949e-05,0
0.2801,15210345.0,3.413020089558949e-05,0
0.2847,15210346.0,3.413020089558949e-05,0
0.2892,15210346.0,3.413020089558949e-05,0
0.2937,15210346.0,3.413020089558949e-05,0
0.2983,15210346.0,3.413020089558949e-05,0
0.3028,15210346.0,3.402119772970862e-05,0
0.3119,15210345.0,3.413020089558949e-05,0
0.3164,15210345.0,3.413020089558949e-05,0
0.3208,15210345.0,3.407565572697801e-05,0
0.3253,15210345.0,3.402119772970862e-05,0
0.3298,15210345.0,3.402119772970862e-05,0
0.3344,15210345.0,3.402119772970862e-05,0
0.3389,15210345.0,3.402119772970862e-05,0
0.3434,15210346.0,3.407565572697801e-05,0
0.348,15210345.0,3.413020089558949e-05,0
0.3526,15210345.0,3.407565572697801e-05,0
0.3571,15210345.0,3.407565572697801e-05,0
0.3615,15210345.0,3.413020089558949e-05,0
0.366,15210346.0,3.407565572697801e-05,0
0.3705,15210345.0,3.402119772970862e-05,0
0.3751,15210345.0,3.402119772970862e-05,0
0.3796,15210345.0,3.402119772970862e-05,0
0.3841,15210346.0,3.402119772970862e-05,0
0.3887,15210346.0,3.407565572697801e-05,0
0.3932,15210345.0,3.413020089558949e-05,0
0.3976,15210345.0,3.413020089558949e-05,0
0.4023,15210346.0,3.413020089558949e-05,0
0.4067,15210345.0,3.407565572697801e-05,0
0.4112,15210346.0,3.407565572697801e-05,0
0.4202,15210345.0,3.407565572697801e-05,0
0.4248,15210346.0,3.402119772970862e-05,0
0.4293,15210345.0,3.402119772970862e-05,0
0.4337,15210345.0,3.407565572697801e-05,0
0.4383,15210346.0,3.407565572697801e-05,0
0.4428,15210346.0,3.407565572697801e-05,0
0.4473,15210346.0,3.407565572697801e-05,0
0.4519,15210346.0,3.407565572697801e-05,0
0.4565,15210346.0,3.407565572697801e-05,0
0.461,15210345.0,3.402119772970862e-05,0
0.4655,15210345.0,3.402119772970862e-05,0
0.47,15210345.0,3.402119772970862e-05,0
0.4744,15210345.0,3.402119772970862e-05,0
0.4791,15210346.0,3.407565572697801e-05,0
0.4835,15210345.0,3.407565572697801e-05,0
0.488,15210345.0,3.402119772970862e-05,0
0.4926,15210346.0,3.402119772970862e-05,0
0.4971,15210346.0,3.407565572697801e-05,0
0.5016,15210346.0,3.407565572697801e-05,0
0.5062,15210346.0,3.402119772970862e-05,0
0.5107,15210346.0,3.402119772970862e-05,0
0.5151,15210345.0,3.407565572697801e-05,0
0.5198,15210346.0,3.407565572697801e-05,0
0.5242,15210346.0,3.407565572697801e-05,0
0.5333,15210347.0,3.407565572697801e-05,0
0.5378,15210346.0,3.407565572697801e-05,0
0.5423,15210345.0,3.407565572697801e-05,0
0.5468,15210346.0,3.407565572697801e-05,0
0.5512,15210346.0,3.407565572697801e-05,0
0.5559,15210345.0,3.407565572697801e-05,0
0.5605,15210346.0,3.402119772970862e-05,0
0.5649,15210345.0,3.402119772970862e-05,0
0.5694,15210346.0,3.407565572697801e-05,0
0.574,15210346.0,3.407565572697801e-05,0
0.5785,15210346.0,3.407565572697801e-05,0
0.583,15210346.0,3.407565572697801e-05,0
0.5875,15210345.0,3.402119772970862e-05,0
0.5919,15210345.0,3.402119772970862e-05,0
0.5966,15210345.0,3.407565572697801e-05,0
0.6012,15210345.0,3.413020089558949e-05,0
0.6056,15210345.0,3.413020089558949e-05,0
0.6101,15210346.0,3.407565572697801e-05,0
0.6146,15210346.0,3.407565572697801e-05,0
0.6191,15210346.0,3.407565572697801e-05,0
0.6237,15210345.0,3.402119772970862e-05,0
0.6283,15210346.0,3.402119772970862e-05,0
0.6328,15210346.0,3.402119772970862e-05,0
0.6373,15210346.0,3.402119772970862e-05,0
0.6419,15210346.0,3.407565572697801e-05,0
0.6508,15210346.0,3.407565572697801e-05,0
0.6553,15210346.0,3.407565572697801e-05,0
0.6598,15210346.0,3.407565572697801e-05,0
0.6644,15210346.0,3.407565572697801e-05,0
0.6689,15210346.0,3.407565572697801e-05,0
0.6734,15210345.0,3.407565572697801e-05,0
0.678,15210345.0,3.407565572697801e-05,0
0.6824,15210346.0,3.407565572697801e-05,0
0.6869,15210345.0,3.402119772970862e-05,0
0.6915,15210345.0,3.402119772970862e-05,0
0.6961,15210345.0,3.402119772970862e-05,0
0.7006,15210345.0,3.402119772970862e-05,0
0.7051,15210345.0,3.402119772970862e-05,0
0.7096,15210345.0,3.402119772970862e-05,0
0.7141,15210346.0,3.407565572697801e-05,0
0.7187,15210346.0,3.407565572697801e-05,0
