Relative_time,Resonance_Frequency,Dissipation,target
0.0541,15051775.0,2.983943057705171e-05,0
0.0822,15052126.0,3.130611776546872e-05,0
0.1128,15052030.0,3.012716513515561e-05,0
0.1174,15052031.0,3.036906225396806e-05,0
0.122,15052030.0,3.041767424941981e-05,0
0.1265,15052030.0,3.041767424941981e-05,0
0.1311,15052031.0,3.036906225396806e-05,0
0.1356,15052031.0,3.036906225396806e-05,0
0.1401,15052031.0,3.036906225396806e-05,0
0.1447,15052031.0,3.032052794775979e-05,0
0.1493,15052031.0,3.032052794775979e-05,0
0.1539,15052030.0,3.032052794775979e-05,0
0.1584,15052030.0,3.032052794775979e-05,0
0.1629,15052030.0,3.036906225396806e-05,0
0.1675,15052031.0,3.036906225396806e-05,0
0.1721,15052031.0,3.036906225396806e-05,0
0.1766,15052031.0,3.036906225396806e-05,0
0.181,15052031.0,3.036906225396806e-05,0
0.1857,15052031.0,3.036906225396806e-05,0
0.1903,15052031.0,3.032052794775979e-05,0
0.1947,15052031.0,3.032052794775979e-05,0
0.1992,15052031.0,3.036906225396806e-05,0
0.2038,15052031.0,3.036906225396806e-05,0
0.2084,15052031.0,3.036906225396806e-05,0
0.2129,15052031.0,3.036906225396806e-05,0
0.2174,15052031.0,3.036906225396806e-05,0
0.222,15052031.0,3.036906225396806e-05,0
0.2266,15052031.0,3.036906225396806e-05,0
0.2312,15052031.0,3.036906225396806e-05,0
0.2357,15052031.0,3.036906225396806e-05,0
0.2402,15052031.0,3.036906225396806e-05,0
0.2448,15052031.0,3.036906225396806e-05,0
0.2494,15052031.0,3.036906225396806e-05,0
0.2539,15052030.0,3.032052794775979e-05,0
0.2584,15052031.0,3.032052794775979e-05,0
0.263,15052031.0,3.036906225396806e-05,0
0.2674,15052030.0,3.036906225396806e-05,0
0.2719,15052030.0,3.036906225396806e-05,0
0.2765,15052031.0,3.036906225396806e-05,0
0.2811,15052031.0,3.032052794775979e-05,0
0.2858,15052030.0,3.032052794775979e-05,0
0.2904,15052030.0,3.032052794775979e-05,0
0.2948,15052031.0,3.032052794775979e-05,0
0.2993,15052031.0,3.032052794775979e-05,0
0.3039,15052031.0,3.032052794775979e-05,0
0.3085,15052031.0,3.036906225396806e-05,0
0.313,15052031.0,3.036906225396806e-05,0
0.3175,15052030.0,3.032052794775979e-05,0
0.3221,15052031.0,3.032052794775979e-05,0
0.3266,15052031.0,3.032052794775979e-05,0
0.3311,15052031.0,3.027207120663602e-05,0
0.3357,15052031.0,3.027207120663602e-05,0
0.3403,15052031.0,3.032052794775979e-05,0
0.3449,15052031.0,3.036906225396806e-05,0
0.3494,15052031.0,3.036906225396806e-05,0
0.3538,15052030.0,3.032052794775979e-05,0
0.3585,15052031.0,3.032052794775979e-05,0
0.3631,15052031.0,3.032052794775979e-05,0
0.3675,15052031.0,3.032052794775979e-05,0
0.372,15052031.0,3.036906225396806e-05,0
0.3766,15052031.0,3.032052794775979e-05,0
0.3812,15052031.0,3.032052794775979e-05,0
0.3857,15052031.0,3.036906225396806e-05,0
0.3902,15052031.0,3.032052794775979e-05,0
0.3948,15052031.0,3.027207120663602e-05,0
0.3994,15052031.0,3.027207120663602e-05,0
0.4039,15052031.0,3.027207120663602e-05,0
0.4084,15052031.0,3.032052794775979e-05,0
0.413,15052031.0,3.036906225396806e-05,0
0.4176,15052031.0,3.036906225396806e-05,0
0.4221,15052031.0,3.036906225396806e-05,0
0.4266,15052031.0,3.036906225396806e-05,0
0.4312,15052031.0,3.036906225396806e-05,0
0.4358,15052030.0,3.036906225396806e-05,0
0.4402,15052031.0,3.032052794775979e-05,0
0.4447,15052031.0,3.027207120663602e-05,0
0.4493,15052031.0,3.032052794775979e-05,0
0.4539,15052031.0,3.036906225396806e-05,0
0.4584,15052031.0,3.036906225396806e-05,0
0.4629,15052030.0,3.032052794775979e-05,0
0.4675,15052031.0,3.032052794775979e-05,0
0.4721,15052031.0,3.032052794775979e-05,0
0.4766,15052031.0,3.032052794775979e-05,0
0.4811,15052031.0,3.036906225396806e-05,0
0.4857,15052031.0,3.036906225396806e-05,0
0.4903,15052031.0,3.036906225396806e-05,0
0.4948,15052030.0,3.036906225396806e-05,0
0.4993,15052030.0,3.036906225396806e-05,0
0.5039,15052030.0,3.036906225396806e-05,0
0.5085,15052030.0,3.032052794775979e-05,0
0.513,15052031.0,3.032052794775979e-05,0
0.5174,15052031.0,3.036906225396806e-05,0
0.522,15052031.0,3.036906225396806e-05,0
0.5266,15052031.0,3.036906225396806e-05,0
0.5311,15052030.0,3.036906225396806e-05,0
0.5356,15052031.0,3.036906225396806e-05,0
0.5448,15052030.0,3.032052794775979e-05,0
0.5493,15052030.0,3.032052794775979e-05,0
0.5538,15052030.0,3.032052794775979e-05,0
0.5584,15052030.0,3.032052794775979e-05,0
0.563,15052030.0,3.036906225396806e-05,0
0.5675,15052030.0,3.036906225396806e-05,0
0.572,15052030.0,3.036906225396806e-05,0
0.5766,15052030.0,3.036906225396806e-05,0
0.5812,15052031.0,3.036906225396806e-05,0
0.5857,15052031.0,3.036906225396806e-05,0
0.5901,15052030.0,3.036906225396806e-05,0
0.5947,15052031.0,3.032052794775979e-05,0
0.5994,15052030.0,3.032052794775979e-05,0
0.6038,15052030.0,3.036906225396806e-05,0
0.6083,15052030.0,3.032052794775979e-05,0
0.6129,15052030.0,3.032052794775979e-05,0
0.6175,15052030.0,3.036906225396806e-05,0
0.6221,15052030.0,3.032052794775979e-05,0
0.6266,15052030.0,3.032052794775979e-05,0
0.6311,15052030.0,3.036906225396806e-05,0
0.6357,15052030.0,3.036906225396806e-05,0
0.6403,15052030.0,3.036906225396806e-05,0
0.6448,15052030.0,3.032052794775979e-05,0
0.6493,15052030.0,3.032052794775979e-05,0
0.6539,15052030.0,3.036906225396806e-05,0
0.6585,15052030.0,3.032052794775979e-05,0
0.663,15052030.0,3.032052794775979e-05,0
0.6674,15052031.0,3.032052794775979e-05,0
0.6721,15052031.0,3.027207120663602e-05,0
0.6765,15052030.0,3.032052794775979e-05,0
0.681,15052030.0,3.032052794775979e-05,0
0.6856,15052030.0,3.027207120663602e-05,0
0.6902,15052030.0,3.027207120663602e-05,0
0.6948,15052030.0,3.027207120663602e-05,0
0.6993,15052030.0,3.027207120663602e-05,0
0.7038,15052030.0,3.027207120663602e-05,0
0.7084,15052030.0,3.027207120663602e-05,0
0.713,15052030.0,3.027207120663602e-05,0
0.7175,15052030.0,3.027207120663602e-05,0
0.722,15052030.0,3.032052794775979e-05,0
0.7266,15052030.0,3.032052794775979e-05,0
0.7312,15052031.0,3.027207120663602e-05,0
0.7358,15052031.0,3.032052794775979e-05,0
0.7403,15052030.0,3.036906225396806e-05,0
0.7448,15052030.0,3.036906225396806e-05,0
0.7494,15052031.0,3.036906225396806e-05,0
0.754,15052030.0,3.036906225396806e-05,0
0.7585,15052030.0,3.036906225396806e-05,0
0.7629,15052030.0,3.032052794775979e-05,0
0.7675,15052030.0,3.032052794775979e-05,0
0.7722,15052031.0,3.036906225396806e-05,0
0.7766,15052030.0,3.036906225396806e-05,0
