Relative_time,Resonance_Frequency,Dissipation,target
0.0542,14989904.0,3.232374486466711e-05,0
0.0822,14990263.0,3.396682676446853e-05,0
0.1129,14990175.0,3.273999828970383e-05,0
0.1175,14990176.0,3.289747160361017e-05,0
0.1221,14990176.0,3.289747160361017e-05,0
0.1267,14990177.0,3.289747160361017e-05,0
0.1312,14990176.0,3.289747160361017e-05,0
0.1357,14990176.0,3.289747160361017e-05,0
0.1403,14990176.0,3.289747160361017e-05,0
0.1448,14990176.0,3.289747160361017e-05,0
0.1494,14990177.0,3.284489652088503e-05,0
0.1539,14990177.0,3.284489652088503e-05,0
0.1585,14990177.0,3.289747160361017e-05,0
0.163,14990176.0,3.289747160361017e-05,0
0.1676,14990176.0,3.289747160361017e-05,0
0.1721,14990177.0,3.289747160361017e-05,0
0.1766,14990177.0,3.289747160361017e-05,0
0.1812,14990176.0,3.289747160361017e-05,0
0.1858,14990176.0,3.289747160361017e-05,0
0.1903,14990176.0,3.289747160361017e-05,0
0.1949,14990177.0,3.289747160361017e-05,0
0.1995,14990176.0,3.289747160361017e-05,0
0.204,14990176.0,3.289747160361017e-05,0
0.2086,14990176.0,3.289747160361017e-05,0
0.2131,14990176.0,3.289747160361017e-05,0
0.2177,14990176.0,3.289747160361017e-05,0
0.2223,14990176.0,3.289747160361017e-05,0
0.2269,14990177.0,3.289747160361017e-05,0
0.2314,14990177.0,3.289747160361017e-05,0
0.236,14990176.0,3.289747160361017e-05,0
0.2405,14990176.0,3.289747160361017e-05,0
0.2451,14990177.0,3.289747160361017e-05,0
0.2496,14990177.0,3.289747160361017e-05,0
0.2541,14990177.0,3.284489652088503e-05,0
0.2587,14990177.0,3.284489652088503e-05,0
0.2632,14990177.0,3.284489652088503e-05,0
0.2678,14990177.0,3.279240546100996e-05,0
0.2724,14990177.0,3.284489652088503e-05,0
0.2769,14990177.0,3.289747160361017e-05,0
0.2814,14990177.0,3.289747160361017e-05,0
0.286,14990177.0,3.289747160361017e-05,0
0.2906,14990177.0,3.289747160361017e-05,0
0.2951,14990176.0,3.289747160361017e-05,0
0.2996,14990177.0,3.289747160361017e-05,0
0.3042,14990177.0,3.289747160361017e-05,0
0.3088,14990177.0,3.289747160361017e-05,0
0.3133,14990177.0,3.289747160361017e-05,0
0.3179,14990176.0,3.289747160361017e-05,0
0.3224,14990177.0,3.289747160361017e-05,0
0.3314,14990176.0,3.289747160361017e-05,0
0.336,14990177.0,3.289747160361017e-05,0
0.3406,14990177.0,3.289747160361017e-05,0
0.3452,14990177.0,3.289747160361017e-05,0
0.3497,14990177.0,3.284489652088503e-05,0
0.3542,14990177.0,3.284489652088503e-05,0
0.3587,14990177.0,3.284489652088503e-05,0
0.3633,14990177.0,3.279240546100996e-05,0
0.3679,14990176.0,3.284489652088503e-05,0
0.3724,14990176.0,3.289747160361017e-05,0
0.377,14990177.0,3.289747160361017e-05,0
0.3815,14990177.0,3.289747160361017e-05,0
0.386,14990177.0,3.284489652088503e-05,0
0.3906,14990176.0,3.279240546100996e-05,0
0.3951,14990176.0,3.279240546100996e-05,0
0.3997,14990177.0,3.279240546100996e-05,0
0.4043,14990176.0,3.279240546100996e-05,0
0.4088,14990177.0,3.284489652088503e-05,0
0.4134,14990177.0,3.289747160361017e-05,0
0.4179,14990176.0,3.289747160361017e-05,0
0.4224,14990176.0,3.289747160361017e-05,0
0.4269,14990176.0,3.289747160361017e-05,0
0.4315,14990177.0,3.289747160361017e-05,0
0.436,14990177.0,3.289747160361017e-05,0
0.4406,14990177.0,3.289747160361017e-05,0
0.4451,14990176.0,3.289747160361017e-05,0
0.4497,14990177.0,3.289747160361017e-05,0
0.4542,14990177.0,3.289747160361017e-05,0
0.4633,14990178.0,3.284489652088503e-05,0
0.4678,14990177.0,3.284489652088503e-05,0
0.4724,14990177.0,3.284489652088503e-05,0
0.4769,14990177.0,3.284489652088503e-05,0
0.4815,14990177.0,3.279240546100996e-05,0
0.486,14990177.0,3.279240546100996e-05,0
0.4906,14990177.0,3.284489652088503e-05,0
0.4951,14990177.0,3.284489652088503e-05,0
0.4996,14990177.0,3.284489652088503e-05,0
0.5043,14990177.0,3.284489652088503e-05,0
0.5088,14990177.0,3.284489652088503e-05,0
0.5133,14990177.0,3.284489652088503e-05,0
0.5179,14990177.0,3.284489652088503e-05,0
0.5224,14990177.0,3.284489652088503e-05,0
0.5269,14990177.0,3.284489652088503e-05,0
0.5315,14990177.0,3.289747160361017e-05,0
0.5361,14990177.0,3.289747160361017e-05,0
0.5405,14990177.0,3.284489652088503e-05,0
0.5452,14990177.0,3.284489652088503e-05,0
0.5498,14990177.0,3.289747160361017e-05,0
0.5542,14990177.0,3.289747160361017e-05,0
0.5588,14990177.0,3.289747160361017e-05,0
0.5633,14990177.0,3.289747160361017e-05,0
0.5679,14990177.0,3.289747160361017e-05,0
0.5725,14990177.0,3.289747160361017e-05,0
0.577,14990177.0,3.284489652088503e-05,0
0.5815,14990177.0,3.284489652088503e-05,0
0.586,14990177.0,3.284489652088503e-05,0
0.5952,14990176.0,3.289747160361017e-05,0
0.5997,14990177.0,3.289747160361017e-05,0
0.6043,14990177.0,3.284489652088503e-05,0
0.6088,14990177.0,3.284489652088503e-05,0
0.6134,14990177.0,3.289747160361017e-05,0
0.6179,14990177.0,3.289747160361017e-05,0
0.6225,14990177.0,3.284489652088503e-05,0
0.627,14990177.0,3.284489652088503e-05,0
0.6316,14990177.0,3.284489652088503e-05,0
0.6361,14990177.0,3.284489652088503e-05,0
0.6406,14990177.0,3.284489652088503e-05,0
0.6452,14990177.0,3.284489652088503e-05,0
0.6497,14990177.0,3.284489652088503e-05,0
0.6543,14990177.0,3.284489652088503e-05,0
0.6588,14990177.0,3.284489652088503e-05,0
0.6634,14990177.0,3.279240546100996e-05,0
0.6679,14990177.0,3.284489652088503e-05,0
0.6724,14990177.0,3.289747160361017e-05,0
0.6771,14990177.0,3.289747160361017e-05,0
0.6816,14990177.0,3.289747160361017e-05,0
0.6861,14990177.0,3.289747160361017e-05,0
0.6908,14990177.0,3.295013084368136e-05,0
0.6952,14990178.0,3.289747160361017e-05,0
0.6997,14990177.0,3.284489652088503e-05,0
0.7043,14990177.0,3.289747160361017e-05,0
0.7088,14990177.0,3.289747160361017e-05,0
0.7134,14990177.0,3.289747160361017e-05,0
0.718,14990177.0,3.289747160361017e-05,0
0.727,14990178.0,3.284489652088503e-05,0
0.7316,14990177.0,3.284489652088503e-05,0
0.7362,14990177.0,3.284489652088503e-05,0
0.7407,14990177.0,3.284489652088503e-05,0
0.7453,14990178.0,3.284489652088503e-05,0
0.7498,14990177.0,3.284489652088503e-05,0
0.7544,14990177.0,3.284489652088503e-05,0
0.7589,14990177.0,3.284489652088503e-05,0
0.7635,14990177.0,3.284489652088503e-05,0
0.768,14990177.0,3.289747160361017e-05,0
0.7725,14990177.0,3.289747160361017e-05,0
0.7771,14990177.0,3.289747160361017e-05,0
0.7816,14990177.0,3.289747160361017e-05,0
0.7862,14990177.0,3.284489652088503e-05,0
0.7907,14990177.0,3.284489652088503e-05,0
0.7953,14990177.0,3.284489652088503e-05,0
0.7998,14990177.0,3.284489652088503e-05,0
0.8044,14990177.0,3.284489652088503e-05,0
0.8089,14990177.0,3.284489652088503e-05,0
0.8134,14990177.0,3.284489652088503e-05,0
0.818,14990177.0,3.284489652088503e-05,0
0.8226,14990177.0,3.284489652088503e-05,0
0.8271,14990177.0,3.279240546100996e-05,0
0.8316,14990177.0,3.279240546100996e-05,0
0.8362,14990177.0,3.284489652088503e-05,0
0.8407,14990177.0,3.284489652088503e-05,0
0.8452,14990177.0,3.284489652088503e-05,0
0.8498,14990177.0,3.289747160361017e-05,0
0.8544,14990177.0,3.289747160361017e-05,0
0.8634,14990178.0,3.284489652088503e-05,0
0.868,14990177.0,3.284489652088503e-05,0
0.8726,14990178.0,3.289747160361017e-05,0
0.8771,14990178.0,3.289747160361017e-05,0
0.8817,14990177.0,3.284489652088503e-05,0
0.8861,14990177.0,3.284489652088503e-05,0
0.8907,14990177.0,3.284489652088503e-05,0
0.8952,14990177.0,3.284489652088503e-05,0
0.8998,14990177.0,3.284489652088503e-05,0
0.9044,14990177.0,3.284489652088503e-05,0
0.909,14990177.0,3.284489652088503e-05,0
0.9135,14990177.0,3.284489652088503e-05,0
0.918,14990177.0,3.279240546100996e-05,0
0.9226,14990177.0,3.279240546100996e-05,0
0.9272,14990177.0,3.284489652088503e-05,0
0.9317,14990177.0,3.284489652088503e-05,0
0.9363,14990177.0,3.284489652088503e-05,0
0.9408,14990177.0,3.289747160361017e-05,0
0.9453,14990177.0,3.289747160361017e-05,0
0.9499,14990177.0,3.289747160361017e-05,0
