Relative_time,Resonance_Frequency,Dissipation,target
0.0542,15018404.0,3.289747160361017e-05,0
0.0822,15018764.0,3.440423920035846e-05,0
0.1129,15018674.0,3.310861485616324e-05,0
0.1175,15018675.0,3.332111327283457e-05,0
0.122,15018675.0,3.332111327283457e-05,0
0.1266,15018675.0,3.332111327283457e-05,0
0.1312,15018675.0,3.332111327283457e-05,0
0.1358,15018674.0,3.332111327283457e-05,0
0.1404,15018675.0,3.326786114732408e-05,0
0.1449,15018675.0,3.326786114732408e-05,0
0.1495,15018675.0,3.326786114732408e-05,0
0.154,15018675.0,3.321469412667937e-05,0
0.1586,15018675.0,3.321469412667937e-05,0
0.1632,15018675.0,3.326786114732408e-05,0
0.1677,15018675.0,3.326786114732408e-05,0
0.1723,15018675.0,3.326786114732408e-05,0
0.1768,15018675.0,3.332111327283457e-05,0
0.1814,15018675.0,3.326786114732408e-05,0
0.1859,15018675.0,3.321469412667937e-05,0
0.1905,15018675.0,3.326786114732408e-05,0
0.1951,15018675.0,3.332111327283457e-05,0
0.1997,15018675.0,3.326786114732408e-05,0
0.2042,15018675.0,3.321469412667937e-05,0
0.2087,15018675.0,3.326786114732408e-05,0
0.2134,15018675.0,3.326786114732408e-05,0
0.2179,15018675.0,3.326786114732408e-05,0
0.2224,15018675.0,3.332111327283457e-05,0
0.2271,15018675.0,3.332111327283457e-05,0
0.2316,15018675.0,3.326786114732408e-05,0
0.2361,15018675.0,3.326786114732408e-05,0
0.2407,15018675.0,3.332111327283457e-05,0
0.2452,15018675.0,3.326786114732408e-05,0
0.2498,15018675.0,3.321469412667937e-05,0
0.2544,15018675.0,3.326786114732408e-05,0
0.2589,15018675.0,3.332111327283457e-05,0
0.2635,15018675.0,3.326786114732408e-05,0
0.2681,15018675.0,3.321469412667937e-05,0
0.2726,15018675.0,3.326786114732408e-05,0
0.2772,15018675.0,3.326786114732408e-05,0
0.2817,15018675.0,3.326786114732408e-05,0
0.2863,15018675.0,3.326786114732408e-05,0
0.2909,15018675.0,3.321469412667937e-05,0
0.2955,15018675.0,3.321469412667937e-05,0
0.3001,15018675.0,3.326786114732408e-05,0
0.3047,15018675.0,3.326786114732408e-05,0
0.3092,15018675.0,3.326786114732408e-05,0
0.3138,15018676.0,3.326786114732408e-05,0
0.3183,15018676.0,3.326786114732408e-05,0
0.3229,15018675.0,3.332111327283457e-05,0
0.3274,15018675.0,3.332111327283457e-05,0
0.3319,15018675.0,3.326786114732408e-05,0
0.3365,15018675.0,3.321469412667937e-05,0
0.3411,15018675.0,3.321469412667937e-05,0
0.3457,15018675.0,3.321469412667937e-05,0
0.3503,15018675.0,3.326786114732408e-05,0
0.3548,15018675.0,3.326786114732408e-05,0
0.3593,15018675.0,3.321469412667937e-05,0
0.3639,15018675.0,3.321469412667937e-05,0
0.3684,15018675.0,3.321469412667937e-05,0
0.373,15018675.0,3.321469412667937e-05,0
0.3776,15018675.0,3.326786114732408e-05,0
0.3822,15018675.0,3.332111327283457e-05,0
0.3867,15018675.0,3.326786114732408e-05,0
0.3912,15018675.0,3.321469412667937e-05,0
0.3958,15018675.0,3.321469412667937e-05,0
0.4004,15018675.0,3.321469412667937e-05,0
0.4049,15018675.0,3.326786114732408e-05,0
0.4095,15018675.0,3.332111327283457e-05,0
0.414,15018675.0,3.326786114732408e-05,0
0.4185,15018675.0,3.321469412667937e-05,0
0.4231,15018675.0,3.321469412667937e-05,0
0.4278,15018675.0,3.321469412667937e-05,0
0.4323,15018675.0,3.321469412667937e-05,0
0.4368,15018676.0,3.326786114732408e-05,0
0.4414,15018675.0,3.332111327283457e-05,0
0.4459,15018675.0,3.326786114732408e-05,0
0.4505,15018675.0,3.321469412667937e-05,0
0.4551,15018675.0,3.326786114732408e-05,0
0.4597,15018675.0,3.326786114732408e-05,0
0.4642,15018675.0,3.326786114732408e-05,0
0.4688,15018676.0,3.326786114732408e-05,0
0.4733,15018675.0,3.326786114732408e-05,0
0.4779,15018675.0,3.332111327283457e-05,0
0.4825,15018675.0,3.332111327283457e-05,0
0.487,15018675.0,3.326786114732408e-05,0
0.4916,15018675.0,3.326786114732408e-05,0
0.4962,15018675.0,3.332111327283457e-05,0
0.5007,15018675.0,3.332111327283457e-05,0
0.5053,15018676.0,3.326786114732408e-05,0
0.5098,15018676.0,3.326786114732408e-05,0
0.5143,15018676.0,3.326786114732408e-05,0
0.519,15018676.0,3.332111327283457e-05,0
0.5236,15018676.0,3.337445063943879e-05,0
0.5281,15018675.0,3.332111327283457e-05,0
0.5327,15018675.0,3.326786114732408e-05,0
0.5372,15018676.0,3.326786114732408e-05,0
0.5417,15018676.0,3.332111327283457e-05,0
0.5463,15018676.0,3.332111327283457e-05,0
0.5508,15018676.0,3.326786114732408e-05,0
0.5554,15018676.0,3.326786114732408e-05,0
0.5599,15018676.0,3.326786114732408e-05,0
0.5645,15018676.0,3.326786114732408e-05,0
0.5691,15018676.0,3.326786114732408e-05,0
