Relative_time,Resonance_Frequency,Dissipation,target
0.054,15231984.0,2.277190072624573e-05,0
0.0824,15232278.0,2.358744947776824e-05,0
0.1125,15232216.0,2.332483732453251e-05,0
0.1161,15232219.0,2.370090073097218e-05,0
0.1197,15232220.0,2.37388389481256e-05,0
0.1234,15232219.0,2.377683789327991e-05,0
0.1271,15232219.0,2.37388389481256e-05,0
0.1307,15232219.0,2.370090073097218e-05,0
0.1344,15232219.0,2.370090073097218e-05,0
0.1381,15232218.0,2.366302314476723e-05,0
0.1417,15232218.0,2.366302314476723e-05,0
0.1453,15232219.0,2.370090073097218e-05,0
0.1489,15232219.0,2.37388389481256e-05,0
0.1525,15232220.0,2.377683789327991e-05,0
0.1562,15232220.0,2.377683789327991e-05,0
0.1599,15232219.0,2.37388389481256e-05,0
0.1635,15232219.0,2.37388389481256e-05,0
0.1672,15232218.0,2.370090073097218e-05,0
0.1709,15232219.0,2.366302314476723e-05,0
0.1745,15232219.0,2.37388389481256e-05,0
0.1781,15232219.0,2.377683789327991e-05,0
0.1817,15232220.0,2.377683789327991e-05,0
0.1854,15232220.0,2.377683789327991e-05,0
0.1891,15232220.0,2.377683789327991e-05,0
0.1927,15232219.0,2.37388389481256e-05,0
0.1962,15232219.0,2.370090073097218e-05,0
0.2,15232220.0,2.370090073097218e-05,0
0.2037,15232219.0,2.370090073097218e-05,0
0.2073,15232219.0,2.37388389481256e-05,0
0.2108,15232220.0,2.377683789327991e-05,0
0.2144,15232220.0,2.377683789327991e-05,0
0.2181,15232220.0,2.37388389481256e-05,0
0.2218,15232220.0,2.37388389481256e-05,0
0.2254,15232220.0,2.377683789327991e-05,0
0.2291,15232220.0,2.377683789327991e-05,0
0.2327,15232220.0,2.377683789327991e-05,0
0.2363,15232221.0,2.37388389481256e-05,0
0.24,15232220.0,2.370090073097218e-05,0
0.2436,15232220.0,2.370090073097218e-05,0
0.2472,15232220.0,2.37388389481256e-05,0
0.2509,15232220.0,2.37388389481256e-05,0
0.2546,15232220.0,2.37388389481256e-05,0
0.2582,15232220.0,2.37388389481256e-05,0
0.2618,15232220.0,2.370090073097218e-05,0
0.2655,15232219.0,2.370090073097218e-05,0
0.2692,15232220.0,2.37388389481256e-05,0
0.2728,15232220.0,2.37388389481256e-05,0
0.2764,15232219.0,2.370090073097218e-05,0
0.28,15232219.0,2.370090073097218e-05,0
0.2837,15232220.0,2.37388389481256e-05,0
0.2874,15232221.0,2.37388389481256e-05,0
0.291,15232220.0,2.370090073097218e-05,0
0.2946,15232219.0,2.370090073097218e-05,0
